Gr.Code,Model,BestDockQ
14,M1239v1TS014_1.pdb ,1.487
304,M1239v1TS304_1.pdb ,3.196
241,M1239v1TS241_3.pdb ,3.636
272,M1239v1TS272_3.pdb ,4.453
235,M1239v1TS235_1.pdb ,4.578
462,M1239v1TS462_4.pdb ,5.856
28,M1239v1TS028_3.pdb ,5.894
231,M1239v1TS231_2.pdb ,6.542
91,M1239v1TS091_5.pdb ,6.62
33,M1239v1TS033_3.pdb ,6.627
262,M1239v1TS262_5.pdb ,6.678
159,M1239v1TS159_2.pdb ,6.954
325,M1239v1TS325_2.pdb ,6.954
208,M1239v1TS208_2.pdb ,7.291
167,M1239v1TS167_4.pdb ,7.562
450,M1239v1TS450_4.pdb ,7.562
286,M1239v1TS286_4.pdb ,7.568
481,M1239v1TS481_4.pdb ,7.659
489,M1239v1TS489_5.pdb ,7.668
294,M1239v1TS294_4.pdb ,7.921
110,M1239v1TS110_1.pdb ,8.214
