Group,best_Global LDDT_v1_ref,best_model_v1_ref,best_version_v1_ref,best_model_v2_ref,best_version_v2_ref,best_Global LDDT_v2_ref,best_v1_ref,best_v2_ref,Combined_Score
TS314,0.7728,T1228v1TS314_4,v1,T1228v2TS314_5,v2,0.7407,0.7728,0.7407,1.5135
TS028,0.766,T1228v1TS028_5,v1,T1228v2TS028_4,v2,0.7462,0.766,0.7462,1.5122
TS110,0.7658,T1228v1TS110_3,v1,T1228v2TS110_3,v2,0.7462,0.7658,0.7462,1.512
TS319,0.772,T1228v1TS319_1,v1,T1228v2TS319_2,v2,0.7394,0.772,0.7394,1.5114
TS331,0.772,T1228v1TS331_1,v1,T1228v2TS331_2,v2,0.7394,0.772,0.7394,1.5114
TS345,0.772,T1228v1TS345_1,v1,T1228v2TS345_3,v2,0.7394,0.772,0.7394,1.5114
TS051,0.772,T1228v1TS051_1,v1,T1228v2TS051_3,v2,0.7394,0.772,0.7394,1.5114
TS462,0.763,T1228v1TS462_3,v1,T1228v2TS462_2,v2,0.7454,0.763,0.7454,1.5084
TS425,0.7659,T1228v1TS425_4,v1,T1228v2TS425_4,v2,0.7394,0.7659,0.7394,1.5053
TS022,0.7668,T1228v1TS022_3,v1,T1228v2TS022_5,v2,0.7358,0.7668,0.7358,1.5026000000000002
TS204,0.7642,T1228v1TS204_4,v1,T1228v2TS204_5,v2,0.7361,0.7642,0.7361,1.5003
TS284,0.7621,T1228v1TS284_2,v1,T1228v2TS284_4,v2,0.7366,0.7621,0.7366,1.4987
TS122,0.7621,T1228v1TS122_2,v1,T1228v2TS122_4,v2,0.7366,0.7621,0.7366,1.4987
TS075,0.7621,T1228v1TS075_2,v1,T1228v2TS075_4,v2,0.7366,0.7621,0.7366,1.4987
TS147,0.761,T1228v1TS147_1,v1,T1228v2TS147_4,v2,0.7376,0.761,0.7376,1.4986000000000002
TS145,0.7663,T1228v1TS145_3,v1,T1228v2TS145_3,v2,0.7321,0.7663,0.7321,1.4984
TS241,0.7598,T1228v1TS241_1,v1,T1228v2TS241_4,v2,0.7382,0.7598,0.7382,1.498
TS450,0.7635,T1228v1TS450_1,v1,T1228v2TS450_5,v2,0.7338,0.7635,0.7338,1.4973
TS167,0.7635,T1228v1TS167_1,v1,T1228v2TS167_5,v2,0.7338,0.7635,0.7338,1.4973
