Model,Global_LDDT_normalized
R1203TS286_1 v2,75.9
R1203TS286_2 v2,75.9
R1203TS238_4 v1,75.5
R1203TS294_3 v2,75.5
R1203TS063_5 v1,75.4
R1203TS063_1 v1,75.3
R1203TS238_1 v1,75.1
R1203TS183_4 v1,75
R1203TS481_3 v1,75
R1203TS481_4 v2,75
R1203TS481_4 v1,74.9
R1203TS238_2 v1,74.8
R1203TS063_5 v2,74.7
R1203TS238_3 v1,74.7
R1203TS063_2 v1,74.6
R1203TS063_4 v1,74.6
R1203TS481_1 v1,74.6
R1203TS481_3 v2,74.6
R1203TS286_4 v1,74.4
R1203TS063_1 v2,74.3
R1203TS183_1 v1,74.2
R1203TS183_4 v2,74.2
R1203TS063_4 v2,74.1
R1203TS286_5 v1,74.1
R1203TS481_1 v2,74
R1203TS481_2 v1,74
R1203TS165_3 v1,73.9
R1203TS165_3 v2,73.9
R1203TS238_2 v2,73.9
R1203TS238_3 v2,73.8
R1203TS481_5 v1,73.7
R1203TS238_4 v2,73.6
R1203TS286_4 v2,73.6
R1203TS286_5 v2,73.6
R1203TS481_2 v2,73.5
R1203TS183_1 v2,73.3
R1203TS481_5 v2,73.3
R1203TS063_2 v2,73.2
R1203TS238_1 v2,73.1
R1203TS286_3 v2,72.7
R1203TS286_3 v1,72.2
R1203TS417_2 v1,72.2
R1203TS189_2 v1,71.8
R1203TS417_2 v2,71.8
R1203TS448_5 v2,71.7
R1203TS189_2 v2,71.6
R1203TS448_5 v1,71.6
R1203TS417_1 v2,71.5
R1203TS165_2 v1,71.3
R1203TS417_5 v2,71.3
R1203TS189_1 v1,71.2
R1203TS338_5 v2,71.2
R1203TS189_3 v1,71.1
R1203TS338_5 v1,71.1
R1203TS183_3 v1,71
R1203TS189_3 v2,71
R1203TS189_4 v2,71
R1203TS338_2 v1,71
R1203TS189_5 v1,70.6
R1203TS189_1 v2,70.5
R1203TS338_2 v2,70.3
R1203TS417_4 v1,70.3
R1203TS028_2 v1,70.1
R1203TS052_1 v1,70
R1203TS165_2 v2,70
R1203TS189_5 v2,70
R1203TS338_1 v1,69.8
R1203TS183_3 v2,69.6
R1203TS435_1 v1,69.5
R1203TS052_5 v2,69.3
R1203TS028_2 v2,69.1
R1203TS267_1 v2,68.8
R1203TS272_3 v1,68.5
R1203TS272_3 v2,68.5
R1203TS267_1 v1,68.4
R1203TS338_4 v1,68.4
R1203TS435_1 v2,68.4
R1203TS338_3 v1,68.2
R1203TS338_3 v2,68
R1203TS267_5 v1,67.9
R1203TS435_4 v1,67.9
R1203TS267_4 v1,67.7
R1203TS267_5 v2,67.4
R1203TS435_4 v2,67.4
R1203TS456_2 v1,67.2
R1203TS456_2 v2,67.2
R1203TS267_4 v2,66.8
R1203TS435_2 v1,66.7
R1203TS435_2 v2,66.7
R1203TS435_3 v2,66.7
R1203TS267_3 v2,66.2
R1203TS435_3 v1,66
R1203TS267_2 v2,65.9
R1203TS448_1 v2,65.9
R1203TS267_2 v1,65.7
R1203TS294_5 v1,65.4
R1203TS052_2 v1,65.3
R1203TS294_5 v2,65.3
R1203TS052_2 v2,64.8
R1203TS028_3 v1,64.7
R1203TS165_5 v1,64.2
R1203TS317_5 v2,63.7
R1203TS317_5 v1,63.3
R1203TS159_4 v2,62.8
R1203TS231_2 v2,62.7
R1203TS367_1 v2,62.6
R1203TS231_2 v1,62.5
R1203TS159_4 v1,62.3
R1203TS367_1 v1,62
R1203TS231_1 v2,61.8
R1203TS165_4 v1,61.7
R1203TS231_1 v1,61.7
R1203TS165_4 v2,61.3
R1203TS456_4 v1,61
R1203TS159_5 v1,60.5
R1203TS159_5 v2,60.5
R1203TS156_1 v1,59.5
R1203TS235_4 v1,59.5
R1203TS159_3 v1,59.4
R1203TS358_3 v2,59.4
R1203TS317_2 v2,58.5
R1203TS028_1 v2,58.4
R1203TS028_1 v1,58.3
R1203TS052_4 v2,57.8
R1203TS110_1 v2,57.8
R1203TS235_3 v1,57.8
R1203TS462_1 v2,57.3
R1203TS272_2 v2,56.3
R1203TS462_4 v2,56.2
R1203TS110_5 v2,55.1
R1203TS462_3 v2,55.1
R1203TS450_1 v2,54.6
R1203TS110_4 v2,54.1
R1203TS450_4 v1,53.5
R1203TS110_4 v1,53.2
R1203TS167_5 v1,53.1
R1203TS450_5 v2,52.7
R1203TS167_5 v2,52.6
R1203TS317_3 v1,52.6
R1203TS110_2 v2,52.5
R1203TS450_5 v1,52.5
R1203TS462_2 v2,52.5
R1203TS448_4 v1,52.2
R1203TS167_4 v1,52.1
R1203TS167_4 v2,52.1
R1203TS358_1 v2,51.9
R1203TS156_4 v2,51.7
R1203TS317_3 v2,51.7
R1203TS358_1 v1,51.1
R1203TS167_1 v1,50.9
R1203TS448_4 v2,50.9
R1203TS167_1 v2,50.7
R1203TS358_4 v2,50.2
R1203TS358_4 v1,49.9
R1203TS448_3 v1,49.9
R1203TS156_5 v1,49.5
R1203TS156_5 v2,49.5
R1203TS358_2 v2,49.5
R1203TS358_2 v1,49.3
R1203TS448_3 v2,49.2
R1203TS403_1 v2,48.8
R1203TS231_3 v2,47.5
R1203TS358_5 v2,47.4
R1203TS231_3 v1,47
R1203TS169_4 v1,46.1
R1203TS456_5 v2,44.6
