Group,V1A,V1A_version,V1B,V1B_version,V1A_final_fit,V1B_final_fit,V1A_final_model_name,V1B_final_model_name,Combined_Score
TS462,48.985,v1,70.89,v2,48.985,70.89,T1239v1TS462_1.lga,,119.875
TS419,59.052,v1,71.186,v2,42.936,71.186,T1239v1TS419_5.lga,,114.12200000000001
TS221,59.052,v1,71.186,v2,42.936,71.186,T1239v1TS221_5.lga,,114.12200000000001
TS235,44.501,v1,71.144,v2,42.851,71.144,T1239v1TS235_1.lga,,113.995
TS028,43.486,v1,71.441,v2,42.132,71.441,T1239v1TS028_2.lga,,113.57300000000001
TS345,42.09,v2,71.271,v1,42.09,71.271,T1239v2TS345_5.lga,,113.361
TS051,42.09,v2,71.271,v1,42.09,71.271,T1239v2TS051_5.lga,,113.361
TS286,44.67,v1,69.873,v2,42.766,69.873,T1239v1TS286_2.lga,,112.63900000000001
TS208,41.963,v2,66.992,v1,41.54,66.992,T1239v2TS208_4.lga,,108.53200000000001
TS425,44.459,v2,63.305,v1,44.459,63.305,T1239v2TS425_4.lga,,107.76400000000001
TS019,52.2,v2,53.983,v1,52.2,53.983,T1239v2TS019_5.lga,,106.18299999999999
TS022,46.024,v2,60.72,v1,44.416,60.72,T1239v2TS022_4.lga,,105.136
TS204,43.528,v2,61.144,v1,43.528,61.144,T1239v2TS204_2.lga,,104.672
TS110,43.57,v2,62.881,v1,41.709,62.881,T1239v2TS110_2.lga,,104.59
TS456,44.289,v2,60.254,v1,44.289,60.254,T1239v2TS456_2.lga,,104.543
TS147,47.081,v2,56.271,v1,47.081,56.271,T1239v2TS147_5.lga,,103.352
TS167,48.519,v2,54.025,v1,48.519,54.025,T1239v2TS167_3.lga,,102.544
TS450,48.519,v2,54.025,v1,48.519,54.025,T1239v2TS450_3.lga,,102.544
TS294,42.555,v2,59.661,v1,42.132,59.661,T1239v2TS294_2.lga,,101.793
TS314,45.431,v1,58.898,v2,42.766,58.898,T1239v1TS314_2.lga,,101.664
TS052,44.12,v2,55.89,v1,44.12,55.89,T1239v2TS052_2.lga,,100.00999999999999
TS481,47.124,v1,56.568,v2,43.105,56.568,T1239v1TS481_2.lga,,99.673
TS091,47.166,v2,52.119,v1,47.166,52.119,T1239v2TS091_3.lga,,99.285
TS262,41.794,v2,57.881,v1,40.736,57.881,T1239v2TS262_5.lga,,98.61699999999999
TS319,42.893,v2,55.72,v1,42.893,55.72,T1239v2TS319_5.lga,,98.613
TS033,43.993,v1,53.941,v2,43.993,53.941,T1239v1TS033_1.lga,,97.934
TS331,42.09,v2,55.72,v1,42.09,55.72,T1239v2TS331_2.lga,,97.81
TS325,42.259,v2,55.339,v1,42.259,55.339,T1239v2TS325_2.lga,,97.598
TS159,42.259,v2,55.339,v1,42.259,55.339,T1239v2TS159_2.lga,,97.598
TS369,43.105,v2,54.153,v1,43.105,54.153,T1239v2TS369_4.lga,,97.258
TS489,41.794,v2,54.958,v1,41.751,54.958,T1239v2TS489_4.lga,,96.709
TS298,41.794,v2,61.737,v1,34.264,61.737,T1239v2TS298_1.lga,,96.001
TS212,41.794,v1,55.169,v2,40.694,55.169,T1239v1TS212_3.lga,,95.863
TS241,45.347,v2,54.322,v1,40.821,54.322,T1239v2TS241_5.lga,,95.143
TS231,44.416,v1,54.025,v2,40.271,54.025,T1239v1TS231_2.lga,,94.29599999999999
TS304,43.147,v1,50.847,v2,43.147,50.847,T1239v1TS304_2.lga,,93.994
TS465,44.839,v2,48.136,v1,44.839,48.136,T1239v2TS465_2.lga,,92.975
TS358,43.105,v1,54.873,v2,37.817,54.873,T1239v1TS358_4.lga,,92.69
TS293,42.005,v2,49.873,v1,42.005,49.873,T1239v2TS293_3.lga,,91.878
TS079,42.005,v2,49.873,v1,42.005,49.873,T1239v2TS079_3.lga,,91.878
TS272,41.244,v2,50.127,v1,41.244,50.127,T1239v2TS272_4.lga,,91.37100000000001
TS423,39.594,v1,51.949,v2,39.171,51.949,T1239v1TS423_1.lga,,91.12
TS267,41.455,v2,49.915,v1,39.298,49.915,T1239v2TS267_4.lga,,89.213
TS148,39.721,v1,48.898,v2,39.594,48.898,T1239v1TS148_4.lga,,88.492
TS287,42.343,v2,49.28,v1,39.171,49.28,T1239v2TS287_4.lga,,88.451
TS198,39.805,v2,50.254,v1,37.775,50.254,T1239v2TS198_1.lga,,88.029
TS375,40.567,v1,47.203,v2,40.567,47.203,T1239v1TS375_4.lga,,87.77000000000001
TS014,39.721,v1,49.492,v2,37.352,49.492,T1239v1TS014_3.lga,,86.844
TS301,40.186,v1,46.653,v2,40.186,46.653,T1239v1TS301_1.lga,,86.839
TS163,38.579,v2,48.39,v1,38.325,48.39,T1239v2TS163_3.lga,,86.715
TS112,38.79,v2,47.881,v1,38.79,47.881,T1239v2TS112_5.lga,,86.67099999999999
TS040,38.409,v2,48.093,v1,38.409,48.093,T1239v2TS040_3.lga,,86.50200000000001
TS023,38.79,v2,47.669,v1,38.79,47.669,T1239v2TS023_1.lga,,86.459
TS145,38.79,v2,47.669,v1,38.79,47.669,T1239v2TS145_1.lga,,86.459
TS264,40.482,v1,47.712,v2,38.663,47.712,T1239v1TS264_5.lga,,86.375
TS312,39.594,v1,46.356,v2,39.594,46.356,T1239v1TS312_4.lga,,85.95
TS122,39.129,v2,46.653,v1,39.129,46.653,T1239v2TS122_2.lga,,85.782
TS017,38.283,v2,48.051,v1,36.464,48.051,T1239v2TS017_4.lga,,84.515
TS397,39.129,v2,44.915,v1,39.129,44.915,T1239v2TS397_1.lga,,84.044
TS015,39.382,v2,45.0,v1,38.79,45.0,T1239v2TS015_1.lga,,83.78999999999999
TS164,38.409,v1,45.297,v2,38.367,45.297,T1239v1TS164_3.lga,,83.66399999999999
TS196,39.467,v1,38.941,v2,39.467,38.941,,T1239v2TS196_2.lga,78.408
TS388,37.986,v2,38.093,v1,37.986,38.093,T1239v2TS388_2.lga,,76.07900000000001
TS059,37.31,v2,37.5,v1,36.887,37.5,T1239v2TS059_5.lga,,74.387
TS139,36.971,v1,36.229,v2,36.971,35.763,,T1239v2TS139_3.lga,72.734
TS120,29.949,v2,31.568,v1,29.949,31.568,T1239v2TS120_2.lga,,61.517
TS475,41.624,v1,49.237,v2,0.0,49.237,,,49.237
TS351,24.281,v2,24.492,v1,24.281,24.492,T1239v2TS351_1.lga,,48.772999999999996
TS269,37.775,v1,48.178,v2,0.0,48.178,,,48.178
TS075,39.129,v1,46.653,v2,0.0,46.653,,,46.653
TS284,39.129,v1,46.653,v2,0.0,46.653,,,46.653
TS311,41.582,v2,42.246,v1,0.0,42.246,,,42.246
TS361,29.949,v2,31.441,v1,0.0,31.441,,,31.441
TS105,4.146,v2,4.195,v1,0.0,4.195,,,4.195
