Group,V1A,V1A_model,V1A_version,V1B,V1B_version,V1B_model,V1A_final_fit,V1B_final_fit,V1A_final_model,V1B_final_model,Combined_Score
TS462,63.109,T1228v1TS462_3,v1,53.043,v2,T1228v2TS462_5,63.109,53.043,T1228v1TS462_3,T1228v2TS462_5,116.152
TS264,55.946,T1228v1TS264_6,v1,60.066,v2,T1228v2TS264_2,55.946,60.066,T1228v1TS264_6,T1228v2TS264_2,116.012
TS147,62.313,T1228v1TS147_1,v1,53.371,v2,T1228v2TS147_1,62.313,53.371,T1228v1TS147_1,T1228v2TS147_1,115.684
TS148,54.448,T1228v2TS148_3,v2,60.066,v1,T1228v1TS148_3,54.448,60.066,T1228v2TS148_3,T1228v1TS148_3,114.51400000000001
TS481,61.798,T1228v1TS481_3,v1,50.655,v2,T1228v2TS481_5,61.798,50.655,T1228v1TS481_3,T1228v2TS481_5,112.453
TS450,57.069,T1228v1TS450_1,v1,55.337,v2,T1228v2TS450_3,57.069,55.337,T1228v1TS450_1,T1228v2TS450_3,112.406
TS167,57.069,T1228v1TS167_1,v1,55.337,v2,T1228v2TS167_3,57.069,55.337,T1228v1TS167_1,T1228v2TS167_3,112.406
TS022,57.21,T1228v1TS022_4,v1,54.916,v1,T1228v1TS022_1,57.21,54.916,T1228v1TS022_4,T1228v2TS022_5,112.126
TS052,59.504,T1228v1TS052_4,v1,52.388,v1,T1228v1TS052_2,59.504,52.388,T1228v1TS052_4,T1228v2TS052_2,111.892
TS456,58.333,T1228v1TS456_3,v1,52.388,v1,T1228v1TS456_2,58.333,52.388,T1228v1TS456_3,T1228v2TS456_2,110.721
TS204,62.172,T1228v1TS204_1,v1,48.408,v2,T1228v2TS204_2,62.172,48.408,T1228v1TS204_1,T1228v2TS204_2,110.58
TS241,58.567,T1228v2TS241_1,v2,51.826,v1,T1228v1TS241_2,58.567,51.826,T1228v2TS241_1,T1228v1TS241_2,110.393
TS294,59.972,T1228v2TS294_5,v2,49.438,v1,T1228v1TS294_3,59.972,49.438,T1228v2TS294_5,T1228v1TS294_3,109.41
TS091,54.541,T1228v1TS091_2,v1,54.635,v1,T1228v1TS091_5,54.541,54.635,T1228v2TS091_2,T1228v1TS091_5,109.17599999999999
TS033,56.882,T1228v2TS033_1,v2,51.826,v1,T1228v1TS033_4,56.882,51.826,T1228v2TS033_1,T1228v1TS033_4,108.708
