Model,Gr.Code,lDDT
T1249v2TS304_1o,304s,0.811
T1249v2TS314_1o,314s,0.805
T1249v1TS272_2o,272,0.803
T1249v2TS314_3o,314s,0.791
T1249v2TS304_3o,304s,0.8
T1249v2TS122_1o,122s,0.787
T1249v2TS475_4o,475s,0.787
T1249v2TS284_4o,284s,0.787
T1249v2TS075_4o,075s,0.787
T1249v2TS304_5o,304s,0.785
T1249v2TS075_5o,075s,0.776
T1249v2TS122_5o,122s,0.776
T1249v2TS475_5o,475s,0.776
T1249v1TS304_5o,304s,0.778
T1249v2TS284_5o,284s,0.776
T1249v1TS304_4o,304s,0.779
T1249v1TS304_3o,304s,0.786
T1249v2TS304_4o,304s,0.766
T1249v2TS287_4o,287,0.783
T1249v2TS272_2o,272,0.778
T1249v2TS272_1o,272,0.778
T1249v2TS117_3o,117,0.637
T1249v1TS008_5o,8,0.749
T1249v2TS287_5o,287,0.774
T1249v2TS117_4o,117,0.637
T1249v1TS272_3o,272,0.773
T1249v2TS287_3o,287,0.766
T1249v2TS393_5o,393,0.773
T1249v2TS314_5o,314s,0.772
T1249v2TS241_4o,241,0.76
T1249v2TS287_1o,287,0.773
T1249v1TS261_3o,261,0.722
T1249v1TS261_4o,261,0.718
T1249v1TS261_1o,261,0.72
T1249v2TS052_1o,052s,0.762
T1249v1TS304_2o,304s,0.773
T1249v2TS261_4o,261,0.722
T1249v2TS290_4o,290,0.758
T1249v2TS393_2o,393,0.748
T1249v1TS369_1o,369,0.757
T1249v2TS369_1o,369,0.757
T1249v2TS075_3o,075s,0.767
T1249v2TS122_4o,122s,0.767
T1249v2TS475_3o,475s,0.767
T1249v2TS284_3o,284s,0.767
T1249v2TS393_1o,393,0.755
T1249v2TS261_2o,261,0.716
T1249v2TS117_5o,117,0.627
T1249v1TS261_5o,261,0.722
T1249v1TS369_2o,369,0.758
T1249v2TS369_2o,369,0.758
T1249v1TS008_4o,8,0.741
T1249v2TS028_3o,028s,0.757
T1249v2TS290_5o,290,0.75
T1249v1TS008_3o,8,0.746
T1249v2TS369_3o,369,0.757
T1249v1TS369_3o,369,0.757
T1249v2TS261_1o,261,0.723
T1249v2TS204_2o,204,0.756
T1249v2TS425_1o,425s,0.759
T1249v2TS319_1o,319s,0.759
T1249v2TS051_5o,51,0.759
T1249v2TS331_1o,331s,0.759
T1249v1TS051_5o,51,0.759
T1249v1TS319_4o,319s,0.759
T1249v1TS425_4o,425s,0.759
T1249v1TS331_4o,331s,0.759
T1249v2TS261_5o,261,0.72
T1249v2TS314_4o,314s,0.771
