Gr.Code,Model,DockQ_Avg
008,T1249v1TS008_5o,0.298
014,T1249v1TS014_1o,0.161
015,T1249v2TS015_1o,0.145
022,T1249v1TS022_1o,0.183
023,T1249v2TS023_1o,0.01
028s,T1249v2TS028_3o,0.225
031,T1249v2TS031_4o,0.141
040,T1249v2TS040_3o,0.155
051,T1249v2TS051_5o,0.182
052s,T1249v2TS052_1o,0.259
059,T1249v1TS059_5o,0.209
075s,T1249v2TS075_4o,0.408
079s,T1249v1TS079_2o,0.164
085,T1249v2TS085_4o,0.014
091,T1249v1TS091_1o,0.225
110s,T1249v2TS110_1o,0.194
114s,T1249v2TS114_1o,0.014
117,T1249v2TS117_3o,0.39
122s,T1249v2TS122_1o,0.408
139,T1249v2TS139_3o,0.018
145s,T1249v2TS145_5o,0.242
147s,T1249v2TS147_1o,0.194
148s,T1249v2TS148_3o,0.194
163s,T1249v1TS163_5o,0.192
164,T1249v2TS164_2o,0.163
167,T1249v1TS167_5o,0.218
187,T1249v1TS187_1o,0.167
196,T1249v2TS196_5o,0.052
198s,T1249v2TS198_5o,0.21
204,T1249v2TS204_2o,0.254
208s,T1249v2TS208_4o,0.15
219s,T1249v2TS219_1o,0.263
221,T1249v1TS221_4o,0.156
241,T1249v2TS241_4o,0.268
261,T1249v1TS261_3o,0.273
262,T1249v2TS262_5o,0.094
264,T1249v2TS264_3o,0.194
267s,T1249v1TS267_1o,0.158
272,T1249v1TS272_2o,0.46
274,T1249v1TS274_5o,0.154
284s,T1249v2TS284_4o,0.408
286,T1249v1TS286_3o,0.152
287,T1249v2TS287_4o,0.398
290,T1249v2TS290_4o,0.247
293,T1249v1TS293_2o,0.164
294,T1249v2TS294_2o,0.182
300s,T1249v1TS300_2o,0.014
301,T1249v2TS301_1o,0.139
304s,T1249v2TS304_1o,0.511
311,T1249v2TS311_1o,0.144
312s,T1249v2TS312_3o,0.194
314s,T1249v2TS314_1o,0.516
319s,T1249v2TS319_1o,0.182
322,T1249v2TS322_1o,0.263
323,T1249v2TS323_1o,0.139
331s,T1249v2TS331_1o,0.182
337s,T1249v2TS337_4o,0.017
345,T1249v2TS345_5o,0.188
369,T1249v1TS369_2o,0.22
375s,T1249v2TS375_2o,0.206
380,T1249v2TS380_5o,0.242
393,T1249v2TS393_5o,0.325
397,T1249v1TS397_1o,0.213
419,T1249v1TS419_4o,0.156
423s,T1249v1TS423_4o,0.147
425s,T1249v2TS425_1o,0.182
450s,T1249v1TS450_5o,0.218
456s,T1249v1TS456_4o,0.156
462,T1249v1TS462_1o,0.026
465,T1249v2TS465_3o,0.148
475s,T1249v2TS475_4o,0.408
489,T1249v1TS489_4o,0.075
494,T1249v1TS494_4o,0.198
