Group,best_Average_dockq_v1_ref,best_model_v1_ref,best_version_v1_ref,best_model_v2_ref,best_version_v2_ref,best_Average_dockq_v2_ref,best_v1_ref,best_v2_ref,Combined_Score
TS274,0.3646666666666666,T1249v2TS274_1o,v2,T1249v1TS274_5o,v1,0.154,0.3646666666666666,0.154,0.5186666666666666
TS272,0.056,T1249v2TS272_1o,v2,T1249v1TS272_2o,v1,0.46,0.056,0.46,0.516
TS164,0.3926666666666666,T1249v2TS164_5o,v2,T1249v1TS164_4o,v1,0.1216666666666666,0.3926666666666666,0.1216666666666666,0.5143333333333332
TS028,0.4573333333333333,T1249v2TS028_1o,v2,T1249v1TS028_4o,v1,0.031666667,0.4573333333333333,0.031666667,0.4890000003333333
TS208,0.3743333333333333,T1249v2TS208_4o,v2,T1249v1TS208_5o,v1,0.1043333333333333,0.3743333333333333,0.1043333333333333,0.4786666666666666
TS110,0.45,T1249v2TS110_1o,v2,T1249v1TS110_4o,v1,0.026666667,0.45,0.026666667,0.476666667
TS147,0.45,T1249v2TS147_1o,v2,T1249v1TS147_2o,v1,0.0263333333333333,0.45,0.0263333333333333,0.47633333333333333
TS462,0.45,T1249v2TS462_1o,v2,T1249v1TS462_2o,v1,0.0263333333333333,0.45,0.0263333333333333,0.47633333333333333
TS117,0.0183333333333333,T1249v1TS117_2o,v1,T1249v2TS117_3o,v2,0.3903333333333333,0.0183333333333333,0.3903333333333333,0.4086666666666666
TS040,0.3913333333333333,T1249v2TS040_3o,v2,,,,0.3913333333333333,0.0,0.3913333333333333
TS419,0.262,T1249v1TS419_3o,v1,T1249v2TS419_1o,v2,0.124,0.262,0.124,0.386
TS286,0.262,T1249v1TS286_3o,v1,T1249v2TS286_1o,v2,0.124,0.262,0.124,0.386
TS221,0.262,T1249v1TS221_3o,v1,T1249v2TS221_1o,v2,0.124,0.262,0.124,0.386
TS323,0.3103333333333333,T1249v2TS323_1o,v2,T1249v1TS323_1o,v1,0.0236666666666666,0.3103333333333333,0.0236666666666666,0.3339999999999999
TS262,0.2446666666666666,T1249v2TS262_5o,v2,T1249v1TS262_1o,v1,0.085,0.2446666666666666,0.085,0.3296666666666666
TS489,0.15,T1249v1TS489_1o,v1,T1249v2TS489_5o,v2,0.0516666666666666,0.15,0.0516666666666666,0.2016666666666666
TS196,0.0139999999999999,T1249v1TS196_3o,v1,T1249v2TS196_5o,v2,0.0523333333333333,0.0139999999999999,0.0523333333333333,0.0663333333333332
TS114,0.0213333333333333,T1249v1TS114_5o,v1,T1249v2TS114_1o,v2,0.0139999999999999,0.0213333333333333,0.0139999999999999,0.0353333333333332
TS337,0.0163333333333333,T1249v2TS337_1o,v2,T1249v1TS337_4o,v1,0.0169999999999999,0.0163333333333333,0.0169999999999999,0.0333333333333332
TS139,0.0126666666666666,T1249v1TS139_2o,v1,T1249v2TS139_3o,v2,0.018,0.0126666666666666,0.018,0.0306666666666666
TS300,0.015,T1249v1TS300_2o,v1,T1249v2TS300_2o,v2,0.0143333333333333,0.015,0.0143333333333333,0.0293333333333333
TS085,0.0113333333333333,T1249v2TS085_4o,v2,T1249v1TS085_2o,v1,0.0143333333333333,0.0113333333333333,0.0143333333333333,0.0256666666666666
TS023,0.0136666666666666,T1249v1TS023_3o,v1,T1249v2TS023_3o,v2,0.009666667,0.0136666666666666,0.009666667,0.0233333336666666
