Model,Gr.Code,lDDT
T1249v2TS147_5o,147s,0.771
T1249v2TS052_1o,052s,0.769
T1249v1TS008_3o,8,0.759
T1249v1TS331_4o,331s,0.783
T1249v2TS331_1o,331s,0.783
T1249v1TS425_4o,425s,0.783
T1249v2TS319_1o,319s,0.783
T1249v1TS319_4o,319s,0.783
T1249v2TS051_5o,51,0.783
T1249v1TS051_5o,51,0.783
T1249v2TS425_1o,425s,0.783
T1249v1TS091_3o,91,0.754
T1249v2TS051_1o,51,0.779
T1249v2TS345_1o,345,0.779
T1249v1TS345_4o,345,0.779
T1249v2TS301_5o,301,0.764
T1249v1TS311_2o,311,0.761
T1249v1TS079_4o,079s,0.749
T1249v2TS311_2o,311,0.761
T1249v1TS293_4o,293,0.749
T1249v2TS301_1o,301,0.773
T1249v2TS059_1o,59,0.754
T1249v1TS241_1o,241,0.773
T1249v2TS369_1o,369,0.77
T1249v1TS369_1o,369,0.77
T1249v2TS423_4o,423s,0.742
T1249v1TS059_3o,59,0.769
T1249v1TS267_3o,267s,0.768
T1249v2TS423_2o,423s,0.747
T1249v2TS267_5o,267s,0.681
T1249v2TS091_4o,91,0.774
T1249v2TS423_3o,423s,0.742
T1249v1TS079_3o,079s,0.764
T1249v2TS031_4o,31,0.744
T1249v1TS293_3o,293,0.764
T1249v2TS079_5o,079s,0.764
T1249v2TS293_5o,293,0.764
T1249v2TS301_2o,301,0.766
T1249v1TS425_5o,425s,0.771
T1249v2TS319_2o,319s,0.771
T1249v1TS331_5o,331s,0.771
T1249v2TS331_2o,331s,0.771
T1249v2TS425_2o,425s,0.771
T1249v1TS319_5o,319s,0.771
T1249v2TS164_5o,164,0.771
T1249v2TS059_5o,59,0.747
T1249v1TS423_4o,423s,0.744
T1249v2TS015_3o,15,0.754
T1249v1TS015_3o,15,0.754
T1249v2TS301_3o,301,0.767
T1249v1TS031_5o,31,0.732
T1249v2TS031_1o,31,0.732
T1249v1TS301_3o,301,0.763
T1249v2TS031_5o,31,0.754
T1249v1TS241_2o,241,0.764
T1249v2TS164_4o,164,0.764
T1249v1TS301_2o,301,0.766
T1249v2TS290_2o,290,0.773
T1249v1TS091_2o,91,0.757
T1249v2TS031_3o,31,0.748
T1249v2TS059_2o,59,0.763
T1249v1TS267_5o,267s,0.753
T1249v2TS014_1o,14,0.735
T1249v2TS287_5o,287,0.767
T1249v2TS031_2o,31,0.75
T1249v1TS301_1o,301,0.754
T1249v1TS267_4o,267s,0.76
T1249v2TS219_4o,219s,0.664
T1249v2TS311_4o,311,0.753
T1249v1TS219_2o,219s,0.664
T1249v1TS311_4o,311,0.753
