Model,Global_GDT,g_RMS,Version,Group
T1239v1TS051_4.lga,71.271,2.84,v1,TS051
T1239v1TS345_4.lga,71.271,2.84,v1,TS345
T1239v1TS028_4.lga,70.89,2.67,v1,TS028
T1239v1TS208_4.lga,66.992,3.1,v1,TS208
T1239v1TS235_3.lga,66.271,3.25,v1,TS235
T1239v1TS462_4.lga,65.254,3.31,v1,TS462
T1239v1TS425_2.lga,63.305,3.45,v1,TS425
T1239v1TS110_1.lga,62.881,4.01,v1,TS110
T1239v1TS298_1.lga,61.737,3.71,v1,TS298
T1239v1TS419_2.lga,61.271,3.7,v1,TS419
T1239v1TS221_2.lga,61.271,3.7,v1,TS221
T1239v1TS204_5.lga,61.144,3.69,v1,TS204
T1239v1TS022_5.lga,60.72,4.67,v1,TS022
T1239v1TS456_3.lga,60.254,3.78,v1,TS456
T1239v1TS294_1.lga,59.661,4.41,v1,TS294
T1239v1TS262_2.lga,57.881,4.3,v1,TS262
T1239v1TS481_4.lga,56.271,4.89,v1,TS481
T1239v1TS147_3.lga,56.271,4.63,v1,TS147
T1239v1TS052_5.lga,55.89,4.48,v1,TS052
T1239v1TS331_2.lga,55.72,4.49,v1,TS331
T1239v1TS319_2.lga,55.72,4.49,v1,TS319
T1239v1TS325_2.lga,55.339,4.59,v1,TS325
T1239v1TS159_2.lga,55.339,4.59,v1,TS159
T1239v1TS314_5.lga,55,4.78,v1,TS314
T1239v1TS489_3.lga,54.958,4.98,v1,TS489
T1239v1TS241_1.lga,54.322,26.01,v1,TS241
T1239v1TS369_4.lga,54.153,22.46,v1,TS369
T1239v1TS167_5.lga,54.025,27.97,v1,TS167
T1239v1TS450_5.lga,54.025,27.97,v1,TS450
T1239v1TS019_5.lga,53.983,27.15,v1,TS019
T1239v1TS286_5.lga,53.644,26.48,v1,TS286
T1239v1TS033_2.lga,52.458,28.08,v1,TS033
T1239v1TS091_5.lga,52.119,22.13,v1,TS091
T1239v1TS423_4.lga,51.61,26.58,v1,TS423
T1239v1TS198_2.lga,50.254,24.27,v1,TS198
T1239v1TS272_3.lga,50.127,7.46,v1,TS272
T1239v1TS267_1.lga,49.915,27,v1,TS267
T1239v1TS079_2.lga,49.873,24.92,v1,TS079
T1239v1TS293_2.lga,49.873,24.92,v1,TS293
T1239v1TS287_3.lga,49.28,27.82,v1,TS287
T1239v1TS163_3.lga,48.39,25.14,v1,TS163
T1239v1TS465_4.lga,48.136,32.69,v1,TS465
T1239v1TS040_3.lga,48.093,26.58,v1,TS040
T1239v1TS017_5.lga,48.051,25,v1,TS017
T1239v1TS304_4.lga,47.966,27.4,v1,TS304
T1239v1TS112_4.lga,47.881,22.61,v1,TS112
T1239v1TS023_2.lga,47.669,22.6,v1,TS023
T1239v1TS145_2.lga,47.669,22.6,v1,TS145
T1239v1TS358_4.lga,47.288,26.78,v1,TS358
T1239v1TS375_4.lga,47.076,29.05,v1,TS375
T1239v1TS212_5.lga,46.737,24.88,v1,TS212
T1239v1TS122_3.lga,46.653,28.45,v1,TS122
T1239v1TS231_2.lga,46.398,27.34,v1,TS231
T1239v1TS139_3.lga,36.229,24.22,v1,TS139
T1239v1TS059_3.lga,37.5,24.22,v1,TS059
T1239v1TS301_4.lga,45.89,29.63,v1,TS301
T1239v1TS014_5.lga,45.678,25.41,v1,TS014
T1239v1TS015_4.lga,45,29.78,v1,TS015
T1239v1TS164_2.lga,44.958,28.46,v1,TS164
T1239v1TS397_1.lga,44.915,30.06,v1,TS397
T1239v1TS148_2.lga,44.915,29.27,v1,TS148
T1239v1TS312_2.lga,44.915,29.27,v1,TS312
T1239v1TS264_2.lga,43.39,31.38,v1,TS264
T1239v1TS311_1.lga,42.246,32.71,v1,TS311
T1239v1TS196_2.lga,38.941,35.71,v1,TS196
T1239v1TS388_3.lga,38.093,35.46,v1,TS388
T1239v1TS120_3.lga,31.568,25.07,v1,TS120
T1239v1TS361_2.lga,31.441,25.12,v1,TS361
T1239v1TS351_1.lga,24.492,38.49,v1,TS351
T1239v1TS105_3.lga,4.195,82.45,v1,TS105
