Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber,Balance,TSBI_Score
TS298,ShanghaiTech-human,1.5732,0.7404,0.8328,TS298_v2_1,TS298_v1_1,0.8328,v2_v1,0.8082,0.7404,0.8328,0.7884,1.0,1.0,1.0,1.0,0.9412662090007627,1.4808
TS450,OpenComplex_Server,1.5691,0.7404,0.8287,TS450_v1_1,TS450_v2_5,0.8287,v2_v2,0.7404,0.7505,0.7833,0.8287,1.0,5.0,1.0,5.0,0.943725702632082,1.4808
TS167,OpenComplex,1.5691,0.7404,0.8287,TS167_v1_1,TS167_v2_5,0.8287,v2_v2,0.7404,0.7505,0.7833,0.8287,1.0,5.0,1.0,5.0,0.943725702632082,1.4808
TS231,B-LAB,1.5371,0.7404,0.7967,TS231_v1_2,TS231_v2_5,0.7967,v2_v2,0.7404,0.7419,0.7899,0.7967,2.0,1.0,2.0,5.0,0.9633725847374927,1.4808
TS304,AF3-server,1.5441,0.7388,0.8053,TS304_v1_1,TS304_v2_2,0.8053,v2_v2,0.7388,0.7441,0.7962,0.8053,1.0,2.0,5.0,2.0,0.9569328411372321,1.4776
TS091,Huang-HUST,1.5205,0.7382,0.7823,TS091_v1_4,TS091_v2_4,0.7823,v2_v2,0.7382,0.7382,0.7823,0.7823,4.0,4.0,4.0,4.0,0.970996382768826,1.4764
TS033,Diff,1.5384,0.7322,0.8062,TS033_v1_1,TS033_v2_4,0.8062,v2_v2,0.7322,0.7491,0.799,0.8062,1.0,4.0,1.0,4.0,0.9518980759230369,1.4644
TS164,McGuffin,1.5011999999999999,0.7253,0.7759,TS164_v1_5,TS164_v2_5,0.7759,v2_v2,0.7253,0.7253,0.7755,0.7759,5.0,5.0,5.0,5.0,0.9662936317612576,1.4506
TS369,Bhattacharya,1.498,0.7247,0.7733,TS369_v1_4,TS369_v2_1,0.7733,v2_v2,0.7247,0.7247,0.7733,0.7733,4.0,4.0,1.0,1.0,0.9675567423230975,1.4494
TS264,GuijunLab-Human,1.5054,0.7196,0.7858,TS264_v2_6,TS264_v1_5,0.7858,v2_v1,0.7243,0.7196,0.7858,0.7741,5.0,6.0,5.0,6.0,0.9560249767503654,1.4392
TS198,colabfold,1.5030000000000001,0.7164,0.7866,TS198_v1_5,TS198_v2_4,0.7866,v2_v2,0.7164,0.7344,0.7644,0.7866,5.0,4.0,5.0,4.0,0.9532934131736528,1.4328000000000003
TS023,FTBiot0119,1.5030000000000001,0.7146,0.7884,TS023_v1_5,TS023_v2_4,0.7884,v2_v2,0.7146,0.7404,0.7649,0.7884,5.0,4.0,5.0,4.0,0.9508982035928144,1.4292000000000002
TS145,colabfold_baseline,1.5030000000000001,0.7146,0.7884,TS145_v1_2,TS145_v2_4,0.7884,v2_v2,0.7146,0.7404,0.7649,0.7884,2.0,4.0,5.0,4.0,0.9508982035928144,1.4292000000000002
TS017,Seder2024hard,1.5001,0.7146,0.7855,TS017_v1_1,TS017_v2_5,0.7855,v2_v2,0.7146,0.7391,0.7649,0.7855,1.0,5.0,5.0,5.0,0.9527364842343844,1.4292
TS358,PerezLab_Gators,1.498,0.7132,0.7848,TS358_v1_5,TS358_v2_1,0.7848,v2_v2,0.7132,0.7312,0.766,0.7848,5.0,1.0,5.0,1.0,0.9522029372496661,1.4264
TS148,Guijunlab-Complex,1.4929999999999999,0.7129,0.7801,TS148_v2_5,TS148_v1_3,0.7801,v2_v1,0.7228,0.7129,0.7801,0.7703,3.0,5.0,3.0,3.0,0.9549899531145345,1.4258
TS287,plmfold,1.487,0.7128,0.7742,TS287_v2_4,TS287_v1_5,0.7742,v2_v1,0.72,0.7128,0.7742,0.7688,5.0,4.0,5.0,3.0,0.9587088096839274,1.4256
TS375,milliseconds,1.4790999999999999,0.7105,0.7686,TS375_v2_3,TS375_v1_2,0.7686,v2_v1,0.7126,0.7105,0.7686,0.7662,1.0,3.0,2.0,3.0,0.9607193563653573,1.4209999999999998
TS312,GuijunLab-Assembly,1.4904000000000002,0.7103,0.7801,TS312_v2_5,TS312_v1_3,0.7801,v2_v1,0.7228,0.7103,0.7801,0.7662,3.0,5.0,3.0,5.0,0.953166935050993,1.4206
TS163,MultiFOLD2,1.4853,0.7098,0.7755,TS163_v1_3,TS163_v2_5,0.7755,v2_v2,0.7098,0.725,0.7602,0.7755,3.0,5.0,3.0,5.0,0.9557665118157948,1.4196
TS122,MQA_server,1.4715,0.7096,0.7619,TS122_v1_4,TS122_v2_2,0.7619,v2_v2,0.7096,0.7096,0.7619,0.7619,4.0,4.0,2.0,2.0,0.964458036017669,1.4192
TS301,GHZ-MAN,1.4813,0.7096,0.7717,TS301_v2_5,TS301_v1_4,0.7717,v2_v1,0.7174,0.7096,0.7717,0.7619,4.0,5.0,4.0,2.0,0.9580773644771484,1.4192
TS397,smg_ulaval,1.4726,0.7074,0.7652,TS397_v1_1,TS397_v2_1,0.7652,v2_v2,0.7074,0.7108,0.7632,0.7652,1.0,1.0,1.0,1.0,0.9607496944180361,1.4147999999999998
TS112,Seder2024easy,1.4846,0.6991,0.7855,TS112_v1_2,TS112_v2_1,0.7855,v2_v2,0.6991,0.7391,0.7425,0.7855,2.0,1.0,2.0,1.0,0.941802505725448,1.3982
TS423,ShanghaiTech-server,1.4385,0.6827,0.7558,TS423_v2_3,TS423_v1_2,0.7558,v2_v1,0.7049,0.6827,0.7558,0.7312,2.0,3.0,2.0,3.0,0.9491831769204031,1.3653999999999997
TS267,kiharalab_server,1.4212,0.6797,0.7415,TS267_v1_5,TS267_v2_4,0.7415,v2_v2,0.6797,0.6873,0.7257,0.7415,5.0,4.0,5.0,4.0,0.9565156206023079,1.3594
TS014,Cool-PSP,1.4096000000000002,0.6782,0.7314,TS014_v2_6,TS014_v1_1,0.7314,v2_v1,0.685,0.6782,0.7314,0.7271,5.0,6.0,1.0,1.0,0.9622587968217934,1.3564
TS465,Wallner,1.4295,0.675,0.7545,TS465_v1_3,TS465_v2_2,0.7545,v2_v2,0.675,0.6923,0.7238,0.7545,3.0,2.0,3.0,2.0,0.944386149003148,1.35
TS079,MRAFold,1.3883999999999999,0.6727,0.7157,TS079_v1_3,TS079_v2_3,0.7157,v2_v2,0.6727,0.6727,0.7157,0.7157,3.0,3.0,3.0,3.0,0.9690290982425813,1.3453999999999997
TS293,MRAH,1.3883999999999999,0.6727,0.7157,TS293_v1_3,TS293_v2_3,0.7157,v2_v2,0.6727,0.6727,0.7157,0.7157,3.0,3.0,3.0,3.0,0.9690290982425813,1.3453999999999997
TS059,DeepFold,1.4055,0.6655,0.74,TS059_v1_6,TS059_v2_3,0.74,v2_v2,0.6655,0.6783,0.7125,0.74,6.0,3.0,6.0,3.0,0.9469939523301316,1.331
TS139,DeepFold-refine,1.3876,0.6655,0.7221,TS139_v1_6,TS139_v2_6,0.7221,v2_v2,0.6655,0.6738,0.7125,0.7221,6.0,6.0,6.0,6.0,0.9592101470164313,1.331
TS212,PIEFold_human,1.4274,0.6578,0.7696,TS212_v1_3,TS212_v2_1,0.7696,v2_v2,0.6578,0.7315,0.7021,0.7696,3.0,1.0,1.0,1.0,0.9216757741347906,1.3156
TS388,DeepFold-server,1.4099,0.6489,0.761,TS388_v1_2,TS388_v2_3,0.761,v2_v2,0.6489,0.6965,0.71,0.761,2.0,3.0,4.0,3.0,0.920490814951415,1.2978
TS040,DELCLAB,1.3441,0.647,0.6971,TS040_v1_2,TS040_v2_3,0.6971,v2_v2,0.647,0.647,0.6971,0.6971,2.0,2.0,3.0,3.0,0.9627259876497284,1.294
TS015,PEZYFoldings,1.343,0.6454,0.6976,TS015_v2_6,TS015_v1_6,0.6976,v2_v1,0.6582,0.6454,0.6976,0.6846,6.0,6.0,6.0,6.0,0.9611317944899479,1.2908
TS196,HYU_MLLAB,1.2661,0.6042,0.6619,TS196_v1_1,TS196_v2_3,0.6619,v2_v2,0.6042,0.6042,0.6619,0.6619,1.0,1.0,3.0,3.0,0.9544269804912724,1.2084
TS351,digiwiser-ensemble,1.2309,0.5902,0.6407,TS351_v1_1,TS351_v2_1,0.6407,v2_v2,0.5902,0.5902,0.6407,0.6407,1.0,1.0,1.0,1.0,0.9589731091071573,1.1804
TS120,Cerebra,1.1244,0.5439,0.5805,TS120_v1_4,TS120_v2_3,0.5805,v2_v2,0.5439,0.5439,0.5776,0.5805,4.0,3.0,4.0,3.0,0.9674493062966916,1.0878
TS361,Cerebra_server,0.5805,0.0,0.5805,TS361_v2_None,TS361_v1_3,0.5805,v2_v1,0.5439,0.0,0.5805,0.0,3.0,,3.0,,0.0,-1.0
TS311,RAGfold_Prot1,0.7573,0.0,0.7573,TS311_v2_None,TS311_v1_1,0.7573,v2_v1,0.6991,0.0,0.7573,0.0,4.0,,1.0,,0.0,-1.0
TS269,CSSB_server,0.7631,0.0,0.7631,TS269_v1_None,TS269_v2_2,0.7631,v2_v2,0.0,0.7084,0.0,0.7631,,2.0,,2.0,0.0,-1.0
TS284,Unicorn,0.7619,0.0,0.7619,TS284_v1_None,TS284_v2_2,0.7619,v2_v2,0.0,0.7096,0.0,0.7619,,5.0,,2.0,0.0,-1.0
TS075,GHZ-ISM,0.7619,0.0,0.7619,TS075_v1_None,TS075_v2_2,0.7619,v2_v2,0.0,0.7096,0.0,0.7619,,5.0,,2.0,0.0,-1.0
TS475,ptq,0.7713,0.0,0.7713,TS475_v1_None,TS475_v2_5,0.7713,v2_v2,0.0,0.7136,0.0,0.7713,,4.0,,5.0,0.0,-1.0
TS105,PFSC-PFVM,0.0684,0.0,0.0684,TS105_v2_None,TS105_v1_3,0.0684,v2_v1,0.0642,0.0,0.0684,0.0,3.0,,3.0,,0.0,-1.0
