Group,Group_Name,Combined_Score,Best_v1_ref,V1_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v1_ModelNumber
TS139,DeepFold-refine,0.8093,0.8093,TS139_v1_6,0.8093,v1_v1,0.8093,6
TS059,DeepFold,0.8093,0.8093,TS059_v1_6,0.8093,v1_v1,0.8093,6
TS202,test001,0.8076,0.8076,TS202_v1_5,0.8076,v1_v1,0.8076,5
TS204,Zou,0.8058,0.8058,TS204_v1_5,0.8058,v1_v1,0.8058,5
TS286,CSSB_experimental,0.7993,0.7993,TS286_v1_2,0.7993,v1_v1,0.7993,2
TS040,DELCLAB,0.7533,0.7533,TS040_v1_5,0.7533,v1_v1,0.7533,5
TS494,ClusPro,0.752,0.752,TS494_v1_1,0.752,v1_v1,0.752,1
TS274,kozakovvajda,0.752,0.752,TS274_v1_1,0.752,v1_v1,0.752,1
TS039,arosko,0.7492,0.7492,TS039_v1_3,0.7492,v1_v1,0.7492,3
TS120,Cerebra,0.7219,0.7219,TS120_v1_6,0.7219,v1_v1,0.7219,6
TS461,forlilab,0.7114,0.7114,TS461_v1_2,0.7114,v1_v1,0.7114,2
TS275,Seminoles,0.6919,0.6919,TS275_v1_1,0.6919,v1_v1,0.6919,1
TS361,Cerebra_server,0.6264,0.6264,TS361_v1_1,0.6264,v1_v1,0.6264,1
TS132,profold2,0.4814,0.4814,TS132_v1_1,0.4814,v1_v1,0.4814,1
