Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,v1_v1_Score,v1_v1_ModelNumber,v2_v2_Score,v2_v2_ModelNumber
TS331,MULTICOM_AI,1.6501000000000001,0.847,0.8031,TS331_v1_1,0.847,1,0.8031,1
TS198,colabfold,1.6497,0.8389,0.8108,TS198_v1_5,0.8389,5,0.8108,5
TS475,ptq,1.6492,0.8334,0.8158,TS475_v1_5,0.8334,5,0.8158,5
TS019,Zheng-Server,1.649,0.8505,0.7985,TS019_v1_2,0.8505,2,0.7985,2
TS284,Unicorn,1.6489,0.8483,0.8006,TS284_v1_1,0.8483,1,0.8006,1
TS075,GHZ-ISM,1.6489,0.8483,0.8006,TS075_v1_1,0.8483,1,0.8006,1
TS294,KiharaLab,1.6482,0.8354,0.8128,TS294_v1_2,0.8354,2,0.8128,2
TS408,SNU-CHEM-lig,1.6451,0.8361,0.809,TS408_v1_3,0.8361,3,0.809,3
TS465,Wallner,1.6442999999999999,0.8517,0.7926,TS465_v1_2,0.8517,2,0.7926,2
TS014,Cool-PSP,1.6333,0.8388,0.7945,TS014_v1_4,0.8388,4,0.7945,4
TS055,LCDD-team,1.6152,0.8246,0.7906,TS055_v1_3,0.8246,3,0.7906,3
TS202,test001,1.5748,0.8076,0.7672,TS202_v1_5,0.8076,5,0.7672,5
TS120,Cerebra,1.4464000000000001,0.7219,0.7245,TS120_v1_6,0.7219,6,0.7245,6
TS461,forlilab,1.4363000000000001,0.7114,0.7249,TS461_v1_2,0.7114,2,0.7249,2
TS275,Seminoles,1.3685,0.6919,0.6766,TS275_v1_1,0.6919,1,0.6766,1
TS361,Cerebra_server,1.2704,0.6264,0.644,TS361_v1_1,0.6264,1,0.644,1
TS132,profold2,0.9846999999999999,0.4814,0.5033,TS132_v1_1,0.4814,1,0.5033,1
