Group,Group_Name,Combined_Score,Best_v1_ref,V1_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v1_ModelNumber
TS059,DeepFold,0.9739,0.9739,TS059_v1_6,0.9739,v1_v1,0.9739,6
TS139,DeepFold-refine,0.9739,0.9739,TS139_v1_6,0.9739,v1_v1,0.9739,6
TS262,CoDock,0.9734,0.9734,TS262_v1_5,0.9734,v1_v1,0.9734,5
TS204,Zou,0.9732,0.9732,TS204_v1_3,0.9732,v1_v1,0.9732,3
TS286,CSSB_experimental,0.9716,0.9716,TS286_v1_2,0.9716,v1_v1,0.9716,2
TS120,Cerebra,0.9692,0.9692,TS120_v1_6,0.9692,v1_v1,0.9692,6
TS275,Seminoles,0.9642,0.9642,TS275_v1_1,0.9642,v1_v1,0.9642,1
TS040,DELCLAB,0.9638,0.9638,TS040_v1_3,0.9638,v1_v1,0.9638,3
TS461,forlilab,0.9589,0.9589,TS461_v1_2,0.9589,v1_v1,0.9589,2
TS039,arosko,0.9571,0.9571,TS039_v1_1,0.9571,v1_v1,0.9571,1
TS494,ClusPro,0.9531,0.9531,TS494_v1_3,0.9531,v1_v1,0.9531,3
TS274,kozakovvajda,0.9531,0.9531,TS274_v1_3,0.9531,v1_v1,0.9531,3
TS361,Cerebra_server,0.9469,0.9469,TS361_v1_1,0.9469,v1_v1,0.9469,1
TS132,profold2,0.8002,0.8002,TS132_v1_1,0.8002,v1_v1,0.8002,1
