Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS456,Yang-Multimer,172.1554714752218,75.87282820211426,96.28264327310752,TS456_v1_1,TS456_v2_4,96.28264327310752,v2_v2,75.87282820211426,,,96.28264327310752,1.0,,,4.0
TS311,RAGfold_Prot1,172.07905931586316,86.2096647238484,85.86939459201474,TS311_v1_4,TS311_v2_5,86.2096647238484,v1_v1,86.2096647238484,,,85.86939459201474,4.0,,,5.0
TS304,AF3-server,172.0570624200596,85.46052528289985,86.59653713715974,TS304_v1_2,TS304_v2_4,86.59653713715974,v2_v2,85.46052528289985,,,86.59653713715974,2.0,,,4.0
TS241,elofsson,172.0570624200596,85.46052528289985,86.59653713715974,TS241_v1_2,TS241_v2_4,86.59653713715974,v2_v2,85.46052528289985,,,86.59653713715974,2.0,,,4.0
TS267,kiharalab_server,171.9677020244511,85.12541413074716,86.84228789370395,TS267_v1_2,TS267_v2_3,86.84228789370395,v2_v2,85.12541413074716,,,86.84228789370395,2.0,,,3.0
TS269,CSSB_server,171.8765296433367,76.63732339766776,95.23920624566895,TS269_v1_3,TS269_v2_4,95.23920624566895,v2_v2,76.63732339766776,,,95.23920624566895,3.0,,,4.0
TS221,CSSB_FAKER,171.83445291271164,76.6305464631347,95.20390644957692,TS221_v1_3,TS221_v2_5,95.20390644957692,v2_v2,76.6305464631347,,,95.20390644957692,3.0,,,5.0
TS419,CSSB-Human,171.83445291271164,76.6305464631347,95.20390644957692,TS419_v1_3,TS419_v2_5,95.20390644957692,v2_v2,76.6305464631347,,,95.20390644957692,3.0,,,5.0
TS475,ptq,171.7958887404469,85.45763424138663,86.33825449906028,TS475_v1_2,TS475_v2_5,86.33825449906028,v2_v2,85.45763424138663,,,86.33825449906028,2.0,,,5.0
TS196,HYU_MLLAB,171.79320760336117,85.70291870253654,86.09028890082462,TS196_v1_4,TS196_v2_1,86.09028890082462,v2_v2,85.70291870253654,,,86.09028890082462,4.0,,,1.0
TS345,MULTICOM_human,171.4030444330595,84.87200307864381,86.53104135441568,TS345_v1_4,TS345_v2_1,86.53104135441568,v2_v2,84.87200307864381,,,86.53104135441568,4.0,,,1.0
TS235,isyslab-hust,171.3825457358204,84.10727499860184,87.27527073721856,TS235_v1_3,TS235_v2_5,87.27527073721856,v2_v2,84.10727499860184,,,87.27527073721856,3.0,,,5.0
TS301,GHZ-MAN,171.33364244450576,85.17322510622758,86.16041733827817,TS301_v1_2,TS301_v2_4,86.16041733827817,v2_v2,85.17322510622758,,,86.16041733827817,2.0,,,4.0
TS051,MULTICOM,171.09647823902293,84.55640402076835,86.54007421825457,TS051_v1_3,TS051_v2_6,86.54007421825457,v2_v2,84.55640402076835,,,86.54007421825457,3.0,,,6.0
