Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber,Balance,TSBI_Score
TS019,Zheng-Server,1.5368,0.7623,0.7745,TS019_v1_1,TS019_v2_5,0.7745,v2_v2,0.7623,0.7623,0.7745,0.7745,1.0,2.0,4.0,5.0,0.9920614263404477,1.5246
TS462,Zheng,1.5758999999999999,0.9083,0.6676,TS462_v2_2,TS462_v1_1,0.9083,v1_v2,0.8881,0.9083,0.6676,0.5132,4.0,2.0,1.0,4.0,0.8472618820991179,1.3351999999999997
TS167,OpenComplex,1.3755,0.7212,0.6543,TS167_v1_1,TS167_v2_4,0.7212,v1_v1,0.7212,0.5061,0.5086,0.6543,1.0,3.0,5.0,4.0,0.9513631406761178,1.3086
TS450,OpenComplex_Server,1.3755,0.7212,0.6543,TS450_v1_1,TS450_v2_4,0.7212,v1_v1,0.7212,0.5061,0.5086,0.6543,1.0,3.0,5.0,4.0,0.9513631406761178,1.3086
TS481,Vfold,1.4655,0.815,0.6505,TS481_v1_5,TS481_v2_4,0.815,v1_v1,0.815,0.7654,0.5056,0.6505,5.0,5.0,4.0,4.0,0.8877516206073013,1.3010000000000002
TS147,Zheng-Multimer,1.4396,0.7972,0.6424,TS147_v1_3,TS147_v2_5,0.7972,v1_v1,0.7972,0.6988,0.5135,0.6424,3.0,1.0,4.0,5.0,0.892470130591831,1.2848
TS425,MULTICOM_GATE,1.5154999999999998,0.8795,0.636,TS425_v1_2,TS425_v2_4,0.8795,v1_v1,0.8795,0.8795,0.636,0.636,2.0,2.0,4.0,4.0,0.8393269548003959,1.2719999999999998
TS465,Wallner,1.2961,0.6618,0.6343,TS465_v1_4,TS465_v2_2,0.6618,v1_v1,0.6618,0.5402,0.5315,0.6343,4.0,4.0,3.0,2.0,0.9787825013502044,1.2686
TS033,Diff,1.3268,0.703,0.6238,TS033_v2_2,TS033_v1_1,0.703,v1_v2,0.7001,0.703,0.6238,0.5123,2.0,2.0,1.0,2.0,0.9403075067832379,1.2476
TS091,Huang-HUST,1.3243,0.7137,0.6106,TS091_v1_5,TS091_v2_3,0.7137,v1_v1,0.7137,0.7137,0.6106,0.6106,5.0,5.0,1.0,3.0,0.9221475496488711,1.2212
TS052,Yang-Server,1.3397999999999999,0.8116,0.5282,TS052_v1_5,TS052_v2_3,0.8116,v1_v1,0.8116,0.7392,0.5282,0.5282,5.0,4.0,3.0,3.0,0.7884758919241678,1.0564
TS293,MRAH,1.2005,0.6748,0.5257,TS293_v1_2,TS293_v2_3,0.6748,v1_v1,0.6748,0.6748,0.5257,0.5257,2.0,2.0,3.0,3.0,0.875801749271137,1.0514
TS079,MRAFold,1.2005,0.6748,0.5257,TS079_v1_2,TS079_v2_3,0.6748,v1_v1,0.6748,0.6748,0.5257,0.5257,2.0,2.0,3.0,3.0,0.875801749271137,1.0514
TS022,Yang,1.3446,0.8199,0.5247,TS022_v1_5,TS022_v2_4,0.8199,v1_v1,0.8199,0.7492,0.5247,0.5247,5.0,1.0,4.0,4.0,0.7804551539491299,1.0494
TS059,DeepFold,1.1926999999999999,0.6687,0.524,TS059_v1_6,TS059_v2_3,0.6687,v1_v1,0.6687,0.6141,0.5198,0.524,6.0,6.0,3.0,3.0,0.878678628322294,1.048
TS388,DeepFold-server,1.0501,0.5234,0.5267,TS388_v1_3,TS388_v2_2,0.5267,v2_v2,0.5234,0.5215,0.5216,0.5267,3.0,1.0,3.0,2.0,0.9968574421483668,1.0468
TS304,AF3-server,1.1952,0.6743,0.5209,TS304_v2_4,TS304_v1_2,0.6743,v1_v2,0.6656,0.6743,0.5209,0.5142,1.0,4.0,2.0,3.0,0.8716532797858099,1.0418
TS015,PEZYFoldings,1.1416,0.6207,0.5209,TS015_v2_3,TS015_v1_4,0.6207,v1_v2,0.6183,0.6207,0.5209,0.5181,4.0,3.0,4.0,1.0,0.9125788367203924,1.0417999999999998
TS196,HYU_MLLAB,1.0832,0.5202,0.563,TS196_v1_2,TS196_v2_3,0.563,v2_v2,0.5202,0.5202,0.563,0.563,2.0,2.0,3.0,3.0,0.9604874446085673,1.0404
TS456,Yang-Multimer,1.3791,0.8605,0.5186,TS456_v1_3,TS456_v2_2,0.8605,v1_v1,0.8605,0.8605,0.5186,0.5186,3.0,3.0,2.0,2.0,0.7520846929156696,1.0372
TS419,CSSB-Human,1.4314,0.9138,0.5176,TS419_v2_1,TS419_v1_4,0.9138,v1_v2,0.8726,0.9138,0.5176,0.7778,2.0,1.0,4.0,4.0,0.7232080480648316,1.0352
TS221,CSSB_FAKER,1.4314,0.9138,0.5176,TS221_v2_1,TS221_v1_4,0.9138,v1_v2,0.8726,0.9138,0.5176,0.7778,2.0,1.0,4.0,4.0,0.7232080480648316,1.0352
TS286,CSSB_experimental,1.4248,0.908,0.5168,TS286_v2_1,TS286_v1_5,0.908,v1_v2,0.7667,0.908,0.5168,0.6629,4.0,1.0,5.0,3.0,0.725435148792813,1.0336
TS204,Zou,1.3873000000000002,0.8716,0.5157,TS204_v1_5,TS204_v2_2,0.8716,v1_v1,0.8716,0.733,0.5157,0.5157,5.0,2.0,1.0,2.0,0.7434585165429252,1.0314000000000003
TS139,DeepFold-refine,1.184,0.6687,0.5153,TS139_v1_6,TS139_v2_2,0.6687,v1_v1,0.6687,0.6141,0.5064,0.5153,6.0,6.0,5.0,2.0,0.8704391891891892,1.0306
TS423,ShanghaiTech-server,1.2345000000000002,0.7197,0.5148,TS423_v1_4,TS423_v2_5,0.7197,v1_v1,0.7197,0.7164,0.5122,0.5148,4.0,4.0,4.0,5.0,0.8340218712029162,1.0296
TS235,isyslab-hust,1.4213,0.908,0.5133,TS235_v2_4,TS235_v1_1,0.908,v1_v2,0.8953,0.908,0.5133,0.512,3.0,4.0,1.0,4.0,0.7222964891296699,1.0266
TS241,elofsson,1.2692,0.7564,0.5128,TS241_v1_4,TS241_v2_5,0.7564,v1_v1,0.7564,0.734,0.5265,0.5128,4.0,5.0,1.0,5.0,0.8080680743775608,1.0256000000000003
TS319,MULTICOM_LLM,1.3233000000000001,0.8116,0.5117,TS319_v1_2,TS319_v2_5,0.8116,v1_v1,0.8116,0.8116,0.5117,0.5117,2.0,2.0,1.0,5.0,0.7733696062873121,1.0234000000000003
TS017,Seder2024hard,1.2006999999999999,0.6895,0.5112,TS017_v1_1,TS017_v2_4,0.6895,v1_v1,0.6895,0.6058,0.5048,0.5112,1.0,5.0,5.0,4.0,0.8515032897476472,1.0224
TS112,Seder2024easy,1.2008999999999999,0.6897,0.5112,TS112_v1_4,TS112_v2_4,0.6897,v1_v1,0.6897,0.6139,0.4996,0.5112,4.0,5.0,5.0,4.0,0.8513614788908319,1.0224
TS023,FTBiot0119,1.2005,0.6895,0.511,TS023_v1_2,TS023_v2_3,0.6895,v1_v1,0.6895,0.614,0.5056,0.511,2.0,1.0,5.0,3.0,0.8513119533527697,1.0219999999999998
TS145,colabfold_baseline,1.2005,0.6895,0.511,TS145_v1_2,TS145_v2_3,0.6895,v1_v1,0.6895,0.614,0.5056,0.511,2.0,1.0,5.0,3.0,0.8513119533527697,1.0219999999999998
TS110,MIEnsembles-Server,1.3645,0.8543,0.5102,TS110_v1_1,TS110_v2_2,0.8543,v1_v1,0.8543,0.7971,0.5105,0.5102,1.0,5.0,1.0,2.0,0.7478197141810188,1.0204000000000002
TS028,NKRNA-s,1.4312,0.9216,0.5096,TS028_v2_2,TS028_v1_4,0.9216,v1_v2,0.9202,0.9216,0.5096,0.5171,4.0,2.0,4.0,2.0,0.7121296813862494,1.0192
TS369,Bhattacharya,1.2202,0.711,0.5092,TS369_v1_3,TS369_v2_4,0.711,v1_v1,0.711,0.711,0.5092,0.5092,3.0,3.0,4.0,4.0,0.834617275856417,1.0184
TS040,DELCLAB,1.207,0.6981,0.5089,TS040_v1_3,TS040_v2_3,0.6981,v1_v1,0.6981,0.6981,0.5089,0.5089,3.0,3.0,3.0,3.0,0.8432477216238607,1.0178
TS051,MULTICOM,1.4259,0.9171,0.5088,TS051_v1_4,TS051_v2_4,0.9171,v1_v1,0.9171,0.9171,0.5088,0.5088,4.0,4.0,4.0,4.0,0.7136545339785398,1.0175999999999998
TS345,MULTICOM_human,1.4259,0.9171,0.5088,TS345_v1_4,TS345_v2_4,0.9171,v1_v1,0.9171,0.9171,0.5088,0.5088,4.0,4.0,4.0,4.0,0.7136545339785398,1.0175999999999998
TS287,plmfold,1.145,0.6367,0.5083,TS287_v1_3,TS287_v2_4,0.6367,v1_v1,0.6367,0.6201,0.5226,0.5083,3.0,4.0,3.0,4.0,0.8878602620087336,1.0166
TS301,GHZ-MAN,1.1598000000000002,0.6518,0.508,TS301_v2_4,TS301_v1_1,0.6518,v1_v2,0.633,0.6518,0.508,0.5028,4.0,4.0,1.0,4.0,0.8760131057078806,1.016
TS325,405,1.3079,0.8005,0.5074,TS325_v1_2,TS325_v2_2,0.8005,v1_v1,0.8005,0.8005,0.5074,0.5074,2.0,2.0,2.0,2.0,0.7759002981879348,1.0148
TS159,406,1.3079,0.8005,0.5074,TS159_v1_2,TS159_v2_2,0.8005,v1_v1,0.8005,0.8005,0.5074,0.5074,2.0,2.0,2.0,2.0,0.7759002981879348,1.0148
TS294,KiharaLab,1.3395000000000001,0.8327,0.5068,TS294_v1_1,TS294_v2_2,0.8327,v1_v1,0.8327,0.8003,0.5114,0.5068,1.0,3.0,3.0,2.0,0.7567002612915268,1.0136000000000003
TS331,MULTICOM_AI,1.3176999999999999,0.8116,0.5061,TS331_v1_2,TS331_v2_5,0.8116,v1_v1,0.8116,0.8116,0.5061,0.5061,2.0,2.0,1.0,5.0,0.7681566365637095,1.0121999999999998
TS314,GuijunLab-PAthreader,1.3239999999999998,0.8187,0.5053,TS314_v2_5,TS314_v1_5,0.8187,v1_v2,0.7916,0.8187,0.5053,0.5328,5.0,5.0,5.0,4.0,0.7632930513595166,1.0106
TS264,GuijunLab-Human,1.1581000000000001,0.6532,0.5049,TS264_v2_2,TS264_v1_5,0.6532,v1_v2,0.6324,0.6532,0.5049,0.5146,2.0,2.0,5.0,1.0,0.8719454278559711,1.0098000000000003
TS272,GromihaLab,1.2072,0.7033,0.5039,TS272_v1_1,TS272_v2_3,0.7033,v1_v1,0.7033,0.7033,0.5039,0.5039,1.0,3.0,1.0,3.0,0.8348243870112657,1.0078
TS262,CoDock,1.3359,0.8329,0.503,TS262_v1_5,TS262_v2_2,0.8329,v1_v1,0.8329,0.7488,0.504,0.503,5.0,2.0,1.0,2.0,0.7530503780223071,1.0060000000000002
TS312,GuijunLab-Assembly,1.1593,0.6563,0.503,TS312_v2_4,TS312_v1_3,0.6563,v1_v2,0.6196,0.6563,0.503,0.5029,2.0,4.0,3.0,4.0,0.867765030621927,1.006
TS164,McGuffin,1.1395,0.6365,0.503,TS164_v2_2,TS164_v1_2,0.6365,v1_v2,0.6284,0.6365,0.503,0.5007,1.0,2.0,2.0,2.0,0.8828433523475209,1.006
TS148,Guijunlab-Complex,1.1928999999999998,0.6899,0.503,TS148_v2_5,TS148_v1_3,0.6899,v1_v2,0.6196,0.6899,0.503,0.5145,2.0,5.0,3.0,3.0,0.8433229943834353,1.0059999999999998
TS122,MQA_server,1.1546,0.6518,0.5028,TS122_v1_3,TS122_v2_3,0.6518,v1_v1,0.6518,0.6518,0.5028,0.5028,3.0,3.0,3.0,3.0,0.87095097869392,1.0056
TS231,B-LAB,1.213,0.7107,0.5023,TS231_v2_1,TS231_v1_2,0.7107,v1_v2,0.6457,0.7107,0.5023,0.5202,1.0,1.0,2.0,1.0,0.828194558944765,1.0046
TS489,Fernandez-Recio,1.2828,0.7809,0.5019,TS489_v1_3,TS489_v2_4,0.7809,v1_v1,0.7809,0.7573,0.5046,0.5019,3.0,4.0,3.0,4.0,0.7825070159027128,1.0037999999999998
TS397,smg_ulaval,1.1156000000000001,0.6139,0.5017,TS397_v2_1,TS397_v1_1,0.6139,v1_v2,0.6097,0.6139,0.5017,0.5022,1.0,1.0,1.0,1.0,0.8994263176765867,1.0034000000000003
TS212,PIEFold_human,1.305,0.8039,0.5011,TS212_v2_1,TS212_v1_4,0.8039,v1_v2,0.6373,0.8039,0.5011,0.5078,4.0,1.0,4.0,2.0,0.7679693486590038,1.0022
TS375,milliseconds,1.1782,0.6783,0.4999,TS375_v1_3,TS375_v2_3,0.6783,v1_v1,0.6783,0.6783,0.5136,0.4999,3.0,4.0,4.0,3.0,0.8485825836021049,0.9997999999999999
TS208,falcon2,1.4008,0.9019,0.4989,TS208_v1_4,TS208_v2_4,0.9019,v1_v1,0.9019,0.7651,0.5085,0.4989,4.0,4.0,1.0,4.0,0.7123072529982867,0.9978
TS120,Cerebra,1.022,0.5232,0.4988,TS120_v1_4,TS120_v2_4,0.5232,v1_v1,0.5232,0.5218,0.4984,0.4988,4.0,3.0,5.0,4.0,0.9761252446183953,0.9976
TS163,MultiFOLD2,1.1858,0.6889,0.4969,TS163_v1_2,TS163_v2_3,0.6889,v1_v1,0.6889,0.6341,0.4992,0.4969,2.0,2.0,3.0,3.0,0.8380839939281498,0.9938
TS267,kiharalab_server,1.1576,0.6617,0.4959,TS267_v1_1,TS267_v2_4,0.6617,v1_v1,0.6617,0.6201,0.5282,0.4959,1.0,1.0,2.0,4.0,0.8567726330338632,0.9918
TS014,Cool-PSP,1.1899,0.6947,0.4952,TS014_v2_3,TS014_v1_5,0.6947,v1_v2,0.6714,0.6947,0.4952,0.5125,5.0,3.0,5.0,3.0,0.8323388520043701,0.9904
TS198,colabfold,1.1941,0.6997,0.4944,TS198_v1_2,TS198_v2_1,0.6997,v1_v1,0.6997,0.6043,0.5049,0.4944,2.0,1.0,2.0,1.0,0.8280713508081401,0.9888
TS358,PerezLab_Gators,1.2091,0.7167,0.4924,TS358_v2_2,TS358_v1_4,0.7167,v1_v2,0.687,0.7167,0.4924,0.5108,4.0,2.0,4.0,2.0,0.8144901166156646,0.9848000000000001
TS298,ShanghaiTech-human,1.34,0.8726,0.4674,TS298_v1_1,TS298_v2_1,0.8726,v1_v1,0.8726,0.6057,0.5036,0.4674,1.0,1.0,1.0,1.0,0.6976119402985075,0.9348000000000001
TS351,digiwiser-ensemble,0.7122999999999999,0.354,0.3583,TS351_v1_2,TS351_v2_5,0.3583,v2_v2,0.354,0.354,0.3583,0.3583,2.0,2.0,5.0,5.0,0.993963217745332,0.708
TS105,PFSC-PFVM,0.1405,0.1405,0.0,TS105_v1_3,TS105_v2_None,0.1405,v1_v1,0.1405,0.0,0.1304,0.0,3.0,,3.0,,0.0,-1.0
TS075,GHZ-ISM,0.6518,0.6518,0.0,TS075_v2_4,TS075_v1_None,0.6518,v1_v2,0.0,0.6518,0.0,0.5028,,4.0,,4.0,0.0,-1.0
TS269,CSSB_server,0.6931,0.6931,0.0,TS269_v2_4,TS269_v1_None,0.6931,v1_v2,0.0,0.6931,0.0,0.4923,,4.0,,4.0,0.0,-1.0
TS475,ptq,0.6694,0.6694,0.0,TS475_v2_1,TS475_v1_None,0.6694,v1_v2,0.0,0.6694,0.0,0.5104,,1.0,,1.0,0.0,-1.0
TS311,RAGfold_Prot1,0.5334,0.0,0.5334,TS311_v2_None,TS311_v1_1,0.5334,v2_v1,0.5333,0.0,0.5334,0.0,1.0,,1.0,,0.0,-1.0
TS361,Cerebra_server,0.5218,0.5218,0.0,TS361_v1_3,TS361_v2_None,0.5218,v1_v1,0.5218,0.0,0.4988,0.0,3.0,,4.0,,0.0,-1.0
