Gr.Code,Model,BestDockQ
462,M1228v1TS462_3.pdb ,8.129
294,M1228v1TS294_1.pdb ,7.903
91,M1228v1TS091_3.pdb ,7.462
33,M1228v1TS033_4.pdb ,7.336
262,M1228v1TS262_1.pdb ,6.878
489,M1228v1TS489_1.pdb ,6.497
204,M1228v1TS204_2.pdb ,6.477
325,M1228v1TS325_1.pdb ,6.106
159,M1228v1TS159_1.pdb ,6.106
481,M1228v1TS481_4.pdb ,6.042
304,M1228v1TS304_2.pdb ,5.927
286,M1228v1TS286_1.pdb ,5.877
241,M1228v1TS241_3.pdb ,5.842
28,M1228v1TS028_4.pdb ,5.518
110,M1228v1TS110_3.pdb ,5.508
231,M1228v1TS231_2.pdb ,5.25
167,M1228v1TS167_1.pdb ,5.115
450,M1228v1TS450_1.pdb ,5.115
208,M1228v1TS208_1.pdb ,4.988
22,M1228v1TS022_4.pdb ,1.811
14,M1228v1TS014_4.pdb ,1.76
52,M1228v1TS052_3.pdb ,1.758
456,M1228v1TS456_4.pdb ,1.742
494,M1228v1TS494_2.pdb ,1.661
274,M1228v1TS274_2.pdb ,1.661
