Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS015,PEZYFoldings,189.10548395146537,94.44164394119,94.6638400102754,TS015_v1_5,TS015_v2_1,94.6638400102754,v2_v2,94.44164394119,,,94.6638400102754,5.0,,,1.0
TS462,Zheng,187.89606770656297,91.10429682041048,96.79177088615248,TS462_v1_6,TS462_v2_3,96.79177088615248,v2_v2,91.10429682041048,,,96.79177088615248,6.0,,,3.0
TS110,MIEnsembles-Server,185.08074967419904,88.22568918864184,96.8550604855572,TS110_v1_2,TS110_v2_5,96.8550604855572,v2_v2,88.22568918864184,,,96.8550604855572,2.0,,,5.0
TS022,Yang,184.8673598605269,90.1626568576454,94.7047030028815,TS022_v1_4,TS022_v2_2,94.7047030028815,v2_v2,90.1626568576454,,,94.7047030028815,4.0,,,2.0
TS091,Huang-HUST,183.93065931120304,85.80194773252894,98.12871157867409,TS091_v1_2,TS091_v2_1,98.12871157867409,v2_v2,85.80194773252894,,,98.12871157867409,2.0,,,1.0
TS388,DeepFold-server,182.941519853324,86.5285286380621,96.41299121526188,TS388_v1_4,TS388_v2_1,96.41299121526188,v2_v2,86.5285286380621,,,96.41299121526188,4.0,,,1.0
TS147,Zheng-Multimer,182.75128890475213,85.95951801859967,96.79177088615248,TS147_v1_1,TS147_v2_3,96.79177088615248,v2_v2,85.95951801859967,,,96.79177088615248,1.0,,,3.0
TS375,milliseconds,182.29420655846496,85.40252773297235,96.89167882549262,TS375_v1_3,TS375_v2_4,96.89167882549262,v2_v2,85.40252773297235,,,96.89167882549262,3.0,,,4.0
TS319,MULTICOM_LLM,180.78678662588248,85.12056319046432,95.66622343541816,TS319_v1_3,TS319_v2_4,95.66622343541816,v2_v2,85.12056319046432,,,95.66622343541816,3.0,,,4.0
TS425,MULTICOM_GATE,180.49530572418803,85.12056319046432,95.37474253372372,TS425_v1_2,TS425_v2_4,95.37474253372372,v2_v2,85.12056319046432,,,95.37474253372372,2.0,,,4.0
TS145,colabfold_baseline,180.32648024943495,83.11898936604732,97.20749088338762,TS145_v1_5,TS145_v2_1,97.20749088338762,v2_v2,83.11898936604732,,,97.20749088338762,5.0,,,1.0
TS017,Seder2024hard,180.32648024943495,83.11898936604732,97.20749088338762,TS017_v1_3,TS017_v2_1,97.20749088338762,v2_v2,83.11898936604732,,,97.20749088338762,3.0,,,1.0
TS198,colabfold,179.73410149147043,82.61300188890561,97.1210996025648,TS198_v1_4,TS198_v2_1,97.1210996025648,v2_v2,82.61300188890561,,,97.1210996025648,4.0,,,1.0
TS148,Guijunlab-Complex,179.35515141446257,85.3690762876378,93.98607512682476,TS148_v1_5,TS148_v2_2,93.98607512682476,v2_v2,85.3690762876378,,,93.98607512682476,5.0,,,2.0
TS208,falcon2,177.45423588428326,91.664564300854,85.78967158342928,TS208_v1_4,TS208_v2_2,91.664564300854,v1_v1,91.664564300854,,,85.78967158342928,4.0,,,2.0
TS465,Wallner,175.20186608346245,89.56840300681213,85.63346307665032,TS465_v1_3,TS465_v2_1,89.56840300681213,v1_v1,89.56840300681213,,,85.63346307665032,3.0,,,1.0
TS408,SNU-CHEM-lig,173.42412256109537,90.61451102123688,82.8096115398585,TS408_v1_1,TS408_v2_2,90.61451102123688,v1_v1,90.61451102123688,,,82.8096115398585,1.0,,,2.0
TS287,plmfold,172.67706001693006,85.58412406657682,87.09293595035324,TS287_v1_1,TS287_v2_5,87.09293595035324,v2_v2,85.58412406657682,,,87.09293595035324,1.0,,,5.0
TS369,Bhattacharya,171.53983593555154,83.2179428280057,88.32189310754583,TS369_v1_1,TS369_v2_5,88.32189310754583,v2_v2,83.2179428280057,,,88.32189310754583,1.0,,,5.0
TS314,GuijunLab-PAthreader,171.1127619024722,85.3690762876378,85.74368561483439,TS314_v1_1,TS314_v2_5,85.74368561483439,v2_v2,85.3690762876378,,,85.74368561483439,1.0,,,5.0
TS312,GuijunLab-Assembly,171.1127619024722,85.3690762876378,85.74368561483439,TS312_v1_1,TS312_v2_5,85.74368561483439,v2_v2,85.3690762876378,,,85.74368561483439,1.0,,,5.0
TS393,GuijunLab-QA,171.1127619024722,85.3690762876378,85.74368561483439,TS393_v1_1,TS393_v2_4,85.74368561483439,v2_v2,85.3690762876378,,,85.74368561483439,1.0,,,4.0
TS264,GuijunLab-Human,170.63071541528555,85.3690762876378,85.26163912764775,TS264_v1_1,TS264_v2_6,85.3690762876378,v1_v1,85.3690762876378,,,85.26163912764775,1.0,,,6.0
TS386,ShanghaiTech-Ligand,170.06875728204915,93.0131407552387,77.05561652681047,TS386_v1_4,TS386_v2_5,93.0131407552387,v1_v1,93.0131407552387,,,77.05561652681047,4.0,,,5.0
TS298,ShanghaiTech-human,170.06875728204915,93.0131407552387,77.05561652681047,TS298_v1_4,TS298_v2_5,93.0131407552387,v1_v1,93.0131407552387,,,77.05561652681047,4.0,,,5.0
TS423,ShanghaiTech-server,169.86081190814446,85.97045150045659,83.89036040768787,TS423_v1_1,TS423_v2_3,85.97045150045659,v1_v1,85.97045150045659,,,83.89036040768787,1.0,,,3.0
TS163,MultiFOLD2,169.7166158486291,84.58395427554849,85.13266157308061,TS163_v1_1,TS163_v2_5,85.13266157308061,v2_v2,84.58395427554849,,,85.13266157308061,1.0,,,5.0
