Group,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber,Combined_Score,Best_v1_ref,Best_v2_ref
TS091,0.75,v1_v1,0.75,0.75,0.7264,0.7264,3,1,4,4,1.4764,0.75,0.7264
TS419,0.7529,v1_v2,0.7497,0.7529,0.7217,0.7258,2,3,2,3,1.4746000000000001,0.7529,0.7217
TS079,0.7554,v1_v1,0.7554,0.7554,0.7191,0.7191,1,1,1,1,1.4745,0.7554,0.7191
TS221,0.7523,v1_v2,0.75,0.7523,0.7222,0.7261,2,4,2,4,1.4745,0.7523,0.7222
TS311,0.7468,v1_v1,0.7468,0.7468,0.7268,0.7268,4,4,5,5,1.4736,0.7468,0.7268
TS163,0.7545,v1_v1,0.7545,0.7545,0.7191,0.7191,1,1,2,2,1.4735999999999998,0.7545,0.7191
TS293,0.754,v1_v1,0.754,0.754,0.7161,0.7161,4,4,4,4,1.4701,0.754,0.7161
TS112,0.754,v1_v1,0.754,0.754,0.7144,0.7144,1,1,2,2,1.4684,0.754,0.7144
TS286,0.7509,v1_v2,0.7483,0.7509,0.7152,0.7252,1,3,4,3,1.4661,0.7509,0.7152
TS262,0.7438,v1_v1,0.7438,0.742,0.712,0.7139,4,2,4,2,1.4577,0.7438,0.7139
TS274,0.7411,v1_v1,0.7411,0.7411,0.7051,0.7051,1,1,3,3,1.4462,0.7411,0.7051
TS494,0.7411,v1_v1,0.7411,0.7411,0.7051,0.7051,1,1,3,3,1.4462,0.7411,0.7051
TS139,0.7467,v1_v1,0.7467,0.7435,0.7053,0.6985,6,6,6,6,1.4452,0.7467,0.6985
TS212,0.7007,v1_v2,0.6938,0.7007,0.673,0.6654,2,5,2,5,1.3737,0.7007,0.673
TS120,0.6533,v1_v2,0.652,0.6533,0.6316,0.6324,2,5,2,5,1.2849,0.6533,0.6316
TS361,0.6458,v1_v1,0.6458,0.6428,0.6255,0.6227,2,1,2,1,1.2685,0.6458,0.6227
