Group,Group_Name,TSBI_Score,Balance,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS091,Huang-HUST,1.88502,0.9707890860774357,1.9417399999999998,94.25099999999999,0.99923,TS091_v1_2,TS091_v2_1,0.99923,v2_v2,0.94251,,,0.99923,2.0,,,1.0
TS388,DeepFold-server,1.90468,0.9827309547764621,1.9381499999999998,95.234,0.98581,TS388_v1_4,TS388_v2_1,0.98581,v2_v2,0.95234,,,0.98581,4.0,,,1.0
TS110,MIEnsembles-Server,1.89334,0.9778032556602214,1.93632,94.667,0.98965,TS110_v1_1,TS110_v2_5,0.98965,v2_v2,0.94667,,,0.98965,1.0,,,5.0
TS015,PEZYFoldings,1.92814,0.9976767410213025,1.93263,96.407,0.96856,TS015_v1_2,TS015_v2_1,0.96856,v2_v2,0.96407,,,0.96856,2.0,,,1.0
TS375,milliseconds,1.88502,0.9759913844433283,1.93139,94.25099999999999,0.98888,TS375_v1_3,TS375_v2_4,0.98888,v2_v2,0.94251,,,0.98888,3.0,,,4.0
TS319,MULTICOM_LLM,1.8956199999999999,0.9821000222778304,1.93017,94.781,0.98236,TS319_v1_3,TS319_v2_4,0.98236,v2_v2,0.94781,,,0.98236,3.0,,,4.0
TS425,MULTICOM_GATE,1.89562,0.9826855087039015,1.92902,94.781,0.98121,TS425_v1_2,TS425_v2_4,0.98121,v2_v2,0.94781,,,0.98121,2.0,,,4.0
TS462,Zheng,1.8767,0.973200302844875,1.92838,93.83500000000001,0.99003,TS462_v1_2,TS462_v2_3,0.99003,v2_v2,0.93835,,,0.99003,2.0,,,3.0
TS147,Zheng-Multimer,1.8767,0.973200302844875,1.92838,93.83500000000001,0.99003,TS147_v1_2,TS147_v2_3,0.99003,v2_v2,0.93835,,,0.99003,2.0,,,3.0
TS198,colabfold,1.86762,0.9705854839883173,1.92422,93.381,0.99041,TS198_v1_5,TS198_v2_1,0.99041,v2_v2,0.93381,,,0.99041,5.0,,,1.0
TS017,Seder2024hard,1.86232,0.9697462013517876,1.92042,93.116,0.98926,TS017_v1_4,TS017_v2_1,0.98926,v2_v2,0.93116,,,0.98926,4.0,,,1.0
