Group,Group_Name,TSBI_Score,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS022,Yang,1.508,1.5310000000000001,0.777,0.754,TS022_v1_5o,TS022_v2_1o,0.777,v1_v1,0.777,0.777,0.754,0.754,5o,5o,1o,1o
TS091,Huang-HUST,1.512,1.53,0.774,0.756,TS091_v2_4o,TS091_v1_1o,0.774,v1_v2,0.764,0.774,0.756,0.743,1o,4o,1o,5o
TS148,Guijunlab-Complex,1.502,1.525,0.774,0.751,TS148_v2_1o,TS148_v1_1o,0.774,v1_v2,0.738,0.774,0.751,0.751,1o,1o,1o,5o
TS204,Zou,1.478,1.522,0.783,0.739,TS204_v2_3o,TS204_v1_3o,0.783,v1_v2,0.736,0.783,0.739,0.757,2o,3o,3o,3o
TS008,HADDOCK,1.498,1.5190000000000001,0.77,0.749,TS008_v1_4o,TS008_v2_5o,0.77,v1_v1,0.77,0.761,0.749,0.749,4o,1o,5o,5o
TS059,DeepFold,1.484,1.516,0.774,0.742,TS059_v1_1o,TS059_v2_6o,0.774,v1_v1,0.774,0.763,0.749,0.742,1o,2o,5o,6o
TS267,kiharalab_server,1.47,1.5110000000000001,0.776,0.735,TS267_v2_3o,TS267_v1_3o,0.776,v1_v2,0.768,0.776,0.735,0.747,3o,3o,3o,2o
TS145,colabfold_baseline,1.5100000000000002,1.5110000000000001,0.756,0.755,TS145_v1_1o,TS145_v2_5o,0.756,v1_v1,0.756,0.756,0.754,0.755,1o,1o,5o,5o
TS164,McGuffin,1.48,1.5110000000000001,0.771,0.74,TS164_v2_5o,TS164_v1_2o,0.771,v1_v2,0.738,0.771,0.74,0.752,5o,5o,2o,2o
TS380,mialab_prediction,1.5100000000000002,1.5110000000000001,0.756,0.755,TS380_v1_3o,TS380_v2_5o,0.756,v1_v1,0.756,0.756,0.754,0.755,3o,3o,5o,5o
TS311,RAGfold_Prot1,1.494,1.51,0.763,0.747,TS311_v1_3o,TS311_v2_1o,0.763,v1_v1,0.763,0.763,0.747,0.747,3o,3o,1o,1o
TS198,colabfold,1.492,1.51,0.764,0.746,TS198_v2_2o,TS198_v1_3o,0.764,v1_v2,0.751,0.764,0.746,0.747,5o,2o,3o,2o
TS301,GHZ-MAN,1.472,1.509,0.773,0.736,TS301_v2_1o,TS301_v1_3o,0.773,v1_v2,0.766,0.773,0.736,0.74,2o,1o,3o,1o
TS014,Cool-PSP,1.424,1.509,0.797,0.712,TS014_v1_1o,TS014_v2_1o,0.797,v1_v1,0.797,0.735,0.75,0.712,1o,1o,1o,1o
TS208,falcon2,1.488,1.506,0.762,0.744,TS208_v2_4o,TS208_v1_5o,0.762,v1_v2,0.741,0.762,0.744,0.75,5o,4o,5o,1o
TS163,MultiFOLD2,1.49,1.505,0.76,0.745,TS163_v1_3o,TS163_v2_3o,0.76,v1_v1,0.76,0.76,0.745,0.745,3o,3o,3o,3o
TS494,ClusPro,1.49,1.492,0.747,0.745,TS494_v1_2o,TS494_v2_5o,0.747,v1_v1,0.747,0.747,0.745,0.745,2o,5o,2o,5o
TS187,Ayush,1.4739999999999998,1.4849999999999999,0.748,0.737,TS187_v1_1o,TS187_v2_1o,0.748,v1_v1,0.748,0.748,0.737,0.737,1o,1o,1o,1o
TS322,XGroup,1.476,1.482,0.744,0.738,TS322_v1_4o,TS322_v2_1o,0.744,v1_v1,0.744,0.744,0.738,0.738,4o,1o,4o,1o
TS219,XGroup-Server,1.476,1.482,0.744,0.738,TS219_v1_4o,TS219_v2_1o,0.744,v1_v1,0.744,0.744,0.738,0.738,4o,1o,4o,1o
TS274,kozakovvajda,1.4599999999999997,1.4769999999999999,0.747,0.73,TS274_v2_1o,TS274_v1_5o,0.747,v1_v2,0.735,0.747,0.73,0.729,2o,1o,5o,1o
TS423,ShanghaiTech-server,1.446,1.47,0.747,0.723,TS423_v2_2o,TS423_v1_4o,0.747,v1_v2,0.744,0.747,0.723,0.725,4o,2o,4o,2o
TS031,MassiveFold,1.4219999999999997,1.4649999999999999,0.754,0.711,TS031_v2_5o,TS031_v1_5o,0.754,v1_v2,0.732,0.754,0.711,0.73,5o,5o,5o,5o
TS261,UNRES,1.432,1.439,0.716,0.723,TS261_v1_3o,TS261_v2_1o,0.723,v2_v2,0.716,0.717,0.722,0.723,3o,1o,3o,1o
TS465,Wallner,1.38,1.427,0.737,0.69,TS465_v1_1o,TS465_v2_3o,0.737,v1_v1,0.737,0.737,0.69,0.69,1o,3o,1o,3o
TS262,CoDock,1.216,1.325,0.608,0.717,TS262_v2_2o,TS262_v1_5o,0.717,v2_v1,0.704,0.608,0.717,0.609,5o,2o,5o,2o
TS323,Yan,0.978,1.244,0.755,0.489,TS323_v2_1o,TS323_v1_1o,0.755,v1_v2,0.473,0.755,0.489,0.746,1o,1o,1o,1o
TS419,CSSB-Human,1.142,1.216,0.645,0.571,TS419_v1_1o,TS419_v2_1o,0.645,v1_v1,0.645,0.586,0.639,0.571,1o,1o,1o,1o
TS221,CSSB_FAKER,1.142,1.216,0.645,0.571,TS221_v1_1o,TS221_v2_1o,0.645,v1_v1,0.645,0.586,0.639,0.571,1o,1o,1o,1o
TS286,CSSB_experimental,1.142,1.216,0.645,0.571,TS286_v1_1o,TS286_v2_1o,0.645,v1_v1,0.645,0.586,0.639,0.571,1o,1o,1o,1o
TS489,Fernandez-Recio,1.056,1.076,0.548,0.528,TS489_v1_3o,TS489_v2_3o,0.548,v1_v1,0.548,0.513,0.546,0.528,3o,3o,3o,3o
TS117,Vakser,0.8379999999999999,1.073,0.654,0.419,TS117_v2_2o,TS117_v1_2o,0.654,v1_v2,0.408,0.654,0.419,0.642,3o,2o,2o,2o
TS196,HYU_MLLAB,1.02,1.0670000000000002,0.51,0.557,TS196_v2_3o,TS196_v1_1o,0.557,v2_v1,0.54,0.51,0.557,0.524,1o,3o,1o,3o
TS085,Bates,0.858,0.976,0.429,0.547,TS085_v1_5o,TS085_v2_5o,0.547,v2_v2,0.429,0.534,0.435,0.547,5o,5o,5o,5o
TS040,DELCLAB,-1.0,0.719,0.719,0.0,TS040_v2_3o,TS040_v1_None,0.719,v1_v2,0.0,0.719,0.0,0.692,,3o,,3o
TS139,DeepFold-refine,0.496,0.648,0.248,0.4,TS139_v2_4o,TS139_v1_5o,0.4,v2_v1,0.396,0.248,0.4,0.254,5o,4o,5o,4o
TS114,COAST,0.356,0.36,0.178,0.182,TS114_v1_4o,TS114_v2_4o,0.182,v2_v2,0.178,0.178,0.182,0.182,4o,4o,4o,4o
TS337,APOLLO,0.346,0.35,0.173,0.177,TS337_v1_1o,TS337_v2_1o,0.177,v2_v2,0.173,0.173,0.177,0.177,1o,1o,1o,1o
TS300,ARC,0.332,0.336,0.166,0.17,TS300_v1_1o,TS300_v2_1o,0.17,v2_v2,0.166,0.166,0.17,0.17,1o,1o,1o,1o
TS023,FTBiot0119,0.316,0.317,0.158,0.159,TS023_v1_3o,TS023_v2_3o,0.159,v2_v2,0.158,0.158,0.159,0.159,3o,3o,3o,3o
