Group,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,Combined_Score,Best_v1_ref,Best_v2_ref
TS028,0.8497,v2_v2,0.8158,0.8126,0.8482,0.8497,1.6655,0.8158,0.8497
TS208,0.8547,v2_v2,0.8084,0.7994,0.8312,0.8547,1.6631,0.8084,0.8547
TS051,0.8454,v2_v2,0.8124,0.8124,0.8454,0.8454,1.6578,0.8124,0.8454
TS345,0.8454,v2_v2,0.8124,0.8124,0.8454,0.8454,1.6578,0.8124,0.8454
TS425,0.8454,v2_v2,0.807,0.807,0.8454,0.8454,1.6524,0.807,0.8454
TS456,0.8421,v2_v2,0.8097,0.8097,0.8421,0.8421,1.6518,0.8097,0.8421
TS462,0.8447,v2_v2,0.8057,0.8113,0.8358,0.8447,1.6503999999999999,0.8057,0.8447
TS235,0.839,v2_v1,0.8115,0.8078,0.839,0.8351,1.6467999999999998,0.8078,0.839
TS110,0.8472,v2_v1,0.8003,0.799,0.8472,0.8461,1.6461999999999999,0.799,0.8472
TS019,0.8505,v2_v2,0.7927,0.7927,0.8505,0.8505,1.6432,0.7927,0.8505
TS489,0.8483,v2_v2,0.7928,0.7973,0.8355,0.8483,1.6411,0.7928,0.8483
TS331,0.8454,v2_v2,0.7956,0.7956,0.8454,0.8454,1.641,0.7956,0.8454
TS319,0.8454,v2_v2,0.7956,0.7956,0.8454,0.8454,1.641,0.7956,0.8454
TS022,0.8421,v2_v2,0.7986,0.7929,0.8421,0.8421,1.6406999999999998,0.7986,0.8421
TS052,0.8423,v2_v2,0.7938,0.7938,0.8423,0.8423,1.6360999999999999,0.7938,0.8423
TS419,0.836,v2_v2,0.795,0.8038,0.8294,0.836,1.631,0.795,0.836
TS221,0.836,v2_v2,0.795,0.8038,0.8294,0.836,1.631,0.795,0.836
TS314,0.84,v2_v2,0.7877,0.7958,0.8323,0.84,1.6277,0.7877,0.84
TS294,0.8377,v2_v1,0.802,0.789,0.8377,0.8347,1.6267,0.789,0.8377
TS325,0.8371,v2_v1,0.789,0.789,0.8371,0.8349,1.6261,0.789,0.8371
TS159,0.8371,v2_v2,0.789,0.789,0.8371,0.8371,1.6261,0.789,0.8371
TS481,0.8363,v2_v2,0.7892,0.7579,0.8321,0.8363,1.6255000000000002,0.7892,0.8363
TS272,0.8302,v2_v2,0.784,0.784,0.8302,0.8302,1.6142,0.784,0.8302
TS262,0.8259,v2_v2,0.7799,0.779,0.8223,0.8259,1.6058,0.7799,0.8259
TS147,0.8457,v2_v1,0.7975,0.7568,0.8457,0.7984,1.6025,0.7568,0.8457
TS286,0.8293,v2_v2,0.7728,0.7987,0.8216,0.8293,1.6021,0.7728,0.8293
TS241,0.8468,v2_v1,0.7908,0.7524,0.8468,0.8175,1.5992,0.7524,0.8468
TS204,0.8283,v2_v1,0.8035,0.7468,0.8283,0.7872,1.5751,0.7468,0.8283
TS298,0.8328,v2_v1,0.8082,0.7404,0.8328,0.7884,1.5732,0.7404,0.8328
