Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS264,GuijunLab-Human,1.6057000000000001,0.7842,0.8215,TS264_v1_6,TS264_v2_1,0.8215,v2_v2,0.7842,0.7449,0.5621,0.8215,6,4,6,1
TS148,Guijunlab-Complex,1.5943,0.7656,0.8287,TS148_v2_3,TS148_v1_2,0.8287,v2_v1,0.5679,0.7656,0.8287,0.5593,1,3,2,3
TS147,Zheng-Multimer,1.5484,0.8271,0.7213,TS147_v1_1,TS147_v2_1,0.8271,v1_v1,0.8271,0.7142,0.7422,0.7213,1,2,5,1
TS167,OpenComplex,1.5476999999999999,0.7994,0.7483,TS167_v1_1,TS167_v2_3,0.7994,v1_v1,0.7994,0.5496,0.5633,0.7483,1,5,2,3
TS450,OpenComplex_Server,1.5476999999999999,0.7994,0.7483,TS450_v1_1,TS450_v2_3,0.7994,v1_v1,0.7994,0.5496,0.5633,0.7483,1,5,2,3
TS022,Yang,1.5457999999999998,0.7836,0.7622,TS022_v1_3,TS022_v2_5,0.7836,v1_v1,0.7836,0.7836,0.7622,0.7622,3,3,1,5
TS481,Vfold,1.5354999999999999,0.8208,0.7147,TS481_v1_3,TS481_v2_5,0.8208,v1_v1,0.8208,0.7657,0.5589,0.7147,3,1,2,5
TS462,Zheng,1.5306,0.8278,0.7028,TS462_v1_3,TS462_v2_5,0.8278,v1_v1,0.8278,0.8262,0.688,0.7028,3,3,2,5
TS091,Huang-HUST,1.5104,0.7696,0.7408,TS091_v1_3,TS091_v2_5,0.7696,v1_v1,0.7696,0.7696,0.7408,0.7408,3,1,5,5
TS241,elofsson,1.5074,0.7928,0.7146,TS241_v2_1,TS241_v1_2,0.7928,v1_v2,0.7671,0.7928,0.7146,0.5564,3,1,2,1
TS456,Yang-Multimer,1.5013999999999998,0.7964,0.705,TS456_v1_3,TS456_v2_2,0.7964,v1_v1,0.7964,0.7964,0.705,0.705,3,3,2,2
TS052,Yang-Server,1.4988,0.7938,0.705,TS052_v1_4,TS052_v2_2,0.7938,v1_v1,0.7938,0.7938,0.705,0.705,4,4,2,2
TS033,Diff,1.4812,0.8,0.6812,TS033_v2_1,TS033_v1_4,0.8,v1_v2,0.7609,0.8,0.6812,0.56,5,1,4,3
TS262,CoDock,1.4788000000000001,0.769,0.7098,TS262_v1_2,TS262_v2_1,0.769,v1_v1,0.769,0.7291,0.7128,0.7098,2,2,1,1
TS028,NKRNA-s,1.4742000000000002,0.7176,0.7566,TS028_v1_2,TS028_v2_4,0.7566,v2_v2,0.7176,0.5455,0.5598,0.7566,2,5,5,4
TS212,PIEFold_human,1.4727000000000001,0.7668,0.7059,TS212_v2_3,TS212_v1_2,0.7668,v1_v2,0.5486,0.7668,0.7059,0.552,3,3,2,3
TS110,MIEnsembles-Server,1.4707,0.734,0.7367,TS110_v1_2,TS110_v2_3,0.7367,v2_v2,0.734,0.5454,0.5557,0.7367,2,5,4,3
TS314,GuijunLab-PAthreader,1.4594,0.6917,0.7677,TS314_v2_3,TS314_v1_1,0.7677,v2_v1,0.7037,0.6917,0.7677,0.6894,5,3,1,1
TS019,Zheng-Server,1.4087,0.7271,0.6816,TS019_v1_4,TS019_v2_3,0.7271,v1_v1,0.7271,0.7143,0.6778,0.6816,4,5,5,3
TS204,Zou,1.3909,0.8287,0.5622,TS204_v1_1,TS204_v2_2,0.8287,v1_v1,0.8287,0.8283,0.5625,0.5622,1,2,1,2
TS301,GHZ-MAN,1.3839000000000001,0.7159,0.668,TS301_v1_3,TS301_v2_5,0.7159,v1_v1,0.7159,0.5386,0.5723,0.668,3,4,5,5
TS294,KiharaLab,1.3822,0.8198,0.5624,TS294_v2_5,TS294_v1_1,0.8198,v1_v2,0.7564,0.8198,0.5624,0.5627,2,5,1,2
TS375,milliseconds,1.3751,0.8139,0.5612,TS375_v2_4,TS375_v1_2,0.8139,v1_v2,0.7892,0.8139,0.5612,0.5628,2,4,2,4
TS345,MULTICOM_human,1.3601,0.8004,0.5597,TS345_v1_3,TS345_v2_5,0.8004,v1_v1,0.8004,0.8004,0.5597,0.5597,3,4,5,5
TS051,MULTICOM,1.3601,0.8004,0.5597,TS051_v1_3,TS051_v2_5,0.8004,v1_v1,0.8004,0.8004,0.5597,0.5597,3,4,5,5
TS274,kozakovvajda,1.3569,0.8014,0.5555,TS274_v1_1,TS274_v2_2,0.8014,v1_v1,0.8014,0.8014,0.5555,0.5555,1,1,2,2
TS494,ClusPro,1.3569,0.8014,0.5555,TS494_v1_1,TS494_v2_2,0.8014,v1_v1,0.8014,0.8014,0.5555,0.5555,1,1,2,2
TS331,MULTICOM_AI,1.3564,0.8004,0.556,TS331_v1_2,TS331_v2_1,0.8004,v1_v1,0.8004,0.8004,0.556,0.556,2,1,2,1
TS319,MULTICOM_LLM,1.3557000000000001,0.8004,0.5553,TS319_v1_2,TS319_v2_1,0.8004,v1_v1,0.8004,0.7913,0.556,0.5553,2,1,2,1
TS231,B-LAB,1.3488,0.7936,0.5552,TS231_v2_2,TS231_v1_4,0.7936,v1_v2,0.7257,0.7936,0.5552,0.5547,1,2,4,5
TS425,MULTICOM_GATE,1.3466,0.7913,0.5553,TS425_v1_1,TS425_v2_2,0.7913,v1_v1,0.7913,0.7913,0.5553,0.5553,1,2,1,2
TS419,CSSB-Human,1.346,0.7867,0.5593,TS419_v1_1,TS419_v2_2,0.7867,v1_v1,0.7867,0.7504,0.5564,0.5593,1,4,3,2
TS198,colabfold,1.3429,0.7845,0.5584,TS198_v1_2,TS198_v2_2,0.7845,v1_v1,0.7845,0.7844,0.5584,0.5584,2,2,2,2
TS221,CSSB_FAKER,1.3425,0.7834,0.5591,TS221_v1_1,TS221_v2_1,0.7834,v1_v1,0.7834,0.7502,0.5556,0.5591,1,2,5,1
TS014,Cool-PSP,1.3388,0.7897,0.5491,TS014_v2_5,TS014_v1_5,0.7897,v1_v2,0.7565,0.7897,0.5491,0.5686,6,5,5,2
TS286,CSSB_experimental,1.3373,0.7811,0.5562,TS286_v1_1,TS286_v2_4,0.7811,v1_v1,0.7811,0.7543,0.559,0.5562,1,1,5,4
TS489,Fernandez-Recio,1.3368,0.7871,0.5497,TS489_v1_2,TS489_v2_5,0.7871,v1_v1,0.7871,0.7636,0.5526,0.5497,2,5,2,5
TS287,plmfold,1.3358,0.7596,0.5762,TS287_v1_2,TS287_v2_1,0.7596,v1_v1,0.7596,0.6984,0.5605,0.5762,2,3,2,1
TS235,isyslab-hust,1.3319,0.7241,0.6078,TS235_v1_1,TS235_v2_3,0.7241,v1_v1,0.7241,0.7241,0.6078,0.6078,1,1,3,3
TS304,AF3-server,1.3307,0.7702,0.5605,TS304_v2_2,TS304_v1_4,0.7702,v1_v2,0.7662,0.7702,0.5605,0.5568,4,2,4,2
TS312,GuijunLab-Assembly,1.3254000000000001,0.7631,0.5623,TS312_v1_5,TS312_v2_2,0.7631,v1_v1,0.7631,0.646,0.5571,0.5623,5,5,3,2
TS293,MRAH,1.3249,0.762,0.5629,TS293_v1_2,TS293_v2_2,0.762,v1_v1,0.762,0.762,0.5629,0.5629,2,2,2,2
