Group,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,Combined_Score,Best_v1_ref,Best_v2_ref
TS015,0.51124,v1_v2,0.48408,0.51124,0.44242,0.42509,0.95366,0.51124,0.44242
TS298,0.54354,v1_v1,0.54354,0.47472,0.47472,0.40918,0.95272,0.54354,0.40918
TS163,0.5323,v1_v1,0.5323,0.5323,0.4161999999999999,0.4161999999999999,0.9484999999999999,0.5323,0.4161999999999999
TS235,0.50796,v1_v1,0.50796,0.50796,0.43493,0.43493,0.94289,0.50796,0.43493
TS164,0.48034,v1_v1,0.48034,0.45927,0.42463,0.45927,0.9396100000000001,0.48034,0.45927
TS269,0.50702,v1_v1,0.50702,0.50702,0.4227499999999999,0.4227499999999999,0.92977,0.50702,0.4227499999999999
TS059,0.4690999999999999,v1_v2,0.45459,0.4690999999999999,0.42603,0.43727,0.89513,0.4690999999999999,0.42603
TS388,0.44569,v1_v2,0.44101,0.44569,0.43914,0.44382,0.88483,0.44569,0.43914
TS023,0.45787,v1_v1,0.45787,0.45787,0.4030899999999999,0.4030899999999999,0.86096,0.45787,0.4030899999999999
TS139,0.4059,v1_v1,0.4059,0.40403,0.37313,0.38436,0.79026,0.4059,0.38436
TS120,0.38343,v1_v1,0.38343,0.38249,0.35955,0.36142,0.74485,0.38343,0.36142
TS361,0.3281799999999999,v1_v2,0.32772,0.3281799999999999,0.3216299999999999,0.32397,0.6498099999999998,0.3281799999999999,0.3216299999999999
