Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS196,HYU_MLLAB,1.9689,0.985,0.9839,TS196_v1_2,TS196_v2_1,0.985,v1_v1,0.985,,,0.9839,2.0,,,1.0
TS079,MRAFold,1.9686,0.9861,0.9825,TS079_v1_5,TS079_v2_2,0.9861,v1_v1,0.9861,,,0.9825,5.0,,,2.0
TS456,Yang-Multimer,1.9685000000000001,0.9759,0.9926,TS456_v1_5,TS456_v2_4,0.9926,v2_v2,0.9759,,,0.9926,5.0,,,4.0
TS293,MRAH,1.9685000000000001,0.986,0.9825,TS293_v1_3,TS293_v2_1,0.986,v1_v1,0.986,,,0.9825,3.0,,,1.0
TS301,GHZ-MAN,1.9684,0.9848,0.9836,TS301_v1_2,TS301_v2_4,0.9848,v1_v1,0.9848,,,0.9836,2.0,,,4.0
TS369,Bhattacharya,1.968,0.985,0.983,TS369_v1_1,TS369_v2_5,0.985,v1_v1,0.985,,,0.983,1.0,,,5.0
TS304,AF3-server,1.968,0.9844,0.9836,TS304_v1_2,TS304_v2_1,0.9844,v1_v1,0.9844,,,0.9836,2.0,,,1.0
TS241,elofsson,1.968,0.9844,0.9836,TS241_v1_2,TS241_v2_1,0.9844,v1_v1,0.9844,,,0.9836,2.0,,,1.0
TS272,GromihaLab,1.9678,0.9842,0.9836,TS272_v1_4,TS272_v2_1,0.9842,v1_v1,0.9842,,,0.9836,4.0,,,1.0
TS227,KUMC,1.9678,0.9864,0.9814,TS227_v1_2,TS227_v2_1,0.9864,v1_v1,0.9864,,,0.9814,2.0,,,1.0
TS464,PocketTracer,1.9677,0.984,0.9837,TS464_v1_3,TS464_v2_5,0.984,v1_v1,0.984,,,0.9837,3.0,,,5.0
TS419,CSSB-Human,1.9676,0.9748,0.9928,TS419_v1_3,TS419_v2_1,0.9928,v2_v2,0.9748,,,0.9928,3.0,,,1.0
TS221,CSSB_FAKER,1.9676,0.9748,0.9928,TS221_v1_3,TS221_v2_1,0.9928,v2_v2,0.9748,,,0.9928,3.0,,,1.0
TS102,Psi-Phi,1.9674,0.9866,0.9808,TS102_v1_1,TS102_v2_3,0.9866,v1_v1,0.9866,,,0.9808,1.0,,,3.0
TS269,CSSB_server,1.9672,0.9746,0.9926,TS269_v1_3,TS269_v2_1,0.9926,v2_v2,0.9746,,,0.9926,3.0,,,1.0
TS207,MULTICOM_ligand,1.967,0.986,0.981,TS207_v1_3,TS207_v2_1,0.986,v1_v1,0.986,,,0.981,3.0,,,1.0
TS331,MULTICOM_AI,1.9667,0.9861,0.9806,TS331_v1_1,TS331_v2_5,0.9861,v1_v1,0.9861,,,0.9806,1.0,,,5.0
TS139,DeepFold-refine,1.9665,0.9714,0.9951,TS139_v1_3,TS139_v2_6,0.9951,v2_v2,0.9714,,,0.9951,3.0,,,6.0
