Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,v1_v1_Score,v1_v1_ModelNumber,v2_v2_Score,v2_v2_ModelNumber
TS462,Zheng,185.169,93.83500000000001,91.334,TS462_v1_2,93.83500000000001,2,91.334,2
TS147,Zheng-Multimer,185.169,93.83500000000001,91.334,TS147_v1_2,93.83500000000001,2,91.334,2
TS019,Zheng-Server,185.12599999999998,94.21300000000001,90.913,TS019_v1_2,94.21300000000001,2,90.913,2
TS122,MQA_server,185.095,93.684,91.411,TS122_v1_2,93.684,2,91.411,2
TS039,arosko,184.918,87.027,97.89099999999999,TS039_v1_1,87.027,1,97.89099999999999,1
TS294,KiharaLab,184.69199999999998,92.322,92.36999999999999,TS294_v1_2,92.322,2,92.36999999999999,2
TS075,GHZ-ISM,184.633,93.759,90.874,TS075_v1_1,93.759,1,90.874,1
TS284,Unicorn,184.633,93.759,90.874,TS284_v1_1,93.759,1,90.874,1
TS408,SNU-CHEM-lig,184.514,94.062,90.452,TS408_v1_1,94.062,1,90.452,1
TS055,LCDD-team,184.362,93.986,90.376,TS055_v1_3,93.986,3,90.376,3
TS202,test001,173.112,89.561,83.551,TS202_v1_5,89.561,5,83.551,5
TS120,Cerebra,169.33,85.703,83.627,TS120_v1_6,85.703,6,83.627,6
TS461,forlilab,161.249,76.74,84.509,TS461_v1_3,76.74,3,84.509,3
TS275,Seminoles,157.196,78.707,78.489,TS275_v1_1,78.707,1,78.489,1
TS361,Cerebra_server,152.51000000000002,76.551,75.959,TS361_v1_3,76.551,3,75.959,3
TS132,profold2,109.409,54.501,54.908,TS132_v1_1,54.501,1,54.908,1
