Model,Group,Model Number,GDT_TS
T1214TS015_2,TS015,2,96.407
T1214TS015_5,TS015,5,96.331
T1214TS298_1,TS298,1,95.272
T1214TS298_4,TS298,4,95.272
T1214TS386_1,TS386,1,95.272
T1214TS386_4,TS386,4,95.272
T1214TS388_4,TS388,4,95.234
T1214TS298_2,TS298,2,95.197
T1214TS298_3,TS298,3,95.197
T1214TS386_2,TS386,2,95.197
T1214TS386_3,TS386,3,95.197
T1214TS022_4,TS022,4,95.045
T1214TS298_5,TS298,5,95.008
T1214TS386_5,TS386,5,95.008
T1214TS319_3,TS319,3,94.781
T1214TS423_5,TS423,5,94.781
T1214TS425_2,TS425,2,94.781
T1214TS110_1,TS110,1,94.667
T1214TS423_1,TS423,1,94.554
T1214TS015_3,TS015,3,94.516
T1214TS388_5,TS388,5,94.478
T1214TS015_6,TS015,6,94.44
T1214TS167_2,TS167,2,94.44
T1214TS450_5,TS450,5,94.44
T1214TS465_4,TS465,4,94.44
T1214TS022_5,TS022,5,94.402
T1214TS425_3,TS425,3,94.365
T1214TS015_4,TS015,4,94.327
T1214TS345_4,TS345,4,94.327
T1214TS208_4,TS208,4,94.289
T1214TS091_2,TS091,2,94.251
T1214TS110_2,TS110,2,94.251
T1214TS375_3,TS375,3,94.251
T1214TS019_2,TS019,2,94.213
T1214TS079_5,TS079,5,94.213
T1214TS079_3,TS079,3,94.175
T1214TS079_4,TS079,4,94.175
T1214TS110_3,TS110,3,94.175
T1214TS293_3,TS293,3,94.175
T1214TS293_5,TS293,5,94.175
T1214TS423_2,TS423,2,94.175
T1214TS079_1,TS079,1,94.138
T1214TS079_2,TS079,2,94.138
T1214TS293_1,TS293,1,94.138
T1214TS293_2,TS293,2,94.138
T1214TS293_4,TS293,4,94.138
T1214TS019_4,TS019,4,94.1
T1214TS465_3,TS465,3,94.1
T1214TS408_1,TS408,1,94.062
T1214TS311_2,TS311,2,94.024
T1214TS019_5,TS019,5,93.986
T1214TS055_3,TS055,3,93.986
T1214TS055_4,TS055,4,93.986
T1214TS055_5,TS055,5,93.986
T1214TS311_4,TS311,4,93.986
T1214TS319_1,TS319,1,93.986
T1214TS388_3,TS388,3,93.986
T1214TS423_3,TS423,3,93.986
T1214TS264_3,TS264,3,93.949
T1214TS393_5,TS393,5,93.949
T1214TS051_5,TS051,5,93.911
T1214TS208_3,TS208,3,93.911
