Model,Group,Model Number,Model Version,GlobalLDDT
M1239v1TS294_5,TS294,5,v1,0.738
M1239v1TS286_4,TS286,4,v1,0.732
M1239v1TS110_1,TS110,1,v1,0.729
M1239v1TS294_4,TS294,4,v1,0.723
M1239v1TS489_5,TS489,5,v1,0.717
M1239v1TS481_1,TS481,1,v1,0.713
M1239v1TS481_4,TS481,4,v1,0.702
M1239v1TS262_2,TS262,2,v1,0.698
M1239v1TS262_5,TS262,5,v1,0.698
M1239v1TS208_1,TS208,1,v1,0.697
M1239v1TS208_2,TS208,2,v1,0.695
M1239v1TS208_4,TS208,4,v1,0.694
M1239v1TS489_3,TS489,3,v1,0.693
M1239v1TS489_1,TS489,1,v1,0.693
M1239v1TS462_4,TS462,4,v1,0.692
M1239v1TS262_3,TS262,3,v1,0.691
M1239v1TS262_1,TS262,1,v1,0.691
M1239v1TS450_1,TS450,1,v1,0.689
M1239v1TS167_1,TS167,1,v1,0.689
M1239v1TS489_4,TS489,4,v1,0.689
M1239v1TS028_3,TS028,3,v1,0.689
M1239v1TS489_2,TS489,2,v1,0.687
M1239v1TS286_3,TS286,3,v1,0.685
M1239v1TS028_1,TS028,1,v1,0.684
M1239v1TS028_4,TS028,4,v1,0.682
M1239v1TS110_2,TS110,2,v1,0.682
M1239v1TS028_2,TS028,2,v1,0.681
M1239v1TS159_1,TS159,1,v1,0.68
M1239v1TS325_1,TS325,1,v1,0.68
M1239v1TS167_3,TS167,3,v1,0.679
M1239v1TS450_3,TS450,3,v1,0.679
M1239v1TS286_1,TS286,1,v1,0.679
M1239v1TS450_4,TS450,4,v1,0.679
M1239v1TS167_4,TS167,4,v1,0.679
M1239v1TS110_3,TS110,3,v1,0.678
M1239v1TS231_1,TS231,1,v1,0.677
M1239v1TS325_2,TS325,2,v1,0.677
M1239v1TS159_2,TS159,2,v1,0.677
M1239v1TS450_5,TS450,5,v1,0.675
M1239v1TS167_5,TS167,5,v1,0.675
M1239v1TS231_2,TS231,2,v1,0.675
M1239v1TS167_2,TS167,2,v1,0.673
M1239v1TS450_2,TS450,2,v1,0.673
M1239v1TS286_5,TS286,5,v1,0.673
M1239v1TS028_5,TS028,5,v1,0.668
M1239v1TS481_2,TS481,2,v1,0.667
M1239v1TS481_3,TS481,3,v1,0.666
M1239v1TS262_4,TS262,4,v1,0.662
M1239v1TS294_1,TS294,1,v1,0.66
M1239v1TS033_4,TS033,4,v1,0.659
M1239v1TS110_5,TS110,5,v1,0.657
M1239v1TS462_2,TS462,2,v1,0.656
M1239v1TS091_5,TS091,5,v1,0.656
M1239v1TS091_4,TS091,4,v1,0.656
M1239v1TS235_1,TS235,1,v1,0.652
M1239v1TS110_4,TS110,4,v1,0.65
M1239v1TS462_1,TS462,1,v1,0.648
M1239v1TS033_5,TS033,5,v1,0.647
M1239v1TS033_1,TS033,1,v1,0.647
M1239v1TS294_2,TS294,2,v1,0.646
M1239v1TS462_3,TS462,3,v1,0.646
M1239v1TS033_3,TS033,3,v1,0.646
M1239v1TS235_5,TS235,5,v1,0.645
M1239v1TS033_2,TS033,2,v1,0.644
M1239v1TS462_5,TS462,5,v1,0.641
M1239v1TS272_4,TS272,4,v1,0.639
M1239v1TS235_2,TS235,2,v1,0.637
M1239v1TS272_5,TS272,5,v1,0.637
M1239v1TS272_3,TS272,3,v1,0.636
M1239v1TS272_1,TS272,1,v1,0.634
M1239v1TS294_3,TS294,3,v1,0.632
M1239v1TS235_3,TS235,3,v1,0.631
M1239v1TS272_2,TS272,2,v1,0.63
M1239v1TS481_5,TS481,5,v1,0.627
M1239v1TS286_2,TS286,2,v1,0.624
M1239v1TS091_2,TS091,2,v1,0.608
M1239v1TS235_4,TS235,4,v1,0.595
M1239v1TS091_3,TS091,3,v1,0.59
M1239v1TS091_1,TS091,1,v1,0.582
M1239v1TS014_4,TS014,4,v1,0.51
M1239v1TS014_5,TS014,5,v1,0.51
M1239v1TS014_6,TS014,6,v1,0.509
M1239v1TS014_2,TS014,2,v1,0.509
M1239v1TS014_3,TS014,3,v1,0.509
M1239v1TS014_1,TS014,1,v1,0.508
M1239v1TS241_2,TS241,2,v1,0.375
M1239v1TS241_4,TS241,4,v1,0.373
M1239v1TS304_3,TS304,3,v1,0.361
M1239v1TS241_3,TS241,3,v1,0.354
M1239v1TS241_5,TS241,5,v1,0.353
M1239v1TS304_1,TS304,1,v1,0.353
M1239v1TS241_1,TS241,1,v1,0.352
M1239v1TS304_2,TS304,2,v1,0.352
M1239v1TS304_5,TS304,5,v1,0.352
M1239v1TS304_4,TS304,4,v1,0.348
