Model,Composite_Score_4,Model Version,Model Number,Group
R1203TS286_1,10.690455222419663,v1,1,TS286
R1203TS286_2,10.743317221647226,v1,2,TS286
R1203TS286_3,11.11137245,v1,3,TS286
R1203TS286_4,9.440064777,v1,4,TS286
R1203TS286_5,9.595086275576309,v1,5,TS286
R1203TS294_1,31.630454174103527,v1,1,TS294
R1203TS294_2,10.55057238712299,v1,2,TS294
R1203TS294_3,10.246892266872496,v1,3,TS294
R1203TS294_4,10.32072842560572,v1,4,TS294
R1203TS294_5,9.585495576777053,v1,5,TS294
R1203TS298_1,3.6375138799391418,v1,1,TS298
R1203TS304_1,31.630454174103527,v1,1,TS304
R1203TS304_2,31.55734395310011,v1,2,TS304
R1203TS304_3,31.179899516338605,v1,3,TS304
R1203TS304_4,31.092937003213212,v1,4,TS304
R1203TS304_5,11.792222938926889,v1,5,TS304
R1203TS306_1,0.0244930524380363,v1,1,TS306
R1203TS317_1,4.3720747601875766e-05,v1,1,TS317
R1203TS317_2,3.306441773892046,v1,2,TS317
R1203TS317_3,2.0901274803939844,v1,3,TS317
R1203TS317_4,10.226530201511206,v1,4,TS317
R1203TS317_5,9.616380017744556,v1,5,TS317
R1203TS338_1,10.209999342750644,v1,1,TS338
R1203TS338_2,9.548147399,v1,2,TS338
R1203TS338_3,9.295175265089032,v1,3,TS338
R1203TS338_4,10.438751137549092,v1,4,TS338
R1203TS338_5,11.53020714790458,v1,5,TS338
R1203TS358_1,8.151472713,v1,1,TS358
R1203TS358_2,8.027438436672423,v1,2,TS358
R1203TS358_3,7.9734035176593965,v1,3,TS358
R1203TS358_4,8.085801514,v1,4,TS358
R1203TS358_5,7.725194548551954,v1,5,TS358
R1203TS367_1,7.758753444383939,v1,1,TS367
R1203TS369_1,0.001605916,v1,1,TS369
R1203TS369_2,31.53466497854646,v1,2,TS369
R1203TS369_3,31.803694837592523,v1,3,TS369
R1203TS369_4,11.328178214856012,v1,4,TS369
R1203TS369_5,32.054752408073725,v1,5,TS369
R1203TS400_1,31.27232763808132,v1,1,TS400
R1203TS403_1,3.655030714529204,v1,1,TS403
R1203TS417_1,8.212565784330296,v1,1,TS417
R1203TS417_2,9.980147578239317,v1,2,TS417
R1203TS417_3,2.120633184363915,v1,3,TS417
R1203TS417_4,8.512795469480391,v1,4,TS417
R1203TS417_5,10.165274220558214,v1,5,TS417
R1203TS423_1,3.6375138799391418,v1,1,TS423
R1203TS435_1,10.070188752265926,v1,1,TS435
R1203TS435_2,9.750749404582516,v1,2,TS435
R1203TS435_3,9.527958244739867,v1,3,TS435
R1203TS435_4,9.375416373448628,v1,4,TS435
R1203TS435_5,31.513121925399098,v1,5,TS435
R1203TS448_1,7.155432008436615,v1,1,TS448
R1203TS448_2,5.647501078732185,v1,2,TS448
R1203TS448_3,4.778387647992316,v1,3,TS448
R1203TS448_4,2.894025272961802,v1,4,TS448
R1203TS448_5,9.242500736411694,v1,5,TS448
R1203TS450_1,8.268750239915857,v1,1,TS450
R1203TS450_2,8.421302814889732,v1,2,TS450
R1203TS450_3,8.091258479339789,v1,3,TS450
R1203TS450_4,7.430000153517193,v1,4,TS450
R1203TS450_5,7.150000098076544,v1,5,TS450
R1203TS456_1,10.04375326368365,v1,1,TS456
R1203TS456_2,8.347788501,v1,2,TS456
R1203TS456_3,0.5973969009825382,v1,3,TS456
R1203TS456_4,9.61128108314612,v1,4,TS456
R1203TS456_5,7.413758858035132,v1,5,TS456
R1203TS462_1,7.591258669857514,v1,1,TS462
R1203TS462_2,7.313760088485952,v1,2,TS462
R1203TS462_3,7.916300791102252,v1,3,TS462
R1203TS462_4,7.595032026634331,v1,4,TS462
R1203TS462_5,7.876300907566369,v1,5,TS462
R1203TS481_1,10.017513987219768,v1,1,TS481
R1203TS481_2,9.575009158580803,v1,2,TS481
R1203TS481_3,10.36088756433215,v1,3,TS481
R1203TS481_4,10.374847306531152,v1,4,TS481
R1203TS481_5,10.397012917522993,v1,5,TS481
