Model,Group,Model Version,Model Number,Composite_Score_3
R1203TS304_3,TS304,v1,3,49.84779849031055
R1203TS241_3,TS241,v1,3,49.84779849031055
R1203TS435_5,TS435,v1,5,47.49386081598613
R1203TS235_2,TS235,v1,2,46.39078206711717
R1203TS235_5,TS235,v1,5,40.94027851729835
R1203TS369_2,TS369,v1,2,40.1286950225372
R1203TS238_5,TS238,v1,5,33.796906354881386
R1203TS400_1,TS400,v1,1,32.342642737304004
R1203TS167_2,TS167,v1,2,31.916950732073047
R1203TS304_2,TS304,v1,2,31.47376820511285
R1203TS241_2,TS241,v1,2,31.47376820511285
R1203TS159_2,TS159,v1,2,31.255706234455694
R1203TS006_3,TS006,v1,3,31.059367216169694
R1203TS369_5,TS369,v1,5,30.92389039015318
R1203TS006_1,TS006,v1,1,30.773481329776168
R1203TS294_1,TS294,v1,1,30.712338957528793
R1203TS304_1,TS304,v1,1,30.712338957528793
R1203TS241_1,TS241,v1,1,30.712338957528793
R1203TS272_1,TS272,v1,1,30.711389577279846
R1203TS272_4,TS272,v1,4,30.65283641820887
R1203TS369_3,TS369,v1,3,30.64780144507672
R1203TS272_5,TS272,v1,5,30.522135458560825
R1203TS276_1,TS276,v1,1,30.449108252977474
R1203TS241_4,TS241,v1,4,30.255867117832167
R1203TS304_4,TS304,v1,4,30.255867117832167
R1203TS231_5,TS231,v1,5,28.874438119926133
R1203TS231_1,TS231,v1,1,28.08314136213709
R1203TS435_2,TS435,v1,2,25.55418225950432
R1203TS159_1,TS159,v1,1,25.041717427874964
R1203TS156_1,TS156,v1,1,24.946155665303955
R1203TS028_3,TS028,v1,3,24.455672568895558
R1203TS417_4,TS417,v1,4,23.331677840125714
R1203TS189_5,TS189,v1,5,23.196408080863392
R1203TS448_1,TS448,v1,1,20.489513812696057
R1203TS006_2,TS006,v1,2,20.34892371275966
R1203TS052_2,TS052,v1,2,19.926816439788478
R1203TS267_1,TS267,v1,1,19.023338758116118
R1203TS286_1,TS286,v1,1,18.741565032620795
R1203TS435_1,TS435,v1,1,18.47383048784041
R1203TS159_4,TS159,v1,4,17.985977524068083
R1203TS006_4,TS006,v1,4,16.424025104286187
R1203TS183_5,TS183,v1,5,16.067929297441204
R1203TS456_2,TS456,v1,2,13.30556425179432
R1203TS094_2,TS094,v1,2,13.247377601521762
R1203TS159_3,TS159,v1,3,12.490669061622363
R1203TS169_5,TS169,v1,5,12.370106036727586
R1203TS169_3,TS169,v1,3,11.82039339276794
R1203TS189_4,TS189,v1,4,11.813512671739193
R1203TS238_2,TS238,v1,2,11.66398460117619
R1203TS358_2,TS358,v1,2,11.546373878272952
R1203TS286_2,TS286,v1,2,11.475775401518225
R1203TS169_2,TS169,v1,2,11.386761640554829
R1203TS435_6,TS435,v1,6,11.269576906712505
R1203TS231_3,TS231,v1,3,10.911656365345415
R1203TS261_3,TS261,v1,3,10.86505292461389
R1203TS165_3,TS165,v1,3,10.849597596849097
R1203TS189_2,TS189,v1,2,10.847771928307985
R1203TS189_1,TS189,v1,1,10.805040251793534
R1203TS304_5,TS304,v1,5,10.638574740426533
R1203TS241_5,TS241,v1,5,10.638574740426533
R1203TS238_3,TS238,v1,3,10.575561328385739
R1203TS286_3,TS286,v1,3,10.519741286539773
R1203TS063_3,TS063,v1,3,10.480725736926736
R1203TS317_4,TS317,v1,4,10.438538450685604
R1203TS231_2,TS231,v1,2,10.436588085686068
R1203TS481_5,TS481,v1,5,10.410110828901345
R1203TS052_1,TS052,v1,1,10.309393669607914
R1203TS156_5,TS156,v1,5,10.262343788635054
R1203TS165_1,TS165,v1,1,10.261105599289703
R1203TS189_3,TS189,v1,3,10.25241306489908
R1203TS286_4,TS286,v1,4,10.240312078439175
R1203TS183_2,TS183,v1,2,10.23168989533576
R1203TS369_4,TS369,v1,4,10.199999890891437
R1203TS338_5,TS338,v1,5,10.187964667355324
R1203TS238_4,TS238,v1,4,10.155315222027443
R1203TS294_4,TS294,v1,4,10.147689911243157
R1203TS358_5,TS358,v1,5,10.062578047255158
R1203TS294_3,TS294,v1,3,10.048869587937675
R1203TS450_2,TS450,v1,2,9.973653696551116
R1203TS417_5,TS417,v1,5,9.97045499758339
R1203TS063_1,TS063,v1,1,9.945784566575698
