Model,Group,Model Number,Model Version,GDT_TS
R1203v2TS189_4,TS189,4,v2,0.41045000000000004
R1203v2TS235_4,TS235,4,v2,0.40671999999999997
R1203v2TS423_1,TS423,1,v2,0.39925
R1203v2TS298_1,TS298,1,v2,0.39925
R1203v2TS208_1,TS208,1,v2,0.39552
R1203v2TS028_3,TS028,3,v2,0.39552
R1203v2TS317_1,TS317,1,v2,0.38993
R1203v2TS235_3,TS235,3,v2,0.38993
R1203v2TS110_1,TS110,1,v2,0.38246
R1203v2TS235_1,TS235,1,v2,0.38246
R1203v2TS462_5,TS462,5,v2,0.38060000000000005
R1203v2TS110_3,TS110,3,v2,0.38060000000000005
R1203v2TS462_3,TS462,3,v2,0.37872999999999996
R1203v2TS462_4,TS462,4,v2,0.37313
R1203v2TS294_5,TS294,5,v2,0.36381
R1203v2TS028_1,TS028,1,v2,0.36194000000000004
R1203v2TS462_1,TS462,1,v2,0.35821
R1203v2TS167_1,TS167,1,v2,0.34142000000000006
R1203v2TS456_4,TS456,4,v2,0.32836
R1203v2TS231_3,TS231,3,v2,0.32836
R1203v2TS167_4,TS167,4,v2,0.31157
R1203v2TS231_4,TS231,4,v2,0.28731
R1203v2TS110_5,TS110,5,v2,0.28731
R1203v2TS167_5,TS167,5,v2,0.27425
R1203v2TS462_2,TS462,2,v2,0.27239
R1203v2TS110_2,TS110,2,v2,0.27239
R1203v2TS110_4,TS110,4,v2,0.27052
R1203v2TS358_3,TS358,3,v2,0.25933
R1203v2TS167_3,TS167,3,v2,0.2444
R1203v2TS094_5,TS094,5,v2,0.22388000000000002
R1203v2TS156_3,TS156,3,v2,0.22015
R1203v2TS156_4,TS156,4,v2,0.22015
R1203v2TS156_2,TS156,2,v2,0.21455
R1203v2TS094_2,TS094,2,v2,0.21269
R1203v2TS272_2,TS272,2,v2,0.19963
R1203v2TS358_4,TS358,4,v2,0.1959
R1203v2TS358_1,TS358,1,v2,0.19030000000000002
R1203v2TS358_2,TS358,2,v2,0.19030000000000002
R1203v2TS094_4,TS094,4,v2,0.18284
R1203v2TS156_5,TS156,5,v2,0.18097000000000002
R1203v2TS094_1,TS094,1,v2,0.1791
R1203v2TS169_4,TS169,4,v2,0.17537
R1203v2TS169_2,TS169,2,v2,0.17164000000000001
R1203v2TS094_3,TS094,3,v2,0.16791
R1203v2TS169_5,TS169,5,v2,0.16418
R1203v2TS261_5,TS261,5,v2,0.16231
R1203v2TS358_5,TS358,5,v2,0.16045
R1203v2TS169_3,TS169,3,v2,0.15858
R1203v2TS261_4,TS261,4,v2,0.15112
R1203v2TS169_1,TS169,1,v2,0.13993
R1203v2TS261_1,TS261,1,v2,0.13993
R1203v2TS261_3,TS261,3,v2,0.13246
R1203v2TS450_3,TS450,3,v2,0.125
R1203v2TS450_4,TS450,4,v2,0.125
R1203v2TS450_5,TS450,5,v2,0.12127
R1203v2TS261_2,TS261,2,v2,0.11753999999999999
R1203v2TS450_1,TS450,1,v2,0.11753999999999999
R1203v2TS450_2,TS450,2,v2,0.11007
R1203v2TS033_4,TS033,4,v2,0.0
R1203v2TS033_3,TS033,3,v2,0.0
R1203v2TS033_2,TS033,2,v2,0.0
R1203v2TS033_5,TS033,5,v2,0.0
R1203v2TS033_1,TS033,1,v2,0.0
