Model,Group,Model Number,Model Version,GDT_TS
R1203v1TS238_5,TS238,5,v1,0.59515
R1203v1TS272_1,TS272,1,v1,0.5597
R1203v1TS304_4,TS304,4,v1,0.55224
R1203v1TS241_4,TS241,4,v1,0.55224
R1203v1TS435_5,TS435,5,v1,0.55037
R1203v1TS272_4,TS272,4,v1,0.5485099999999999
R1203v1TS294_1,TS294,1,v1,0.54478
R1203v1TS241_1,TS241,1,v1,0.54478
R1203v1TS304_1,TS304,1,v1,0.54478
R1203v1TS006_3,TS006,3,v1,0.53918
R1203v1TS272_5,TS272,5,v1,0.5373100000000001
R1203v1TS369_5,TS369,5,v1,0.5373100000000001
R1203v1TS304_3,TS304,3,v1,0.53545
R1203v1TS304_5,TS304,5,v1,0.53545
R1203v1TS241_3,TS241,3,v1,0.53545
R1203v1TS241_5,TS241,5,v1,0.53545
R1203v1TS006_1,TS006,1,v1,0.53172
R1203v1TS369_3,TS369,3,v1,0.53172
R1203v1TS276_1,TS276,1,v1,0.52985
R1203v1TS369_4,TS369,4,v1,0.52985
R1203v1TS183_5,TS183,5,v1,0.52799
R1203v1TS369_2,TS369,2,v1,0.52799
R1203v1TS417_5,TS417,5,v1,0.52612
R1203v1TS159_1,TS159,1,v1,0.52239
R1203v1TS235_2,TS235,2,v1,0.52239
R1203v1TS165_3,TS165,3,v1,0.52052
R1203v1TS167_2,TS167,2,v1,0.52052
R1203v1TS231_5,TS231,5,v1,0.51866
R1203v1TS317_2,TS317,2,v1,0.51866
R1203v1TS006_5,TS006,5,v1,0.51679
R1203v1TS294_2,TS294,2,v1,0.51679
R1203v1TS156_1,TS156,1,v1,0.51679
R1203v1TS006_4,TS006,4,v1,0.51493
R1203v1TS317_3,TS317,3,v1,0.51493
R1203v1TS235_5,TS235,5,v1,0.51306
R1203v1TS294_4,TS294,4,v1,0.51306
R1203v1TS006_2,TS006,2,v1,0.51119
R1203v1TS304_2,TS304,2,v1,0.50933
R1203v1TS417_3,TS417,3,v1,0.50933
R1203v1TS241_2,TS241,2,v1,0.50933
R1203v1TS028_2,TS028,2,v1,0.5056
R1203v1TS294_3,TS294,3,v1,0.5056
R1203v1TS417_2,TS417,2,v1,0.5056
R1203v1TS159_2,TS159,2,v1,0.5056
R1203v1TS238_1,TS238,1,v1,0.50373
R1203v1TS403_1,TS403,1,v1,0.50373
R1203v1TS417_1,TS417,1,v1,0.5
R1203v1TS400_1,TS400,1,v1,0.5
R1203v1TS183_2,TS183,2,v1,0.49813
R1203v1TS238_3,TS238,3,v1,0.49813
R1203v1TS417_4,TS417,4,v1,0.49627000000000004
R1203v1TS238_4,TS238,4,v1,0.49627000000000004
R1203v1TS456_3,TS456,3,v1,0.49439999999999995
R1203v1TS338_5,TS338,5,v1,0.49439999999999995
R1203v1TS183_4,TS183,4,v1,0.49067
R1203v1TS063_4,TS063,4,v1,0.48694000000000004
R1203v1TS448_3,TS448,3,v1,0.48507
R1203v1TS448_4,TS448,4,v1,0.48321
R1203v1TS306_1,TS306,1,v1,0.48321
R1203v1TS183_1,TS183,1,v1,0.48321
R1203v1TS165_2,TS165,2,v1,0.48134
R1203v1TS052_5,TS052,5,v1,0.47948
R1203v1TS183_3,TS183,3,v1,0.47761000000000003
R1203v1TS238_2,TS238,2,v1,0.47575
R1203v1TS448_1,TS448,1,v1,0.47575
R1203v1TS448_2,TS448,2,v1,0.47201
R1203v1TS052_3,TS052,3,v1,0.46828000000000003
R1203v1TS448_5,TS448,5,v1,0.46828000000000003
R1203v1TS456_1,TS456,1,v1,0.46642000000000006
R1203v1TS367_1,TS367,1,v1,0.46454999999999996
R1203v1TS286_3,TS286,3,v1,0.46269
R1203v1TS286_4,TS286,4,v1,0.46269
R1203v1TS165_1,TS165,1,v1,0.46269
R1203v1TS338_1,TS338,1,v1,0.45896000000000003
R1203v1TS267_4,TS267,4,v1,0.45896000000000003
R1203v1TS165_4,TS165,4,v1,0.45896000000000003
R1203v1TS338_2,TS338,2,v1,0.45896000000000003
R1203v1TS189_5,TS189,5,v1,0.45896000000000003
R1203v1TS231_2,TS231,2,v1,0.45709000000000005
R1203v1TS052_2,TS052,2,v1,0.45709000000000005
