Model,Composite_Score_3
T1214TS014_2,86.05209215448785
T1214TS015_1,95.65932402418171
T1214TS017_1,97.90288263614303
T1214TS019_5,85.14369135153488
T1214TS020_3,94.36147004092989
T1214TS022_2,95.70157796808346
T1214TS039_2,85.85872420504087
T1214TS040_3,98.88104113094026
T1214TS051_6,86.54007421825457
T1214TS052_5,96.28036242326723
T1214TS055_1,79.26982413019415
T1214TS059_6,97.11070656127625
T1214TS075_1,85.65100944268933
T1214TS079_2,84.25312247279469
T1214TS091_1,98.41860733979948
T1214TS102_3,83.10513589659541
T1214TS110_5,97.56007753658346
T1214TS120_6,63.887489593760485
T1214TS122_1,86.43246353726886
T1214TS132_1,11.169907745219055
T1214TS139_6,97.11070656127625
T1214TS145_1,97.90288263614303
T1214TS147_3,97.50041025020997
T1214TS148_2,94.82211571881486
T1214TS163_5,86.65534646865295
T1214TS164_5,86.65534646865295
T1214TS167_2,84.59437121266204
T1214TS196_1,86.09028890082462
T1214TS198_1,97.80930493610124
T1214TS202_5,56.93848946892226
T1214TS204_5,97.34733902675961
T1214TS207_1,83.4969692426681
T1214TS208_2,87.30894023231858
T1214TS221_5,95.20390644957693
T1214TS225_1,84.11534551873281
T1214TS227_5,83.89818903279425
T1214TS235_5,87.27527073721856
T1214TS241_4,86.59653713715974
T1214TS262_2,96.16159582846896
T1214TS264_6,86.82216734593295
T1214TS267_3,86.84228789370395
T1214TS269_4,95.23920624566895
T1214TS272_3,86.03869614303892
T1214TS274_1,99.20125332524614
T1214TS275_1,39.63741295700968
T1214TS284_1,85.65100944268933
T1214TS286_3,96.85140647662605
T1214TS287_5,88.55139265678599
T1214TS293_1,84.25312247279469
T1214TS294_2,83.84818822031278
T1214TS298_5,79.40594156497981
T1214TS301_4,86.16041733827817
T1214TS304_4,86.59653713715974
T1214TS311_5,85.86939459201474
T1214TS312_5,87.26637051040673
T1214TS314_5,87.26637051040673
T1214TS319_4,96.44002310121937
T1214TS331_5,85.38148867739508
T1214TS345_1,86.53104135441568
T1214TS361_1,45.22168908974428
T1214TS369_5,89.896303282883
T1214TS375_4,97.603947515273
T1214TS386_5,79.40594156497981
T1214TS388_1,97.18054858014449
T1214TS393_4,87.26637051040673
T1214TS400_1,85.50326049676758
T1214TS408_2,84.50284088246124
T1214TS419_5,95.20390644957693
T1214TS423_3,85.57276141408656
T1214TS425_4,96.16108686570973
T1214TS450_5,84.59437121266204
T1214TS456_4,96.28264327310752
T1214TS461_3,71.83639086200078
T1214TS462_3,97.50041025020997
T1214TS464_2,86.33369952746087
T1214TS465_1,87.0835751058718
T1214TS475_5,86.33825449906028
T1214TS494_1,99.20125332524614
