Model,Group,Model Number,Model Version,BestDockQ
M1239v1TS110_1,TS110,1,v1,0.8214
M1239v1TS294_5,TS294,5,v1,0.7809999999999999
M1239v1TS294_4,TS294,4,v1,0.7921
M1239v1TS286_4,TS286,4,v1,0.7567999999999999
M1239v1TS481_4,TS481,4,v1,0.7659
M1239v1TS167_3,TS167,3,v1,0.7456
M1239v1TS167_2,TS167,2,v1,0.7464999999999999
M1239v1TS450_3,TS450,3,v1,0.7456
M1239v1TS450_2,TS450,2,v1,0.7464999999999999
M1239v1TS286_1,TS286,1,v1,0.7017
M1239v1TS450_4,TS450,4,v1,0.7562
M1239v1TS286_3,TS286,3,v1,0.7158
M1239v1TS167_4,TS167,4,v1,0.7562
M1239v1TS450_5,TS450,5,v1,0.7461
M1239v1TS167_5,TS167,5,v1,0.7461
M1239v1TS481_1,TS481,1,v1,0.7527
M1239v1TS489_5,TS489,5,v1,0.7668
M1239v1TS450_1,TS450,1,v1,0.7394000000000001
M1239v1TS167_1,TS167,1,v1,0.7394000000000001
M1239v1TS294_3,TS294,3,v1,0.7249
M1239v1TS294_2,TS294,2,v1,0.7356
M1239v1TS231_2,TS231,2,v1,0.6542
M1239v1TS231_1,TS231,1,v1,0.6433
M1239v1TS033_4,TS033,4,v1,0.6281
M1239v1TS091_2,TS091,2,v1,nan
M1239v1TS110_5,TS110,5,v1,0.6208
M1239v1TS286_5,TS286,5,v1,0.5791999999999999
M1239v1TS033_5,TS033,5,v1,0.621
M1239v1TS208_4,TS208,4,v1,0.7222999999999999
M1239v1TS208_2,TS208,2,v1,0.7291000000000001
M1239v1TS489_3,TS489,3,v1,0.6956
M1239v1TS208_1,TS208,1,v1,0.7219
M1239v1TS462_3,TS462,3,v1,0.5689
M1239v1TS462_4,TS462,4,v1,0.5856
M1239v1TS110_3,TS110,3,v1,0.5763
M1239v1TS033_3,TS033,3,v1,0.6627
M1239v1TS110_4,TS110,4,v1,0.5102
M1239v1TS286_2,TS286,2,v1,0.48109999999999997
M1239v1TS325_2,TS325,2,v1,0.6954
M1239v1TS159_2,TS159,2,v1,0.6954
M1239v1TS489_4,TS489,4,v1,0.6881999999999999
M1239v1TS159_1,TS159,1,v1,0.6798
M1239v1TS325_1,TS325,1,v1,0.6798
M1239v1TS489_2,TS489,2,v1,0.6827
M1239v1TS262_2,TS262,2,v1,0.6641
M1239v1TS489_1,TS489,1,v1,0.6902
M1239v1TS262_5,TS262,5,v1,0.6678
M1239v1TS462_2,TS462,2,v1,0.5737
M1239v1TS235_5,TS235,5,v1,0.44930000000000003
M1239v1TS091_5,TS091,5,v1,0.662
M1239v1TS033_2,TS033,2,v1,0.6351
M1239v1TS235_1,TS235,1,v1,0.45780000000000004
M1239v1TS481_3,TS481,3,v1,0.5851
M1239v1TS262_4,TS262,4,v1,0.639
M1239v1TS462_5,TS462,5,v1,0.5375
M1239v1TS262_3,TS262,3,v1,0.6466000000000001
M1239v1TS091_3,TS091,3,v1,nan
M1239v1TS028_4,TS028,4,v1,0.5833999999999999
M1239v1TS028_3,TS028,3,v1,0.5894
M1239v1TS262_1,TS262,1,v1,0.6423
M1239v1TS028_2,TS028,2,v1,0.5713
M1239v1TS235_4,TS235,4,v1,0.3932
M1239v1TS481_2,TS481,2,v1,0.5665
M1239v1TS110_2,TS110,2,v1,0.5405
M1239v1TS028_1,TS028,1,v1,0.5479
M1239v1TS033_1,TS033,1,v1,0.5404
M1239v1TS462_1,TS462,1,v1,0.48979999999999996
M1239v1TS091_1,TS091,1,v1,nan
M1239v1TS091_4,TS091,4,v1,0.5547
M1239v1TS241_1,TS241,1,v1,0.3581
M1239v1TS304_3,TS304,3,v1,0.2965
M1239v1TS241_3,TS241,3,v1,0.36360000000000003
M1239v1TS304_2,TS304,2,v1,0.3173
M1239v1TS235_2,TS235,2,v1,0.38639999999999997
M1239v1TS272_3,TS272,3,v1,0.44530000000000003
M1239v1TS241_2,TS241,2,v1,0.3014
M1239v1TS241_5,TS241,5,v1,0.3196
M1239v1TS304_1,TS304,1,v1,0.3196
M1239v1TS304_5,TS304,5,v1,0.3035
M1239v1TS304_4,TS304,4,v1,0.277
M1239v1TS235_3,TS235,3,v1,0.3766
M1239v1TS272_2,TS272,2,v1,0.4283
M1239v1TS272_4,TS272,4,v1,0.42990000000000006
M1239v1TS272_5,TS272,5,v1,0.4295
M1239v1TS241_4,TS241,4,v1,0.2794
M1239v1TS272_1,TS272,1,v1,0.42939999999999995
M1239v1TS028_5,TS028,5,v1,0.5022
M1239v1TS294_1,TS294,1,v1,0.604
M1239v1TS481_5,TS481,5,v1,0.42169999999999996
M1239v1TS014_1,TS014,1,v1,0.1487
M1239v1TS014_6,TS014,6,v1,0.1478
M1239v1TS014_2,TS014,2,v1,0.1478
M1239v1TS014_3,TS014,3,v1,0.14750000000000002
M1239v1TS014_4,TS014,4,v1,0.147
M1239v1TS014_5,TS014,5,v1,0.14450000000000002
