Model,Group,Model Version,Model Number,Composite_Score_4
R1203TS006_3,TS006,v2,3,39.51407040720041
R1203TS231_5,TS231,v2,5,38.44956874489562
R1203TS238_5,TS238,v2,5,38.056185445387314
R1203TS235_5,TS235,v2,5,37.17763334637744
R1203TS272_1,TS272,v2,1,35.886203011548886
R1203TS400_1,TS400,v2,1,35.24252595410528
R1203TS304_2,TS304,v2,2,35.0115323646076
R1203TS241_2,TS241,v2,2,35.0115323646076
R1203TS304_3,TS304,v2,3,34.45633602056301
R1203TS241_3,TS241,v2,3,34.45633602056301
R1203TS276_1,TS276,v2,1,33.61630071176748
R1203TS435_5,TS435,v2,5,33.405682687675764
R1203TS369_5,TS369,v2,5,33.017549460343396
R1203TS167_2,TS167,v2,2,32.95477388800789
R1203TS006_1,TS006,v2,1,32.9188339809814
R1203TS369_3,TS369,v2,3,32.489487070717814
R1203TS241_1,TS241,v2,1,31.994081864131932
R1203TS294_1,TS294,v2,1,31.994081864131932
R1203TS304_1,TS304,v2,1,31.994081864131932
R1203TS235_2,TS235,v2,2,31.953886750238503
R1203TS241_4,TS241,v2,4,31.902698649275333
R1203TS304_4,TS304,v2,4,31.902698649275333
R1203TS272_4,TS272,v2,4,31.69751551251459
R1203TS272_5,TS272,v2,5,31.610170592901788
R1203TS159_2,TS159,v2,2,31.411350045820814
R1203TS369_2,TS369,v2,2,31.361243287708476
R1203TS435_6,TS435,v2,6,29.308422150142196
R1203TS159_1,TS159,v2,1,27.88740708245941
R1203TS110_5,TS110,v2,5,27.119082956801243
R1203TS417_4,TS417,v2,4,24.708227461936904
R1203TS165_5,TS165,v2,5,24.23054444817182
R1203TS317_4,TS317,v2,4,23.96861516212042
R1203TS006_5,TS006,v2,5,23.271350253057022
R1203TS267_3,TS267,v2,3,23.228217362416366
R1203TS006_4,TS006,v2,4,22.832553854406036
R1203TS267_4,TS267,v2,4,21.09070529312948
R1203TS435_1,TS435,v2,1,21.034507211982117
R1203TS052_4,TS052,v2,4,19.95403989463084
R1203TS462_1,TS462,v2,1,19.695065383876106
R1203TS235_4,TS235,v2,4,19.044951309567377
R1203TS417_5,TS417,v2,5,18.35031959803992
R1203TS294_3,TS294,v2,3,18.34951248106795
R1203TS417_1,TS417,v2,1,18.295257416330205
R1203TS159_4,TS159,v2,4,17.8080980967604
R1203TS481_5,TS481,v2,5,17.104464316586636
R1203TS169_2,TS169,v2,2,16.198796870985696
R1203TS052_3,TS052,v2,3,16.191869086760953
R1203TS156_4,TS156,v2,4,15.793056539432172
R1203TS261_3,TS261,v2,3,15.732457409200077
R1203TS417_2,TS417,v2,2,15.621491549256339
R1203TS169_3,TS169,v2,3,15.392068159409893
R1203TS286_3,TS286,v2,3,15.310601663922322
R1203TS110_2,TS110,v2,2,14.705797215157911
R1203TS462_2,TS462,v2,2,14.705797215157911
R1203TS286_1,TS286,v2,1,14.662725257773953
R1203TS317_5,TS317,v2,5,14.568705833013823
R1203TS338_3,TS338,v2,3,14.472807535374539
R1203TS169_5,TS169,v2,5,14.33824634656249
R1203TS358_1,TS358,v2,1,14.265932260769958
R1203TS156_1,TS156,v2,1,14.037999459930342
R1203TS286_2,TS286,v2,2,14.027905129088207
R1203TS261_4,TS261,v2,4,13.958156960559947
R1203TS358_2,TS358,v2,2,13.915073144819782
R1203TS358_4,TS358,v2,4,13.89733791293503
R1203TS481_3,TS481,v2,3,13.39274161504839
R1203TS338_5,TS338,v2,5,12.846605359569669
R1203TS448_1,TS448,v2,1,12.334973961126714
R1203TS241_5,TS241,v2,5,12.267580967407794
R1203TS304_5,TS304,v2,5,12.267580967407794
R1203TS165_1,TS165,v2,1,12.22580960991188
R1203TS063_3,TS063,v2,3,12.125101077858423
R1203TS028_2,TS028,v2,2,12.050140100451916
R1203TS261_1,TS261,v2,1,11.778782741517428
R1203TS063_1,TS063,v2,1,11.644630308492477
R1203TS435_3,TS435,v2,3,11.446060974510075
R1203TS189_1,TS189,v2,1,11.437325794772695
R1203TS369_4,TS369,v2,4,11.333464628318014
R1203TS358_5,TS358,v2,5,11.301508597122282
R1203TS481_4,TS481,v2,4,11.259034918894647
R1203TS165_2,TS165,v2,2,11.201327728605047
R1203TS272_3,TS272,v2,3,11.051785047572851
R1203TS294_2,TS294,v2,2,11.022518062554257
R1203TS183_2,TS183,v2,2,10.766696873175082
R1203TS183_5,TS183,v2,5,10.742990860579985
R1203TS286_4,TS286,v2,4,10.734955902671821
R1203TS294_4,TS294,v2,4,10.694723827050899
R1203TS165_4,TS165,v2,4,10.649534911992523
R1203TS456_4,TS456,v2,4,10.633873763474778
R1203TS231_2,TS231,v2,2,10.626774165857828
R1203TS435_2,TS435,v2,2,10.622525202972657
R1203TS183_4,TS183,v2,4,10.531517395329908
R1203TS238_3,TS238,v2,3,10.499957239626145
R1203TS338_4,TS338,v2,4,10.438055707168477
R1203TS231_3,TS231,v2,3,10.42879770529898
R1203TS169_4,TS169,v2,4,10.278744415147438
R1203TS165_3,TS165,v2,3,10.185643173527902
R1203TS261_2,TS261,v2,2,10.04114392013137
R1203TS006_2,TS006,v2,2,10.029351628178901
R1203TS238_2,TS238,v2,2,10.00055443366594
R1203TS189_5,TS189,v2,5,9.76620212076437
R1203TS189_2,TS189,v2,2,9.736634150459604
R1203TS159_5,TS159,v2,5,9.704035305901922
R1203TS063_5,TS063,v2,5,9.644190504040242
R1203TS448_5,TS448,v2,5,9.616462681223341
R1203TS063_2,TS063,v2,2,9.582591241487265
R1203TS189_4,TS189,v2,4,9.576034725688183
R1203TS338_1,TS338,v2,1,9.518142677736689
R1203TS028_3,TS028,v2,3,9.470341558964135
R1203TS156_3,TS156,v2,3,9.401659033267126
R1203TS267_5,TS267,v2,5,9.396042116990863
R1203TS294_5,TS294,v2,5,9.361964280560455
R1203TS231_1,TS231,v2,1,9.341102577029934
R1203TS238_4,TS238,v2,4,9.3104366039781
R1203TS094_3,TS094,v2,3,9.28406323161316
R1203TS156_5,TS156,v2,5,9.24752988905332
R1203TS189_3,TS189,v2,3,9.165091209377927
R1203TS367_1,TS367,v2,1,9.138576433687616
R1203TS063_4,TS063,v2,4,9.131426287058083
R1203TS481_2,TS481,v2,2,9.119192894699893
R1203TS052_1,TS052,v2,1,9.089396661515787
R1203TS456_1,TS456,v2,1,9.01784337041838
R1203TS435_4,TS435,v2,4,8.937534331107079
R1203TS052_5,TS052,v2,5,8.928501391766323
R1203TS110_1,TS110,v2,1,8.91329277717452
R1203TS267_2,TS267,v2,2,8.911729757168661
R1203TS450_4,TS450,v2,4,8.85668101570625
R1203TS159_3,TS159,v2,3,8.8295174010421
R1203TS481_1,TS481,v2,1,8.822086351568036
R1203TS448_4,TS448,v2,4,8.756280424390976
R1203TS338_2,TS338,v2,2,8.755629673735344
R1203TS267_1,TS267,v2,1,8.73109550975055
R1203TS261_5,TS261,v2,5,8.406092012485537
R1203TS231_4,TS231,v2,4,8.351449816875514
R1203TS456_2,TS456,v2,2,8.322458634117554
R1203TS286_5,TS286,v2,5,8.297650424044068
R1203TS052_2,TS052,v2,2,8.294140607031592
R1203TS167_3,TS167,v2,3,8.270549799835134
R1203TS238_1,TS238,v2,1,8.241819673564434
R1203TS450_2,TS450,v2,2,8.232871523116113
R1203TS028_4,TS028,v2,4,8.182593945949332
R1203TS462_5,TS462,v2,5,8.163791778250468
R1203TS110_3,TS110,v2,3,8.163791778250468
R1203TS456_5,TS456,v2,5,8.15746204062594
R1203TS450_1,TS450,v2,1,8.138574408719721
R1203TS358_3,TS358,v2,3,8.115386612728976
R1203TS272_2,TS272,v2,2,8.112537062748162
R1203TS110_4,TS110,v2,4,8.058580148409835
R1203TS462_3,TS462,v2,3,8.048125639618824
R1203TS028_1,TS028,v2,1,8.012152123139254
R1203TS169_1,TS169,v2,1,7.880514122652123
R1203TS450_3,TS450,v2,3,7.642992699102498
R1203TS462_4,TS462,v2,4,7.53805492389421
R1203TS167_1,TS167,v2,1,7.412659733141455
R1203TS183_1,TS183,v2,1,7.374144308988202
R1203TS235_3,TS235,v2,3,7.102227664321987
R1203TS448_2,TS448,v2,2,7.072823223591628
R1203TS235_1,TS235,v2,1,7.041373934726735
R1203TS450_5,TS450,v2,5,7.0089888048914535
R1203TS167_4,TS167,v2,4,6.818208557921077
R1203TS167_5,TS167,v2,5,6.582897896721737
R1203TS306_1,TS306,v2,1,6.350279051419512
R1203TS183_3,TS183,v2,3,6.134598782636385
R1203TS448_3,TS448,v2,3,5.334536115774744
R1203TS094_1,TS094,v2,1,3.5553821312063905
R1203TS423_1,TS423,v2,1,3.3020120948587732
R1203TS298_1,TS298,v2,1,3.3020120948587732
R1203TS417_3,TS417,v2,3,3.2961082665594477
R1203TS208_1,TS208,v2,1,2.9900389484705547
R1203TS403_1,TS403,v2,1,2.8563866923158505
R1203TS094_2,TS094,v2,2,2.8243953981298784
R1203TS317_2,TS317,v2,2,2.616515615901645
R1203TS156_2,TS156,v2,2,2.3303972914669293
R1203TS094_5,TS094,v2,5,1.592039013820254
R1203TS456_3,TS456,v2,3,1.4833784336684643
R1203TS369_1,TS369,v2,1,1.2857798162871223
R1203TS317_3,TS317,v2,3,1.2335884786631908
R1203TS094_4,TS094,v2,4,1.1815321418016347
R1203TS317_1,TS317,v2,1,0.23607069648382795
R1203TS033_5,TS033,v2,5,
R1203TS033_1,TS033,v2,1,
