Model,Group,Model Number,GDT_TS
T1249v2TS139_1,TS139,1,0.067
T1249v2TS139_4,TS139,4,0.067
T1249v1TS139_2,TS139,2,0.055
T1249v1TS139_4,TS139,4,0.054
T1249v1TS114_3,TS114,3,0.041
T1249v1TS337_1,TS337,1,0.041
T1249v2TS114_3,TS114,3,0.041
T1249v2TS337_1,TS337,1,0.041
T1249v2TS139_3,TS139,3,0.04
T1249v2TS139_5,TS139,5,0.039
T1249v1TS114_4,TS114,4,0.038
T1249v1TS114_5,TS114,5,0.038
T1249v2TS114_4,TS114,4,0.038
T1249v2TS114_5,TS114,5,0.038
T1249v2TS139_2,TS139,2,0.038
T1249v1TS337_3,TS337,3,0.037
T1249v2TS337_3,TS337,3,0.037
T1249v1TS023_3,TS023,3,0.036
T1249v1TS300_2,TS300,2,0.036
T1249v1TS300_4,TS300,4,0.036
T1249v1TS300_5,TS300,5,0.036
T1249v2TS023_3,TS023,3,0.036
T1249v2TS300_2,TS300,2,0.036
T1249v2TS300_4,TS300,4,0.036
T1249v2TS300_5,TS300,5,0.036
T1249v1TS114_1,TS114,1,0.035
T1249v1TS300_1,TS300,1,0.035
T1249v1TS337_4,TS337,4,0.035
T1249v1TS337_5,TS337,5,0.035
T1249v2TS114_1,TS114,1,0.035
T1249v2TS300_1,TS300,1,0.035
T1249v2TS337_4,TS337,4,0.035
T1249v2TS337_5,TS337,5,0.035
T1249v1TS023_1,TS023,1,0.034
T1249v1TS337_2,TS337,2,0.034
T1249v2TS023_1,TS023,1,0.034
T1249v2TS337_2,TS337,2,0.034
T1249v1TS114_2,TS114,2,0.033
T1249v1TS300_3,TS300,3,0.033
T1249v2TS114_2,TS114,2,0.033
T1249v2TS300_3,TS300,3,0.033
T1249v1TS023_4,TS023,4,0.031
T1249v2TS023_4,TS023,4,0.031
T1249v1TS023_5,TS023,5,0.03
T1249v2TS023_5,TS023,5,0.03
T1249v1TS023_2,TS023,2,0.028
T1249v2TS023_2,TS023,2,0.028
