Model,Group,Model Number,GDT_TS
T1249v2TS311_3,TS311,3,0.753
T1249v2TS465_3,TS465,3,0.753
T1249v1TS198_2,TS198,2,0.752
T1249v1TS022_1,TS022,1,0.75
T1249v1TS022_5,TS022,5,0.75
T1249v1TS052_2,TS052,2,0.75
T1249v2TS022_1,TS022,1,0.75
T1249v2TS022_5,TS022,5,0.75
T1249v2TS204_3,TS204,3,0.75
T1249v1TS369_3,TS369,3,0.749
T1249v2TS369_3,TS369,3,0.749
T1249v1TS393_3,TS393,3,0.746
T1249v2TS393_1,TS393,1,0.746
T1249v1TS311_4,TS311,4,0.745
T1249v2TS311_4,TS311,4,0.745
T1249v1TS167_1,TS167,1,0.744
T1249v1TS450_1,TS450,1,0.744
T1249v2TS294_1,TS294,1,0.744
T1249v2TS198_2,TS198,2,0.741
T1249v1TS294_5,TS294,5,0.74
T1249v2TS075_2,TS075,2,0.74
T1249v2TS122_3,TS122,3,0.74
T1249v2TS284_2,TS284,2,0.74
T1249v2TS294_2,TS294,2,0.74
T1249v2TS475_2,TS475,2,0.74
T1249v1TS059_6,TS059,6,0.739
T1249v1TS051_2,TS051,2,0.737
T1249v1TS345_2,TS345,2,0.737
T1249v2TS051_2,TS051,2,0.737
T1249v2TS345_2,TS345,2,0.737
T1249v1TS267_5,TS267,5,0.736
T1249v1TS345_4,TS345,4,0.733
T1249v2TS051_1,TS051,1,0.733
T1249v2TS345_1,TS345,1,0.733
T1249v2TS028_3,TS028,3,0.732
T1249v2TS290_5,TS290,5,0.731
T1249v2TS393_4,TS393,4,0.723
T1249v2TS040_3,TS040,3,0.722
T1249v2TS267_2,TS267,2,0.722
T1249v2TS375_2,TS375,2,0.721
T1249v1TS219_3,TS219,3,0.719
T1249v1TS322_3,TS322,3,0.719
T1249v2TS219_2,TS219,2,0.719
T1249v2TS322_2,TS322,2,0.719
T1249v1TS369_2,TS369,2,0.718
T1249v2TS369_2,TS369,2,0.718
T1249v2TS075_1,TS075,1,0.717
T1249v2TS122_2,TS122,2,0.717
