Model,Group,Model_Number,Composite_Score_4
R1203TS448_1 v2,TS448,1,8.084387340619443
R1203TS235_4 v2,TS235,4,8.075011274396992
R1203TS156_4 v2,TS156,4,8.067652125268456
R1203TS272_2 v2,TS272,2,8.066307760026818
R1203TS417_1 v2,TS417,1,8.052188170720147
R1203TS462_1 v2,TS462,1,8.034508759822277
R1203TS261_5 v2,TS261,5,8.024570415673534
R1203TS235_1 v2,TS235,1,8.000050604221489
R1203TS235_3 v2,TS235,3,7.961269330078851
R1203TS165_4 v2,TS165,4,7.946545768969045
R1203TS358_5 v2,TS358,5,7.925232840990037
R1203TS110_5 v2,TS110,5,7.89677780316147
R1203TS028_1 v2,TS028,1,7.891340413411473
R1203TS462_4 v2,TS462,4,7.885758044972616
R1203TS052_3 v2,TS052,3,7.8837485181600355
R1203TS110_4 v2,TS110,4,7.857586802761463
R1203TS367_1 v2,TS367,1,7.775042730127838
R1203TS110_2 v2,TS110,2,7.6740128487884665
R1203TS462_2 v2,TS462,2,7.6740128487884665
R1203TS231_4 v2,TS231,4,7.5962594681395545
R1203TS450_4 v2,TS450,4,7.587506804293217
R1203TS261_2 v2,TS261,2,7.522519328727713
R1203TS456_5 v2,TS456,5,7.2413233723143
R1203TS167_5 v2,TS167,5,7.213768597703945
R1203TS167_4 v2,TS167,4,7.170024350574972
R1203TS183_3 v2,TS183,3,7.115022279914487
R1203TS450_5 v2,TS450,5,7.068750485978512
R1203TS167_1 v2,TS167,1,6.941602915379714
R1203TS169_2 v2,TS169,2,6.73350525858312
R1203TS169_3 v2,TS169,3,6.5895022307838165
R1203TS169_5 v2,TS169,5,6.467331439618303
R1203TS028_2 v2,TS028,2,6.453848935034335
R1203TS448_2 v2,TS448,2,6.055134898706248
R1203TS052_4 v2,TS052,4,5.622155189117406
R1203TS169_1 v2,TS169,1,5.343755196950797
R1203TS448_3 v2,TS448,3,4.999365746770389
R1203TS298_1 v2,TS298,1,3.4247233962786034
R1203TS423_1 v2,TS423,1,3.4247233962786034
R1203TS403_1 v2,TS403,1,3.3893942318
R1203TS317_2 v2,TS317,2,3.3783713179029085
R1203TS448_4 v2,TS448,4,3.263969328366758
R1203TS208_1 v2,TS208,1,3.0567279497325712
R1203TS417_3 v2,TS417,3,2.9355165152866327
R1203TS317_3 v2,TS317,3,2.1318513600373077
R1203TS094_5 v2,TS094,5,1.9931085652
R1203TS028_4 v2,TS028,4,1.3287974277963637
R1203TS094_3 v2,TS094,3,1.0733987343396627
R1203TS094_1 v2,TS094,1,1.0012601163824602
R1203TS369_1 v2,TS369,1,0.42899238919693755
R1203TS094_2 v2,TS094,2,0.40000741844700566
R1203TS094_4 v2,TS094,4,0.21000298061861003
R1203TS456_3 v2,TS456,3,0.14351000636003614
R1203TS156_3 v2,TS156,3,0.11819397899999998
R1203TS156_2 v2,TS156,2,0.007754092999999999
R1203TS317_1 v2,TS317,1,0.0026079534756048525
R1203TS306_1 v2,TS306,1,5.906196034832507e-05
R1203TS033_5 v2,TS033,5,1.1114753474199051e-09
R1203TS033_2 v2,TS033,2,1.1114753474199051e-09
R1203TS033_1 v2,TS033,1,1.1114753474199051e-09
R1203TS033_4 v2,TS033,4,1.1114753474199051e-09
R1203TS033_3 v2,TS033,3,1.1114753474199051e-09
