Model,Group,Model Number,Model Version,TMscore
M1239v1TS110_1,TS110,1,v1,0.67
M1239v1TS294_5,TS294,5,v1,0.628
M1239v1TS294_4,TS294,4,v1,0.635
M1239v1TS286_4,TS286,4,v1,0.621
M1239v1TS481_4,TS481,4,v1,0.641
M1239v1TS167_3,TS167,3,v1,0.603
M1239v1TS167_2,TS167,2,v1,0.611
M1239v1TS450_3,TS450,3,v1,0.603
M1239v1TS450_2,TS450,2,v1,0.611
M1239v1TS286_1,TS286,1,v1,0.598
M1239v1TS450_4,TS450,4,v1,0.607
M1239v1TS286_3,TS286,3,v1,0.596
M1239v1TS167_4,TS167,4,v1,0.607
M1239v1TS450_5,TS450,5,v1,0.611
M1239v1TS167_5,TS167,5,v1,0.611
M1239v1TS481_1,TS481,1,v1,0.627
M1239v1TS489_5,TS489,5,v1,0.628
M1239v1TS450_1,TS450,1,v1,0.618
M1239v1TS167_1,TS167,1,v1,0.618
M1239v1TS294_3,TS294,3,v1,0.578
M1239v1TS294_2,TS294,2,v1,0.595
M1239v1TS231_2,TS231,2,v1,0.643
M1239v1TS231_1,TS231,1,v1,0.641
M1239v1TS033_4,TS033,4,v1,0.585
M1239v1TS091_2,TS091,2,v1,0.638
M1239v1TS110_5,TS110,5,v1,0.594
M1239v1TS286_5,TS286,5,v1,0.596
M1239v1TS033_5,TS033,5,v1,0.586
M1239v1TS208_4,TS208,4,v1,0.668
M1239v1TS208_2,TS208,2,v1,0.643
M1239v1TS489_3,TS489,3,v1,0.634
M1239v1TS208_1,TS208,1,v1,0.657
M1239v1TS462_3,TS462,3,v1,0.593
M1239v1TS462_4,TS462,4,v1,0.665
M1239v1TS110_3,TS110,3,v1,0.648
M1239v1TS033_3,TS033,3,v1,0.59
M1239v1TS110_4,TS110,4,v1,0.632
M1239v1TS286_2,TS286,2,v1,0.646
M1239v1TS325_2,TS325,2,v1,0.638
M1239v1TS159_2,TS159,2,v1,0.638
M1239v1TS489_4,TS489,4,v1,0.613
M1239v1TS159_1,TS159,1,v1,0.609
M1239v1TS325_1,TS325,1,v1,0.609
M1239v1TS489_2,TS489,2,v1,0.612
M1239v1TS262_2,TS262,2,v1,0.644
M1239v1TS489_1,TS489,1,v1,0.599
M1239v1TS262_5,TS262,5,v1,0.644
M1239v1TS462_2,TS462,2,v1,0.613
M1239v1TS235_5,TS235,5,v1,0.67
M1239v1TS091_5,TS091,5,v1,0.59
M1239v1TS033_2,TS033,2,v1,0.605
M1239v1TS235_1,TS235,1,v1,0.658
M1239v1TS481_3,TS481,3,v1,0.625
M1239v1TS262_4,TS262,4,v1,0.621
M1239v1TS462_5,TS462,5,v1,0.554
M1239v1TS262_3,TS262,3,v1,0.74
M1239v1TS091_3,TS091,3,v1,0.578
M1239v1TS028_4,TS028,4,v1,0.659
M1239v1TS028_3,TS028,3,v1,0.62
M1239v1TS262_1,TS262,1,v1,0.74
M1239v1TS028_2,TS028,2,v1,0.572
M1239v1TS235_4,TS235,4,v1,0.603
M1239v1TS481_2,TS481,2,v1,0.66
M1239v1TS110_2,TS110,2,v1,0.576
M1239v1TS028_1,TS028,1,v1,0.59
M1239v1TS033_1,TS033,1,v1,0.573
M1239v1TS462_1,TS462,1,v1,0.589
M1239v1TS091_1,TS091,1,v1,0.553
M1239v1TS091_4,TS091,4,v1,0.568
M1239v1TS241_1,TS241,1,v1,0.335
M1239v1TS304_3,TS304,3,v1,0.311
M1239v1TS241_3,TS241,3,v1,0.335
M1239v1TS304_2,TS304,2,v1,0.313
M1239v1TS235_2,TS235,2,v1,0.653
M1239v1TS272_3,TS272,3,v1,0.347
M1239v1TS241_2,TS241,2,v1,0.334
M1239v1TS241_5,TS241,5,v1,0.33
M1239v1TS304_1,TS304,1,v1,0.33
M1239v1TS304_5,TS304,5,v1,0.312
M1239v1TS304_4,TS304,4,v1,0.317
M1239v1TS235_3,TS235,3,v1,0.652
M1239v1TS272_2,TS272,2,v1,0.342
M1239v1TS272_4,TS272,4,v1,0.339
M1239v1TS272_5,TS272,5,v1,0.328
M1239v1TS241_4,TS241,4,v1,0.354
M1239v1TS272_1,TS272,1,v1,0.358
M1239v1TS028_5,TS028,5,v1,0.724
M1239v1TS294_1,TS294,1,v1,0.811
M1239v1TS481_5,TS481,5,v1,0.673
M1239v1TS014_1,TS014,1,v1,0.514
M1239v1TS014_6,TS014,6,v1,0.514
M1239v1TS014_2,TS014,2,v1,0.517
M1239v1TS014_3,TS014,3,v1,0.519
M1239v1TS014_4,TS014,4,v1,0.518
M1239v1TS014_5,TS014,5,v1,0.521
M1239v2TS014_1,TS014,1,v2,0.4941
M1239v2TS014_1,TS014,1,v2,0.5257
M1239v2TS014_2,TS014,2,v2,0.498
M1239v2TS014_2,TS014,2,v2,0.5276
M1239v2TS014_3,TS014,3,v2,0.4986
M1239v2TS014_3,TS014,3,v2,0.527
M1239v2TS014_4,TS014,4,v2,0.506
M1239v2TS014_4,TS014,4,v2,0.5355
M1239v2TS014_5,TS014,5,v2,0.4985
M1239v2TS014_5,TS014,5,v2,0.5269
M1239v2TS014_6,TS014,6,v2,0.4972
M1239v2TS014_6,TS014,6,v2,0.5248
M1239v2TS028_1,TS028,1,v2,0.6361
M1239v2TS028_1,TS028,1,v2,0.6405
M1239v2TS028_2,TS028,2,v2,0.6517
M1239v2TS028_2,TS028,2,v2,0.6561
M1239v2TS028_3,TS028,3,v2,0.6264
M1239v2TS028_3,TS028,3,v2,0.6321
M1239v2TS028_4,TS028,4,v2,0.6222
M1239v2TS028_4,TS028,4,v2,0.6226
M1239v2TS028_5,TS028,5,v2,0.5864
M1239v2TS028_5,TS028,5,v2,0.6105
M1239v2TS033_1,TS033,1,v2,0.5946
M1239v2TS033_1,TS033,1,v2,0.6187
M1239v2TS033_2,TS033,2,v2,0.6078
M1239v2TS033_2,TS033,2,v2,0.6206
M1239v2TS033_3,TS033,3,v2,0.5772
M1239v2TS033_3,TS033,3,v2,0.6018
M1239v2TS033_4,TS033,4,v2,0.6379
M1239v2TS033_4,TS033,4,v2,0.6456
M1239v2TS033_5,TS033,5,v2,0.547
M1239v2TS033_5,TS033,5,v2,0.5695
M1239v2TS091_1,TS091,1,v2,0.5647
M1239v2TS091_1,TS091,1,v2,0.5783
M1239v2TS091_2,TS091,2,v2,0.6405
M1239v2TS091_2,TS091,2,v2,0.6376
M1239v2TS091_3,TS091,3,v2,0.5449
M1239v2TS091_3,TS091,3,v2,0.5531
M1239v2TS091_4,TS091,4,v2,0.5473
M1239v2TS091_4,TS091,4,v2,0.5679
M1239v2TS091_5,TS091,5,v2,0.5646
M1239v2TS091_5,TS091,5,v2,0.5897
M1239v2TS110_1,TS110,1,v2,0.622
M1239v2TS110_1,TS110,1,v2,0.6319
M1239v2TS110_2,TS110,2,v2,0.5683
M1239v2TS110_2,TS110,2,v2,0.5936
M1239v2TS110_3,TS110,3,v2,0.5848
M1239v2TS110_3,TS110,3,v2,0.6081
M1239v2TS110_4,TS110,4,v2,0.5855
M1239v2TS110_4,TS110,4,v2,0.6106
M1239v2TS110_5,TS110,5,v2,0.7273
M1239v2TS110_5,TS110,5,v2,0.7243
M1239v2TS159_1,TS159,1,v2,0.6051
M1239v2TS159_1,TS159,1,v2,0.6094
M1239v2TS159_2,TS159,2,v2,0.6347
M1239v2TS159_2,TS159,2,v2,0.638
M1239v2TS167_1,TS167,1,v2,0.5608
M1239v2TS167_1,TS167,1,v2,0.5729
M1239v2TS167_2,TS167,2,v2,0.5555
M1239v2TS167_2,TS167,2,v2,0.5661
M1239v2TS167_3,TS167,3,v2,0.5617
M1239v2TS167_3,TS167,3,v2,0.5719
M1239v2TS167_4,TS167,4,v2,0.5419
M1239v2TS167_4,TS167,4,v2,0.5459
M1239v2TS167_5,TS167,5,v2,0.5547
M1239v2TS167_5,TS167,5,v2,0.5537
