Model,Group,Model Number,Model Version,GlobalLDDT
T1228v2TS110_3,TS110,3,v2,0.7462
T1228v2TS028_4,TS028,4,v2,0.7462
T1228v2TS462_2,TS462,2,v2,0.7454
T1228v1TS147_5,TS147,5,v1,0.7418
T1228v2TS462_1,TS462,1,v2,0.7413
T1228v2TS462_4,TS462,4,v2,0.7413
T1228v2TS462_5,TS462,5,v2,0.7411
T1228v2TS314_5,TS314,5,v2,0.7407
T1228v2TS345_3,TS345,3,v2,0.7394
T1228v1TS319_1,TS319,1,v1,0.7394
T1228v1TS331_1,TS331,1,v1,0.7394
T1228v1TS051_1,TS051,1,v1,0.7394
T1228v2TS425_4,TS425,4,v2,0.7394
T1228v1TS345_1,TS345,1,v1,0.7394
T1228v2TS051_3,TS051,3,v2,0.7394
T1228v2TS331_2,TS331,2,v2,0.7394
T1228v2TS319_2,TS319,2,v2,0.7394
T1228v1TS345_5,TS345,5,v1,0.7391
T1228v2TS345_5,TS345,5,v2,0.7391
T1228v2TS051_5,TS051,5,v2,0.7391
T1228v1TS051_5,TS051,5,v1,0.7391
T1228v1TS314_2,TS314,2,v1,0.7388
T1228v1TS110_3,TS110,3,v1,0.7387
T1228v1TS314_3,TS314,3,v1,0.7384
T1228v2TS241_4,TS241,4,v2,0.7382
T1228v2TS314_4,TS314,4,v2,0.7381
T1228v2TS314_3,TS314,3,v2,0.7378
T1228v1TS314_4,TS314,4,v1,0.7378
T1228v1TS110_4,TS110,4,v1,0.7378
T1228v2TS147_4,TS147,4,v2,0.7376
T1228v2TS314_2,TS314,2,v2,0.7375
T1228v1TS028_4,TS028,4,v1,0.7372
T1228v1TS314_1,TS314,1,v1,0.7372
T1228v1TS204_5,TS204,5,v1,0.7370
T1228v2TS284_4,TS284,4,v2,0.7366
T1228v2TS122_4,TS122,4,v2,0.7366
T1228v2TS075_4,TS075,4,v2,0.7366
T1228v2TS301_4,TS301,4,v2,0.7366
T1228v1TS028_5,TS028,5,v1,0.7365
T1228v1TS110_5,TS110,5,v1,0.7363
T1228v1TS204_3,TS204,3,v1,0.7361
T1228v2TS204_5,TS204,5,v2,0.7361
T1228v1TS022_1,TS022,1,v1,0.7358
T1228v2TS022_5,TS022,5,v2,0.7358
T1228v1TS148_2,TS148,2,v1,0.7357
T1228v1TS122_1,TS122,1,v1,0.7349
T1228v1TS075_1,TS075,1,v1,0.7349
T1228v1TS284_1,TS284,1,v1,0.7349
T1228v1TS284_3,TS284,3,v1,0.7346
T1228v1TS204_4,TS204,4,v1,0.7346
T1228v1TS122_3,TS122,3,v1,0.7346
T1228v1TS075_3,TS075,3,v1,0.7346
T1228v1TS159_1,TS159,1,v1,0.7343
T1228v1TS325_1,TS325,1,v1,0.7343
T1228v2TS325_1,TS325,1,v2,0.7343
T1228v2TS159_1,TS159,1,v2,0.7343
T1228v1TS022_3,TS022,3,v1,0.7342
T1228v2TS022_3,TS022,3,v2,0.7342
T1228v2TS167_5,TS167,5,v2,0.7338
T1228v2TS450_5,TS450,5,v2,0.7338
T1228v2TS167_4,TS167,4,v2,0.7337
T1228v2TS450_4,TS450,4,v2,0.7337
T1228v2TS264_5,TS264,5,v2,0.7336
T1228v2TS110_5,TS110,5,v2,0.7335
T1228v2TS450_3,TS450,3,v2,0.7330
T1228v2TS167_3,TS167,3,v2,0.7330
T1228v2TS028_3,TS028,3,v2,0.7327
T1228v2TS110_4,TS110,4,v2,0.7325
T1228v2TS167_1,TS167,1,v2,0.7324
T1228v2TS450_1,TS450,1,v2,0.7324
T1228v1TS462_2,TS462,2,v1,0.7324
T1228v1TS148_4,TS148,4,v1,0.7323
T1228v2TS264_1,TS264,1,v2,0.7323
T1228v2TS388_3,TS388,3,v2,0.7323
T1228v2TS264_6,TS264,6,v2,0.7323
T1228v1TS425_4,TS425,4,v1,0.7323
T1228v1TS145_3,TS145,3,v1,0.7322
T1228v1TS298_3,TS298,3,v1,0.7321
T1228v2TS145_3,TS145,3,v2,0.7321
T1228v2TS147_1,TS147,1,v2,0.7319
T1228v2TS028_2,TS028,2,v2,0.7319
T1228v2TS481_5,TS481,5,v2,0.7319
T1228v2TS110_1,TS110,1,v2,0.7318
T1228v2TS284_5,TS284,5,v2,0.7316
T1228v1TS204_2,TS204,2,v1,0.7316
T1228v1TS284_5,TS284,5,v1,0.7316
T1228v2TS075_5,TS075,5,v2,0.7316
T1228v2TS122_5,TS122,5,v2,0.7316
T1228v2TS204_1,TS204,1,v2,0.7316
T1228v1TS122_5,TS122,5,v1,0.7316
T1228v2TS301_5,TS301,5,v2,0.7316
T1228v1TS075_5,TS075,5,v1,0.7316
T1228v1TS450_1,TS450,1,v1,0.7314
T1228v1TS167_1,TS167,1,v1,0.7314
T1228v1TS148_3,TS148,3,v1,0.7314
T1228v2TS110_2,TS110,2,v2,0.7314
T1228v2TS264_2,TS264,2,v2,0.7312
T1228v2TS475_4,TS475,4,v2,0.7310
T1228v1TS052_2,TS052,2,v1,0.7309
T1228v2TS052_2,TS052,2,v2,0.7309
T1228v1TS456_2,TS456,2,v1,0.7309
T1228v2TS456_2,TS456,2,v2,0.7309
T1228v2TS204_4,TS204,4,v2,0.7306
T1228v1TS388_3,TS388,3,v1,0.7306
T1228v2TS284_2,TS284,2,v2,0.7306
T1228v2TS314_1,TS314,1,v2,0.7306
T1228v2TS301_2,TS301,2,v2,0.7306
T1228v2TS122_2,TS122,2,v2,0.7306
T1228v2TS075_2,TS075,2,v2,0.7306
T1228v2TS481_1,TS481,1,v2,0.7305
T1228v2TS198_2,TS198,2,v2,0.7305
T1228v2TS481_2,TS481,2,v2,0.7305
T1228v2TS028_5,TS028,5,v2,0.7304
T1228v1TS198_2,TS198,2,v1,0.7303
T1228v2TS059_4,TS059,4,v2,0.7303
T1228v1TS147_3,TS147,3,v1,0.7303
T1228v1TS017_3,TS017,3,v1,0.7301
T1228v1TS167_2,TS167,2,v1,0.7301
T1228v1TS450_2,TS450,2,v1,0.7301
T1228v1TS145_2,TS145,2,v1,0.7301
T1228v1TS147_4,TS147,4,v1,0.7300
T1228v2TS312_3,TS312,3,v2,0.7299
T1228v1TS164_2,TS164,2,v1,0.7299
T1228v2TS028_1,TS028,1,v2,0.7299
T1228v1TS462_4,TS462,4,v1,0.7299
