Model,Group,Model Version,Model Number,Composite_Score_2
T1214TS267_4,TS267,v1,4,75.10170722177128
T1214TS051_1,TS051,v1,1,75.09022703035485
T1214TS331_1,TS331,v1,1,75.09022703035485
T1214TS122_4,TS122,v1,4,75.02802386716938
T1214TS369_2,TS369,v1,2,75.00448222894867
T1214TS331_3,TS331,v1,3,75.00400502596044
T1214TS051_3,TS051,v1,3,75.00400502596044
T1214TS345_3,TS345,v1,3,75.00400502596044
T1214TS019_5,TS019,v1,5,75.00392962311456
T1214TS075_3,TS075,v1,3,74.91899077266415
T1214TS122_2,TS122,v1,2,74.91899077266415
T1214TS284_3,TS284,v1,3,74.91899077266415
T1214TS019_4,TS019,v1,4,74.90860123648733
T1214TS147_4,TS147,v1,4,74.80661428138005
T1214TS462_4,TS462,v1,4,74.80661428138005
T1214TS408_2,TS408,v1,2,74.78028629443844
T1214TS301_3,TS301,v1,3,74.77302083221352
T1214TS301_5,TS301,v1,5,74.75342943694221
T1214TS202_3,TS202,v1,3,74.72558620355935
T1214TS267_5,TS267,v1,5,74.6917409019551
T1214TS235_3,TS235,v1,3,74.66484374825231
T1214TS423_3,TS423,v1,3,74.65525033499782
T1214TS163_3,TS163,v1,3,74.63353584477994
T1214TS164_3,TS164,v1,3,74.63353584477994
T1214TS314_3,TS314,v1,3,74.58385318504446
T1214TS312_3,TS312,v1,3,74.58385318504446
T1214TS208_1,TS208,v1,1,74.57223813764382
T1214TS014_3,TS014,v1,3,74.51095084611633
T1214TS319_2,TS319,v1,2,74.50856955565942
T1214TS051_2,TS051,v1,2,74.50856955565942
T1214TS331_2,TS331,v1,2,74.50856955565942
T1214TS311_5,TS311,v1,5,74.50825925382016
T1214TS311_2,TS311,v1,2,74.4401881979891
T1214TS051_4,TS051,v1,4,74.40648781273912
T1214TS331_4,TS331,v1,4,74.40648781273912
T1214TS051_5,TS051,v1,5,74.38076420915358
T1214TS331_5,TS331,v1,5,74.38076420915358
T1214TS122_5,TS122,v1,5,74.37684321707364
T1214TS423_4,TS423,v1,4,74.3651210177157
T1214TS375_2,TS375,v1,2,74.3598738169422
T1214TS198_3,TS198,v1,3,74.33252591101584
T1214TS345_6,TS345,v1,6,74.30520253188268
T1214TS345_2,TS345,v1,2,74.30520253188268
T1214TS284_1,TS284,v1,1,74.28116134922084
T1214TS075_1,TS075,v1,1,74.28116134922084
T1214TS304_5,TS304,v1,5,74.25773830270887
T1214TS241_5,TS241,v1,5,74.25773830270887
T1214TS475_5,TS475,v1,5,74.25353715492619
T1214TS145_5,TS145,v1,5,74.24053191898435
T1214TS017_3,TS017,v1,3,74.24053191898435
T1214TS284_4,TS284,v1,4,74.2144096946314
T1214TS075_4,TS075,v1,4,74.2144096946314
T1214TS319_1,TS319,v1,1,74.17991288623055
