Model,Group,Model Number,Model Version,GDT_TS
T1249v2TS122_2,TS122,2,v2,0.55
T1249v2TS284_1,TS284,1,v2,0.55
T1249v2TS475_1,TS475,1,v2,0.55
T1249v1TS163_2,TS163,2,v1,0.549
T1249v2TS163_2,TS163,2,v2,0.549
T1249v1TS393_3,TS393,3,v1,0.548
T1249v2TS198_2,TS198,2,v2,0.546
T1249v2TS198_4,TS198,4,v2,0.546
T1249v2TS241_5,TS241,5,v2,0.546
T1249v1TS369_2,TS369,2,v1,0.544
T1249v2TS369_2,TS369,2,v2,0.544
T1249v1TS052_1,TS052,1,v1,0.542
T1249v1TS059_3,TS059,3,v1,0.542
T1249v2TS052_2,TS052,2,v2,0.542
T1249v1TS091_4,TS091,4,v1,0.541
T1249v1TS059_4,TS059,4,v1,0.54
T1249v1TS311_1,TS311,1,v1,0.539
T1249v1TS369_1,TS369,1,v1,0.539
T1249v2TS311_1,TS311,1,v2,0.539
T1249v2TS369_1,TS369,1,v2,0.539
T1249v1TS290_5,TS290,5,v1,0.538
T1249v2TS290_1,TS290,1,v2,0.538
T1249v2TS110_1,TS110,1,v2,0.537
T1249v2TS147_1,TS147,1,v2,0.537
T1249v2TS397_1,TS397,1,v2,0.537
T1249v2TS462_1,TS462,1,v2,0.537
T1249v1TS051_2,TS051,2,v1,0.536
T1249v1TS345_2,TS345,2,v1,0.536
T1249v2TS051_2,TS051,2,v2,0.536
T1249v2TS091_2,TS091,2,v2,0.536
T1249v2TS345_2,TS345,2,v2,0.536
T1249v1TS272_1,TS272,1,v1,0.535
T1249v2TS241_2,TS241,2,v2,0.535
T1249v2TS393_4,TS393,4,v2,0.535
T1249v2TS267_2,TS267,2,v2,0.534
T1249v1TS369_3,TS369,3,v1,0.533
T1249v2TS028_3,TS028,3,v2,0.533
T1249v2TS075_5,TS075,5,v2,0.533
T1249v2TS122_5,TS122,5,v2,0.533
T1249v2TS284_5,TS284,5,v2,0.533
T1249v2TS369_3,TS369,3,v2,0.533
T1249v2TS475_5,TS475,5,v2,0.533
T1249v1TS079_4,TS079,4,v1,0.532
T1249v1TS198_2,TS198,2,v1,0.532
T1249v1TS293_4,TS293,4,v1,0.532
T1249v1TS375_4,TS375,4,v1,0.532
T1249v1TS008_4,TS008,4,v1,0.531
T1249v2TS028_1,TS028,1,v2,0.531
T1249v2TS148_5,TS148,5,v2,0.531
T1249v2TS164_2,TS164,2,v2,0.531
T1249v2TS264_5,TS264,5,v2,0.531
T1249v2TS312_5,TS312,5,v2,0.531
T1249v1TS267_1,TS267,1,v1,0.53
T1249v1TS267_4,TS267,4,v1,0.53
T1249v2TS148_3,TS148,3,v2,0.53
T1249v2TS264_3,TS264,3,v2,0.53
T1249v2TS312_3,TS312,3,v2,0.53
T1249v1TS079_3,TS079,3,v1,0.529
T1249v1TS293_3,TS293,3,v1,0.529
T1249v2TS079_5,TS079,5,v2,0.529
T1249v2TS164_1,TS164,1,v2,0.529
T1249v2TS293_5,TS293,5,v2,0.529
T1249v2TS059_2,TS059,2,v2,0.528
T1249v2TS079_2,TS079,2,v2,0.528
T1249v2TS110_4,TS110,4,v2,0.528
T1249v2TS147_3,TS147,3,v2,0.528
T1249v2TS293_2,TS293,2,v2,0.528
T1249v2TS462_3,TS462,3,v2,0.528
T1249v1TS059_2,TS059,2,v1,0.527
T1249v2TS031_4,TS031,4,v2,0.527
T1249v2TS091_1,TS091,1,v2,0.527
T1249v2TS091_4,TS091,4,v2,0.527
T1249v2TS375_1,TS375,1,v2,0.527
T1249v2TS008_1,TS008,1,v2,0.526
T1249v1TS375_1,TS375,1,v1,0.525
T1249v2TS145_2,TS145,2,v2,0.525
T1249v2TS294_1,TS294,1,v2,0.525
T1249v2TS380_4,TS380,4,v2,0.525
T1249v1TS145_2,TS145,2,v1,0.524
T1249v1TS380_4,TS380,4,v1,0.524
T1249v2TS031_5,TS031,5,v2,0.524
T1249v2TS167_2,TS167,2,v2,0.524
T1249v2TS294_2,TS294,2,v2,0.524
T1249v2TS450_2,TS450,2,v2,0.524
T1249v1TS014_6,TS014,6,v1,0.523
T1249v1TS031_5,TS031,5,v1,0.523
T1249v1TS079_2,TS079,2,v1,0.523
T1249v1TS241_3,TS241,3,v1,0.523
T1249v1TS293_2,TS293,2,v1,0.523
T1249v1TS311_5,TS311,5,v1,0.523
T1249v1TS319_5,TS319,5,v1,0.523
T1249v1TS331_5,TS331,5,v1,0.523
T1249v1TS425_5,TS425,5,v1,0.523
T1249v2TS028_4,TS028,4,v2,0.523
T1249v2TS031_1,TS031,1,v2,0.523
T1249v2TS311_5,TS311,5,v2,0.523
T1249v2TS319_2,TS319,2,v2,0.523
T1249v2TS331_2,TS331,2,v2,0.523
T1249v2TS425_2,TS425,2,v2,0.523
T1249v1TS015_5,TS015,5,v1,0.522
T1249v1TS022_5,TS022,5,v1,0.522
T1249v1TS167_1,TS167,1,v1,0.522
T1249v1TS450_1,TS450,1,v1,0.522
T1249v2TS015_5,TS015,5,v2,0.522
T1249v2TS022_5,TS022,5,v2,0.522
T1249v2TS031_3,TS031,3,v2,0.522
T1249v2TS393_1,TS393,1,v2,0.522
T1249v2TS423_4,TS423,4,v2,0.522
T1249v1TS014_1,TS014,1,v1,0.521
T1249v1TS079_1,TS079,1,v1,0.521
T1249v1TS241_1,TS241,1,v1,0.521
T1249v1TS293_1,TS293,1,v1,0.521
T1249v1TS294_4,TS294,4,v1,0.521
T1249v1TS294_5,TS294,5,v1,0.521
T1249v1TS423_4,TS423,4,v1,0.521
T1249v2TS164_3,TS164,3,v2,0.521
T1249v2TS294_5,TS294,5,v2,0.521
T1249v2TS423_2,TS423,2,v2,0.521
T1249v1TS311_3,TS311,3,v1,0.52
T1249v2TS311_3,TS311,3,v2,0.52
T1249v1TS375_3,TS375,3,v1,0.519
