Model,Group,Model Number,Model Version,GlobalLDDT
T1239v1TS272_5,TS272,5,v1,0.7840
T1239v2TS272_2,TS272,2,v2,0.7840
T1239v2TS272_3,TS272,3,v2,0.7840
T1239v1TS272_4,TS272,4,v1,0.7840
T1239v2TS272_1,TS272,1,v2,0.7840
T1239v1TS272_1,TS272,1,v1,0.7840
T1239v2TS489_4,TS489,4,v2,0.7837
T1239v1TS481_3,TS481,3,v1,0.7832
T1239v1TS419_3,TS419,3,v1,0.7809
T1239v1TS221_3,TS221,3,v1,0.7809
T1239v1TS262_2,TS262,2,v1,0.7799
T1239v1TS262_5,TS262,5,v1,0.7799
T1239v1TS262_3,TS262,3,v1,0.7798
T1239v1TS262_1,TS262,1,v1,0.7798
T1239v2TS262_5,TS262,5,v2,0.7790
T1239v2TS262_3,TS262,3,v2,0.7790
T1239v2TS262_1,TS262,1,v2,0.7790
T1239v1TS481_2,TS481,2,v1,0.7785
T1239v1TS286_4,TS286,4,v1,0.7728
T1239v2TS286_4,TS286,4,v2,0.7707
T1239v1TS019_4,TS019,4,v1,0.7601
T1239v2TS019_5,TS019,5,v2,0.7601
T1239v1TS481_5,TS481,5,v1,0.7599
T1239v2TS481_4,TS481,4,v2,0.7579
T1239v2TS147_4,TS147,4,v2,0.7568
T1239v2TS019_3,TS019,3,v2,0.7568
T1239v2TS481_5,TS481,5,v2,0.7551
T1239v2TS462_4,TS462,4,v2,0.7531
T1239v2TS241_3,TS241,3,v2,0.7524
T1239v2TS450_5,TS450,5,v2,0.7505
T1239v2TS167_5,TS167,5,v2,0.7505
T1239v2TS033_4,TS033,4,v2,0.7491
T1239v2TS235_5,TS235,5,v2,0.7483
T1239v2TS319_5,TS319,5,v2,0.7473
T1239v1TS319_1,TS319,1,v1,0.7473
T1239v2TS204_1,TS204,1,v2,0.7468
T1239v1TS204_2,TS204,2,v1,0.7468
T1239v1TS319_4,TS319,4,v1,0.7456
T1239v1TS331_4,TS331,4,v1,0.7456
T1239v2TS331_4,TS331,4,v2,0.7456
T1239v2TS319_4,TS319,4,v2,0.7456
T1239v1TS462_2,TS462,2,v1,0.7442
T1239v2TS051_3,TS051,3,v2,0.7441
T1239v2TS345_1,TS345,1,v2,0.7441
T1239v2TS331_5,TS331,5,v2,0.7441
T1239v2TS425_5,TS425,5,v2,0.7441
T1239v1TS425_1,TS425,1,v1,0.7441
T1239v1TS345_3,TS345,3,v1,0.7441
T1239v2TS304_2,TS304,2,v2,0.7441
T1239v1TS051_1,TS051,1,v1,0.7441
T1239v1TS331_1,TS331,1,v1,0.7441
T1239v1TS456_5,TS456,5,v1,0.7440
T1239v2TS241_1,TS241,1,v2,0.7434
T1239v2TS241_5,TS241,5,v2,0.7433
T1239v2TS304_3,TS304,3,v2,0.7431
T1239v2TS304_1,TS304,1,v2,0.7424
T1239v2TS231_1,TS231,1,v2,0.7419
T1239v2TS481_1,TS481,1,v2,0.7416
T1239v1TS147_4,TS147,4,v1,0.7415
T1239v1TS110_4,TS110,4,v1,0.7406
T1239v2TS110_1,TS110,1,v2,0.7406
T1239v2TS145_4,TS145,4,v2,0.7404
T1239v1TS231_2,TS231,2,v1,0.7404
T1239v2TS298_1,TS298,1,v2,0.7404
T1239v1TS167_1,TS167,1,v1,0.7404
T1239v2TS023_4,TS023,4,v2,0.7404
T1239v1TS450_1,TS450,1,v1,0.7404
T1239v2TS419_5,TS419,5,v2,0.7402
T1239v2TS231_5,TS231,5,v2,0.7402
T1239v2TS221_5,TS221,5,v2,0.7402
T1239v2TS304_5,TS304,5,v2,0.7400
T1239v1TS147_2,TS147,2,v1,0.7399
T1239v2TS019_1,TS019,1,v2,0.7399
T1239v1TS019_2,TS019,2,v1,0.7399
T1239v2TS241_2,TS241,2,v2,0.7396
T1239v2TS112_1,TS112,1,v2,0.7391
T1239v2TS017_5,TS017,5,v2,0.7391
T1239v2TS204_3,TS204,3,v2,0.7390
T1239v1TS304_1,TS304,1,v1,0.7388
T1239v1TS241_5,TS241,5,v1,0.7388
T1239v1TS314_4,TS314,4,v1,0.7387
T1239v2TS091_4,TS091,4,v2,0.7382
T1239v1TS091_4,TS091,4,v1,0.7382
T1239v2TS231_4,TS231,4,v2,0.7381
T1239v2TS241_4,TS241,4,v2,0.7379
T1239v1TS304_5,TS304,5,v1,0.7377
T1239v1TS231_1,TS231,1,v1,0.7368
T1239v2TS304_4,TS304,4,v2,0.7360
T1239v2TS462_1,TS462,1,v2,0.7348
T1239v2TS198_4,TS198,4,v2,0.7344
T1239v2TS231_3,TS231,3,v2,0.7343
T1239v2TS147_3,TS147,3,v2,0.7343
T1239v2TS450_4,TS450,4,v2,0.7341
T1239v2TS167_4,TS167,4,v2,0.7341
T1239v2TS033_2,TS033,2,v2,0.7341
T1239v1TS204_4,TS204,4,v1,0.7339
T1239v1TS462_1,TS462,1,v1,0.7335
T1239v1TS304_3,TS304,3,v1,0.7326
T1239v1TS033_1,TS033,1,v1,0.7322
T1239v2TS450_1,TS450,1,v2,0.7322
T1239v2TS167_1,TS167,1,v2,0.7322
T1239v1TS033_4,TS033,4,v1,0.7321
T1239v2TS033_3,TS033,3,v2,0.7319
T1239v1TS241_3,TS241,3,v1,0.7316
T1239v2TS212_1,TS212,1,v2,0.7315
T1239v2TS358_1,TS358,1,v2,0.7312
T1239v2TS167_3,TS167,3,v2,0.7303
T1239v2TS450_3,TS450,3,v2,0.7303
T1239v2TS262_4,TS262,4,v2,0.7298
T1239v2TS262_2,TS262,2,v2,0.7298
T1239v2TS204_5,TS204,5,v2,0.7295
T1239v2TS167_2,TS167,2,v2,0.7292
T1239v2TS450_2,TS450,2,v2,0.7292
T1239v1TS019_3,TS019,3,v1,0.7291
T1239v2TS019_4,TS019,4,v2,0.7291
T1239v1TS462_5,TS462,5,v1,0.7276
T1239v2TS212_2,TS212,2,v2,0.7270
T1239v1TS425_4,TS425,4,v1,0.7268
T1239v2TS425_4,TS425,4,v2,0.7268
T1239v2TS033_5,TS033,5,v2,0.7266
T1239v1TS262_4,TS262,4,v1,0.7254
T1239v1TS164_5,TS164,5,v1,0.7253
T1239v2TS164_5,TS164,5,v2,0.7253
T1239v1TS304_2,TS304,2,v1,0.7253
T1239v2TS163_5,TS163,5,v2,0.7250
T1239v2TS286_5,TS286,5,v2,0.7249
T1239v1TS369_4,TS369,4,v1,0.7247
T1239v2TS286_3,TS286,3,v2,0.7247
T1239v2TS369_4,TS369,4,v2,0.7247
T1239v1TS264_5,TS264,5,v1,0.7243
T1239v1TS462_3,TS462,3,v1,0.7239
T1239v1TS033_2,TS033,2,v1,0.7237
T1239v1TS235_4,TS235,4,v1,0.7235
T1239v2TS204_2,TS204,2,v2,0.7231
T1239v1TS204_1,TS204,1,v1,0.7229
T1239v1TS264_3,TS264,3,v1,0.7228
T1239v1TS148_3,TS148,3,v1,0.7228
T1239v1TS312_3,TS312,3,v1,0.7228
T1239v2TS147_2,TS147,2,v2,0.7227
T1239v1TS241_1,TS241,1,v1,0.7222
T1239v1TS110_5,TS110,5,v1,0.7222
T1239v2TS110_2,TS110,2,v2,0.7222
T1239v2TS212_4,TS212,4,v2,0.7217
T1239v2TS369_2,TS369,2,v2,0.7214
T1239v1TS369_2,TS369,2,v1,0.7214
T1239v2TS033_1,TS033,1,v2,0.7210
T1239v1TS287_5,TS287,5,v1,0.7200
T1239v2TS358_4,TS358,4,v2,0.7197
T1239v1TS312_2,TS312,2,v1,0.7196
T1239v1TS148_2,TS148,2,v1,0.7196
T1239v2TS264_6,TS264,6,v2,0.7196
T1239v2TS147_1,TS147,1,v2,0.7194
T1239v2TS204_4,TS204,4,v2,0.7194
T1239v1TS314_3,TS314,3,v1,0.7189
T1239v2TS110_4,TS110,4,v2,0.7186
T1239v2TS028_5,TS028,5,v2,0.7185
T1239v2TS212_3,TS212,3,v2,0.7185
T1239v1TS314_1,TS314,1,v1,0.7184
T1239v1TS033_3,TS033,3,v1,0.7182
T1239v1TS369_1,TS369,1,v1,0.7181
T1239v2TS369_1,TS369,1,v2,0.7181
T1239v2TS264_4,TS264,4,v2,0.7180
T1239v2TS110_3,TS110,3,v2,0.7176
T1239v1TS167_4,TS167,4,v1,0.7174
T1239v1TS301_4,TS301,4,v1,0.7174
T1239v1TS450_4,TS450,4,v1,0.7174
T1239v2TS358_3,TS358,3,v2,0.7174
T1239v2TS369_3,TS369,3,v2,0.7173
T1239v1TS369_3,TS369,3,v1,0.7173
T1239v1TS204_3,TS204,3,v1,0.7172
T1239v2TS419_4,TS419,4,v2,0.7171
T1239v2TS221_4,TS221,4,v2,0.7171
T1239v2TS358_5,TS358,5,v2,0.7169
T1239v1TS450_3,TS450,3,v1,0.7169
T1239v2TS231_2,TS231,2,v2,0.7169
T1239v1TS167_3,TS167,3,v1,0.7169
T1239v1TS221_4,TS221,4,v1,0.7167
T1239v1TS419_4,TS419,4,v1,0.7167
T1239v1TS450_2,TS450,2,v1,0.7165
T1239v2TS481_3,TS481,3,v2,0.7165
T1239v1TS167_2,TS167,2,v1,0.7165
T1239v2TS212_5,TS212,5,v2,0.7165
T1239v1TS198_5,TS198,5,v1,0.7164
T1239v1TS164_1,TS164,1,v1,0.7163
T1239v2TS462_5,TS462,5,v2,0.7163
T1239v2TS221_3,TS221,3,v2,0.7162
T1239v2TS419_3,TS419,3,v2,0.7162
T1239v2TS358_2,TS358,2,v2,0.7162
T1239v1TS164_2,TS164,2,v1,0.7162
T1239v1TS314_2,TS314,2,v1,0.7160
T1239v1TS369_5,TS369,5,v1,0.7159
T1239v2TS369_5,TS369,5,v2,0.7159
T1239v1TS033_5,TS033,5,v1,0.7156
T1239v2TS198_1,TS198,1,v2,0.7156
T1239v2TS481_2,TS481,2,v2,0.7152
T1239v1TS147_5,TS147,5,v1,0.7152
T1239v1TS019_5,TS019,5,v1,0.7152
T1239v1TS145_2,TS145,2,v1,0.7146
T1239v1TS017_1,TS017,1,v1,0.7146
T1239v1TS145_5,TS145,5,v1,0.7146
T1239v1TS023_5,TS023,5,v1,0.7146
T1239v1TS023_2,TS023,2,v1,0.7146
T1239v2TS264_3,TS264,3,v2,0.7143
T1239v2TS264_5,TS264,5,v2,0.7141
T1239v2TS091_5,TS091,5,v2,0.7140
T1239v1TS091_5,TS091,5,v1,0.7140
T1239v1TS301_5,TS301,5,v1,0.7139
T1239v2TS475_4,TS475,4,v2,0.7136
T1239v1TS167_5,TS167,5,v1,0.7135
T1239v1TS450_5,TS450,5,v1,0.7135
T1239v1TS017_5,TS017,5,v1,0.7135
T1239v1TS358_5,TS358,5,v1,0.7132
T1239v1TS358_1,TS358,1,v1,0.7132
T1239v1TS301_3,TS301,3,v1,0.7131
T1239v2TS148_5,TS148,5,v2,0.7129
T1239v2TS287_4,TS287,4,v2,0.7128
T1239v1TS358_2,TS358,2,v1,0.7126
T1239v1TS375_1,TS375,1,v1,0.7126
T1239v2TS145_3,TS145,3,v2,0.7126
T1239v2TS023_3,TS023,3,v2,0.7126
T1239v1TS264_6,TS264,6,v1,0.7125
T1239v1TS312_5,TS312,5,v1,0.7125
T1239v1TS148_5,TS148,5,v1,0.7125
T1239v2TS147_5,TS147,5,v2,0.7124
T1239v2TS017_1,TS017,1,v2,0.7124
T1239v2TS145_2,TS145,2,v2,0.7124
T1239v2TS023_2,TS023,2,v2,0.7124
T1239v2TS163_4,TS163,4,v2,0.7122
T1239v1TS145_4,TS145,4,v1,0.7122
T1239v1TS023_4,TS023,4,v1,0.7122
T1239v2TS164_3,TS164,3,v2,0.7122
T1239v1TS304_4,TS304,4,v1,0.7122
T1239v2TS163_3,TS163,3,v2,0.7121
T1239v2TS286_2,TS286,2,v2,0.7121
T1239v2TS164_4,TS164,4,v2,0.7121
T1239v2TS287_3,TS287,3,v2,0.7120
T1239v1TS017_4,TS017,4,v1,0.7119
T1239v1TS164_4,TS164,4,v1,0.7119
T1239v2TS163_1,TS163,1,v2,0.7119
T1239v2TS198_3,TS198,3,v2,0.7118
T1239v1TS358_4,TS358,4,v1,0.7116
T1239v1TS264_2,TS264,2,v1,0.7114
T1239v2TS163_2,TS163,2,v2,0.7114
T1239v1TS264_1,TS264,1,v1,0.7114
T1239v1TS286_5,TS286,5,v1,0.7110
T1239v2TS397_1,TS397,1,v2,0.7108
T1239v2TS375_3,TS375,3,v2,0.7105
T1239v2TS287_5,TS287,5,v2,0.7104
T1239v2TS312_5,TS312,5,v2,0.7103
T1239v2TS148_2,TS148,2,v2,0.7103
T1239v2TS112_3,TS112,3,v2,0.7102
T1239v2TS164_2,TS164,2,v2,0.7101
T1239v2TS475_5,TS475,5,v2,0.7101
T1239v2TS287_1,TS287,1,v2,0.7101
