Model,Group,Model Number,GlobalLDDT
T1214TS304_5,TS304,5,0.8425
T1214TS241_5,TS241,5,0.8425
T1214TS241_2,TS241,2,0.8425
T1214TS304_2,TS304,2,0.8425
T1214TS267_4,TS267,4,0.8424
T1214TS051_2,TS051,2,0.8422
T1214TS331_2,TS331,2,0.8422
T1214TS319_2,TS319,2,0.8422
T1214TS311_1,TS311,1,0.8420
T1214TS147_2,TS147,2,0.8419
T1214TS462_2,TS462,2,0.8419
T1214TS464_3,TS464,3,0.8418
T1214TS464_2,TS464,2,0.8418
T1214TS464_5,TS464,5,0.8418
T1214TS464_4,TS464,4,0.8418
T1214TS425_1,TS425,1,0.8418
T1214TS464_1,TS464,1,0.8418
T1214TS079_5,TS079,5,0.8417
T1214TS423_2,TS423,2,0.8416
T1214TS304_1,TS304,1,0.8414
T1214TS241_1,TS241,1,0.8414
T1214TS304_3,TS304,3,0.8413
T1214TS241_3,TS241,3,0.8413
T1214TS423_3,TS423,3,0.8411
T1214TS051_6,TS051,6,0.8411
T1214TS122_4,TS122,4,0.8410
T1214TS110_4,TS110,4,0.8409
T1214TS075_4,TS075,4,0.8408
T1214TS331_3,TS331,3,0.8408
T1214TS051_3,TS051,3,0.8408
T1214TS284_4,TS284,4,0.8408
T1214TS345_3,TS345,3,0.8408
T1214TS208_1,TS208,1,0.8407
T1214TS393_5,TS393,5,0.8407
T1214TS264_3,TS264,3,0.8407
T1214TS393_2,TS393,2,0.8402
T1214TS314_4,TS314,4,0.8402
T1214TS264_6,TS264,6,0.8402
T1214TS312_4,TS312,4,0.8402
T1214TS264_2,TS264,2,0.8401
T1214TS311_5,TS311,5,0.8394
T1214TS079_2,TS079,2,0.8393
T1214TS075_2,TS075,2,0.8393
T1214TS293_1,TS293,1,0.8393
T1214TS284_2,TS284,2,0.8393
T1214TS208_5,TS208,5,0.8391
T1214TS198_5,TS198,5,0.8389
T1214TS014_4,TS014,4,0.8388
T1214TS014_5,TS014,5,0.8386
T1214TS287_3,TS287,3,0.8386
T1214TS345_5,TS345,5,0.8382
T1214TS301_2,TS301,2,0.8381
T1214TS235_5,TS235,5,0.8381
T1214TS079_4,TS079,4,0.8380
T1214TS293_5,TS293,5,0.8380
T1214TS052_3,TS052,3,0.8380
T1214TS388_3,TS388,3,0.8380
T1214TS345_1,TS345,1,0.8378
T1214TS465_1,TS465,1,0.8378
T1214TS301_3,TS301,3,0.8377
T1214TS235_2,TS235,2,0.8375
T1214TS196_3,TS196,3,0.8375
T1214TS022_1,TS022,1,0.8375
T1214TS267_3,TS267,3,0.8375
T1214TS400_1,TS400,1,0.8374
T1214TS196_2,TS196,2,0.8374
T1214TS014_1,TS014,1,0.8374
T1214TS293_3,TS293,3,0.8373
T1214TS079_3,TS079,3,0.8373
T1214TS198_3,TS198,3,0.8371
T1214TS287_4,TS287,4,0.8370
T1214TS393_4,TS393,4,0.8369
T1214TS314_5,TS314,5,0.8369
T1214TS312_5,TS312,5,0.8369
T1214TS208_2,TS208,2,0.8369
T1214TS163_3,TS163,3,0.8363
T1214TS164_3,TS164,3,0.8363
T1214TS301_1,TS301,1,0.8363
T1214TS408_3,TS408,3,0.8361
T1214TS196_5,TS196,5,0.8360
T1214TS163_2,TS163,2,0.8360
T1214TS164_2,TS164,2,0.8360
T1214TS462_5,TS462,5,0.8359
T1214TS147_5,TS147,5,0.8359
T1214TS145_2,TS145,2,0.8356
T1214TS301_4,TS301,4,0.8356
T1214TS163_4,TS163,4,0.8356
T1214TS017_4,TS017,4,0.8356
T1214TS164_4,TS164,4,0.8356
T1214TS345_6,TS345,6,0.8355
T1214TS345_2,TS345,2,0.8355
T1214TS022_2,TS022,2,0.8354
T1214TS369_4,TS369,4,0.8354
T1214TS294_2,TS294,2,0.8354
T1214TS014_6,TS014,6,0.8351
T1214TS164_1,TS164,1,0.8344
T1214TS196_4,TS196,4,0.8344
T1214TS014_3,TS014,3,0.8344
T1214TS163_1,TS163,1,0.8344
T1214TS225_1,TS225,1,0.8344
T1214TS456_5,TS456,5,0.8342
T1214TS075_5,TS075,5,0.8340
T1214TS284_5,TS284,5,0.8340
