Model,Group,Model Number,Model Version,GDT_TS
T1228v2TS419_2,TS419,2,v2,0.47659
T1228v1TS264_5,TS264,5,v1,0.47659
T1228v1TS304_2,TS304,2,v1,0.47612000000000004
T1228v1TS264_4,TS264,4,v1,0.47612000000000004
T1228v2TS075_5,TS075,5,v2,0.47566
T1228v1TS375_3,TS375,3,v1,0.47566
T1228v2TS284_5,TS284,5,v2,0.47566
T1228v2TS122_5,TS122,5,v2,0.47566
T1228v2TS301_5,TS301,5,v2,0.47566
T1228v1TS462_3,TS462,3,v1,0.47566
T1228v2TS274_2,TS274,2,v2,0.47519
T1228v1TS494_2,TS494,2,v1,0.47519
T1228v2TS494_2,TS494,2,v2,0.47519
T1228v1TS274_2,TS274,2,v1,0.47519
T1228v2TS465_1,TS465,1,v2,0.47472000000000003
T1228v2TS033_5,TS033,5,v2,0.47424999999999995
T1228v1TS286_5,TS286,5,v1,0.47424999999999995
T1228v1TS033_1,TS033,1,v1,0.47424999999999995
T1228v2TS148_3,TS148,3,v2,0.47378
T1228v2TS221_1,TS221,1,v2,0.47378
T1228v1TS319_4,TS319,4,v1,0.47331
T1228v2TS331_4,TS331,4,v2,0.47331
T1228v2TS425_1,TS425,1,v2,0.47331
T1228v1TS345_2,TS345,2,v1,0.47331
T1228v1TS304_5,TS304,5,v1,0.47331
T1228v2TS051_2,TS051,2,v2,0.47331
T1228v1TS304_4,TS304,4,v1,0.47331
T1228v2TS286_4,TS286,4,v2,0.47331
T1228v1TS375_5,TS375,5,v1,0.47331
T1228v1TS231_4,TS231,4,v1,0.47331
T1228v2TS345_2,TS345,2,v2,0.47331
T1228v1TS051_2,TS051,2,v1,0.47331
T1228v2TS319_4,TS319,4,v2,0.47331
T1228v1TS425_3,TS425,3,v1,0.47331
T1228v1TS331_4,TS331,4,v1,0.47331
T1228v2TS369_1,TS369,1,v2,0.47285
T1228v1TS369_1,TS369,1,v1,0.47285
T1228v1TS241_3,TS241,3,v1,0.47238
T1228v2TS294_2,TS294,2,v2,0.47238
T1228v1TS312_4,TS312,4,v1,0.47238
T1228v2TS294_1,TS294,1,v2,0.47143999999999997
T1228v1TS465_5,TS465,5,v1,0.47097
T1228v2TS052_4,TS052,4,v2,0.47051000000000004
T1228v1TS312_2,TS312,2,v1,0.47051000000000004
T1228v1TS052_4,TS052,4,v1,0.47051000000000004
T1228v2TS369_3,TS369,3,v2,0.47003999999999996
T1228v1TS369_3,TS369,3,v1,0.47003999999999996
T1228v2TS287_1,TS287,1,v2,0.47003999999999996
T1228v2TS051_4,TS051,4,v2,0.46957
T1228v2TS331_1,TS331,1,v2,0.46957
T1228v1TS319_2,TS319,2,v1,0.46957
T1228v1TS345_3,TS345,3,v1,0.46957
T1228v1TS465_4,TS465,4,v1,0.46957
T1228v1TS331_2,TS331,2,v1,0.46957
T1228v1TS051_3,TS051,3,v1,0.46957
T1228v2TS345_4,TS345,4,v2,0.46957
T1228v2TS148_1,TS148,1,v2,0.46909999999999996
T1228v1TS375_2,TS375,2,v1,0.46909999999999996
T1228v1TS481_1,TS481,1,v1,0.46909999999999996
T1228v1TS312_3,TS312,3,v1,0.46909999999999996
T1228v1TS481_2,TS481,2,v1,0.46863
T1228v2TS304_5,TS304,5,v2,0.46863
T1228v1TS147_1,TS147,1,v1,0.46816
T1228v2TS033_4,TS033,4,v2,0.4677
T1228v1TS301_3,TS301,3,v1,0.4677
T1228v1TS419_3,TS419,3,v1,0.4677
T1228v1TS231_2,TS231,2,v1,0.4677
T1228v2TS311_5,TS311,5,v2,0.46723
T1228v1TS311_5,TS311,5,v1,0.46723
T1228v2TS164_2,TS164,2,v2,0.46723
T1228v2TS369_2,TS369,2,v2,0.46676
T1228v2TS311_1,TS311,1,v2,0.46676
T1228v1TS262_2,TS262,2,v1,0.46676
