Model,Group,Model Version,Model Number,Composite_Score_3
R1203TS006_3,TS006,v2,3,39.487048440201065
R1203TS238_5,TS238,v2,5,38.04812383161287
R1203TS235_5,TS235,v2,5,34.475351931741145
R1203TS304_2,TS304,v2,2,34.045041720613185
R1203TS241_2,TS241,v2,2,34.045041720613185
R1203TS304_3,TS304,v2,3,33.46759697324546
R1203TS241_3,TS241,v2,3,33.46759697324546
R1203TS400_1,TS400,v2,1,33.42062746747034
R1203TS435_5,TS435,v2,5,33.34139092545956
R1203TS276_1,TS276,v2,1,32.900972969383325
R1203TS006_1,TS006,v2,1,32.81003268622586
R1203TS231_5,TS231,v2,5,32.30336126700772
R1203TS167_2,TS167,v2,2,31.965309104074993
R1203TS369_5,TS369,v2,5,31.896270603532578
R1203TS294_1,TS294,v2,1,31.74976998206938
R1203TS304_1,TS304,v2,1,31.74976998206938
R1203TS241_1,TS241,v2,1,31.74976998206938
R1203TS241_4,TS241,v2,4,31.738992728404458
R1203TS304_4,TS304,v2,4,31.738992728404458
R1203TS369_3,TS369,v2,3,31.502197978887274
R1203TS272_5,TS272,v2,5,31.280875996784783
R1203TS272_1,TS272,v2,1,31.21683908788135
R1203TS272_4,TS272,v2,4,31.10168019841013
R1203TS369_2,TS369,v2,2,31.08427008328573
R1203TS235_2,TS235,v2,2,30.222142779242585
R1203TS159_2,TS159,v2,2,30.139973093188633
R1203TS435_6,TS435,v2,6,29.223871280761443
R1203TS110_5,TS110,v2,5,27.117312418895757
R1203TS417_4,TS417,v2,4,24.6679248330428
R1203TS165_5,TS165,v2,5,24.188144944693438
R1203TS317_4,TS317,v2,4,23.315430623732734
R1203TS006_5,TS006,v2,5,23.246899214222005
R1203TS267_3,TS267,v2,3,23.228004785714557
R1203TS006_4,TS006,v2,4,22.794625462069394
R1203TS267_4,TS267,v2,4,21.090474460706965
R1203TS435_1,TS435,v2,1,20.5048074569379
R1203TS052_4,TS052,v2,4,19.951886931293956
R1203TS462_1,TS462,v2,1,19.69306118929611
R1203TS235_4,TS235,v2,4,19.0449400091184
R1203TS417_5,TS417,v2,5,18.350315204862344
R1203TS294_3,TS294,v2,3,18.31027950057372
R1203TS417_1,TS417,v2,1,18.29061164941006
R1203TS159_1,TS159,v2,1,17.488466461744004
R1203TS159_4,TS159,v2,4,17.13664027881818
R1203TS481_5,TS481,v2,5,16.85374925926619
R1203TS169_2,TS169,v2,2,16.19879687092884
R1203TS052_3,TS052,v2,3,16.048769595400916
R1203TS156_4,TS156,v2,4,15.793005386973462
R1203TS261_3,TS261,v2,3,15.732454596280718
R1203TS417_2,TS417,v2,2,15.61034492400438
R1203TS169_3,TS169,v2,3,15.39206815883713
R1203TS110_2,TS110,v2,2,14.70429216527101
R1203TS462_2,TS462,v2,2,14.70429216527101
R1203TS338_3,TS338,v2,3,14.383867402573447
R1203TS169_5,TS169,v2,5,14.338246337957449
R1203TS286_3,TS286,v2,3,14.28494932989924
R1203TS358_1,TS358,v2,1,14.265927663407425
R1203TS261_4,TS261,v2,4,13.95801637499577
