Model,Composite_Score_1
T1214TS014_2,79.35683853096869
T1214TS015_1,91.57904001027539
T1214TS017_1,95.59269088338763
T1214TS019_1,78.76226679382725
T1214TS020_3,89.5214045637243
T1214TS022_2,91.2471030028815
T1214TS039_3,83.84958481772186
T1214TS040_3,97.34865571832512
T1214TS051_6,80.15936907663047
T1214TS052_5,91.96044037837041
T1214TS055_2,75.07500409895081
T1214TS059_6,94.24515695446021
T1214TS075_1,78.00039374955557
T1214TS079_2,77.51331195090766
T1214TS091_1,96.9313115786741
T1214TS102_3,76.39104659559831
T1214TS110_5,95.22206048555721
T1214TS120_6,72.44707990439997
T1214TS122_1,79.71882736812871
T1214TS132_1,33.13347479990685
T1214TS139_6,94.24515695446021
T1214TS145_1,95.59269088338763
T1214TS147_3,95.15637088615249
T1214TS148_2,91.95887512682475
T1214TS163_5,80.19726157308061
T1214TS164_5,80.19726157308061
T1214TS167_2,78.00979309546533
T1214TS196_1,79.63147872548745
T1214TS198_1,95.54729960256479
T1214TS202_5,65.40390569022671
T1214TS204_3,94.96055135635262
T1214TS207_1,76.80572375209212
T1214TS208_2,80.97767158342928
T1214TS221_5,91.26263970865087
T1214TS225_1,77.23587032890866
T1214TS227_4,77.05066393017606
T1214TS235_4,81.87248641074915
T1214TS241_1,80.15424192292994
T1214TS262_1,91.77269425656739
T1214TS264_6,80.44923912764776
T1214TS267_3,80.81773724556322
T1214TS269_4,91.28584930922364
T1214TS272_1,79.66208619003719
T1214TS274_1,98.71771520499075
T1214TS275_1,65.61423153828785
T1214TS284_1,78.00039374955557
T1214TS286_4,92.9512823096808
T1214TS287_5,82.31533595035324
T1214TS293_1,77.51331195090766
T1214TS294_2,76.75773604900672
T1214TS298_5,71.90061652681047
T1214TS301_4,79.7354605090346
T1214TS304_1,80.15424192292994
T1214TS311_5,79.31122622513422
T1214TS312_5,80.97128561483439
T1214TS314_5,80.97128561483439
T1214TS319_4,93.63942343541814
T1214TS331_5,78.04845383227409
T1214TS345_1,80.06936808097723
T1214TS361_1,69.48246765147266
T1214TS369_5,82.60449310754584
T1214TS375_4,95.0932788254926
T1214TS386_5,71.90061652681047
T1214TS388_1,94.34719121526189
T1214TS393_4,80.97128561483439
T1214TS400_1,79.03388618158505
T1214TS408_2,77.5956115398585
T1214TS419_5,91.26263970865087
T1214TS423_3,78.53796040768786
T1214TS425_4,93.29294253372373
T1214TS450_5,78.00979309546533
T1214TS456_4,92.05397644922735
T1214TS461_3,81.35012037308691
T1214TS462_3,95.15637088615249
T1214TS464_3,79.98640876128937
T1214TS465_1,81.05406307665032
T1214TS475_5,79.62323985706087
T1214TS494_1,98.71771520499075
