Model,Group,Model Number,Model Version,GDT_TS
T1239v2TS028_2,TS028,2,v2,0.71356
T1239v2TS235_4,TS235,4,v2,0.7131399999999999
T1239v2TS345_4,TS345,4,v2,0.71229
T1239v1TS051_4,TS051,4,v1,0.71229
T1239v1TS345_4,TS345,4,v1,0.71229
T1239v2TS051_4,TS051,4,v2,0.71229
T1239v2TS221_1,TS221,1,v2,0.71102
T1239v2TS419_1,TS419,1,v2,0.71102
T1239v1TS028_4,TS028,4,v1,0.7080500000000001
T1239v2TS462_2,TS462,2,v2,0.7080500000000001
T1239v2TS286_1,TS286,1,v2,0.6987300000000001
T1239v1TS028_3,TS028,3,v1,0.68136
T1239v2TS345_3,TS345,3,v2,0.6733100000000001
T1239v1TS051_3,TS051,3,v1,0.6733100000000001
T1239v2TS051_1,TS051,1,v2,0.6733100000000001
T1239v1TS345_1,TS345,1,v1,0.6733100000000001
T1239v1TS208_4,TS208,4,v1,0.6699200000000001
T1239v1TS235_3,TS235,3,v1,0.6635599999999999
T1239v2TS028_1,TS028,1,v2,0.6618600000000001
T1239v1TS208_1,TS208,1,v1,0.65381
T1239v1TS462_4,TS462,4,v1,0.65212
T1239v2TS028_4,TS028,4,v2,0.63475
T1239v1TS425_2,TS425,2,v1,0.6322
T1239v2TS425_2,TS425,2,v2,0.6322
T1239v1TS110_1,TS110,1,v1,0.63008
T1239v1TS235_1,TS235,1,v1,0.62924
T1239v1TS208_2,TS208,2,v1,0.62373
T1239v1TS298_1,TS298,1,v1,0.61737
T1239v1TS419_2,TS419,2,v1,0.61271
T1239v1TS221_2,TS221,2,v1,0.61271
T1239v1TS204_5,TS204,5,v1,0.61229
T1239v1TS022_5,TS022,5,v1,0.6072
T1239v2TS456_3,TS456,3,v2,0.60212
T1239v1TS456_3,TS456,3,v1,0.60212
T1239v1TS294_1,TS294,1,v1,0.59576
T1239v2TS314_5,TS314,5,v2,0.58771
T1239v2TS028_3,TS028,3,v2,0.58305
T1239v1TS235_2,TS235,2,v1,0.5796600000000001
T1239v1TS235_5,TS235,5,v1,0.57839
T1239v1TS262_2,TS262,2,v1,0.5762700000000001
T1239v1TS262_5,TS262,5,v1,0.5762700000000001
T1239v2TS022_4,TS022,4,v2,0.57203
T1239v1TS022_4,TS022,4,v1,0.57203
T1239v1TS262_1,TS262,1,v1,0.56992
T1239v1TS262_3,TS262,3,v1,0.56992
T1239v2TS235_1,TS235,1,v2,0.56992
T1239v2TS481_5,TS481,5,v2,0.56568
T1239v1TS147_3,TS147,3,v1,0.56271
T1239v1TS481_4,TS481,4,v1,0.56229
T1239v1TS028_5,TS028,5,v1,0.56186
T1239v2TS110_5,TS110,5,v2,0.56186
T1239v1TS481_2,TS481,2,v1,0.5605899999999999
T1239v1TS052_5,TS052,5,v1,0.55932
T1239v2TS235_2,TS235,2,v2,0.55932
T1239v2TS221_2,TS221,2,v2,0.5589
T1239v2TS419_2,TS419,2,v2,0.5589
T1239v2TS235_3,TS235,3,v2,0.55847
T1239v1TS052_3,TS052,3,v1,0.55763
T1239v2TS052_3,TS052,3,v2,0.55763
T1239v2TS319_2,TS319,2,v2,0.5563600000000001
T1239v1TS331_2,TS331,2,v1,0.5563600000000001
T1239v2TS345_5,TS345,5,v2,0.5563600000000001
T1239v1TS051_5,TS051,5,v1,0.5563600000000001
T1239v1TS345_5,TS345,5,v1,0.5563600000000001
T1239v2TS051_5,TS051,5,v2,0.5563600000000001
T1239v1TS319_2,TS319,2,v1,0.5563600000000001
T1239v2TS331_2,TS331,2,v2,0.5563600000000001
T1239v1TS481_3,TS481,3,v1,0.55424
T1239v1TS262_4,TS262,4,v1,0.55424
T1239v2TS456_4,TS456,4,v2,0.5533899999999999
T1239v2TS022_1,TS022,1,v2,0.5533899999999999
T1239v1TS022_2,TS022,2,v1,0.5533899999999999
T1239v1TS456_1,TS456,1,v1,0.5533899999999999
T1239v2TS462_5,TS462,5,v2,0.5533899999999999
T1239v2TS294_2,TS294,2,v2,0.55297
T1239v2TS159_2,TS159,2,v2,0.55212
T1239v2TS325_2,TS325,2,v2,0.55212
T1239v2TS212_1,TS212,1,v2,0.55212
T1239v1TS325_2,TS325,2,v1,0.55212
T1239v1TS159_2,TS159,2,v1,0.55212
T1239v1TS110_3,TS110,3,v1,0.55169
T1239v2TS212_2,TS212,2,v2,0.55169
T1239v2TS204_2,TS204,2,v2,0.55127
T1239v2TS212_4,TS212,4,v2,0.55042
T1239v1TS204_1,TS204,1,v1,0.55042
T1239v2TS262_4,TS262,4,v2,0.55
T1239v2TS262_2,TS262,2,v2,0.55
T1239v2TS358_2,TS358,2,v2,0.54958
T1239v1TS489_3,TS489,3,v1,0.54958
T1239v2TS212_5,TS212,5,v2,0.54958
T1239v1TS314_5,TS314,5,v1,0.54915
T1239v1TS110_5,TS110,5,v1,0.5487299999999999
T1239v2TS212_3,TS212,3,v2,0.5487299999999999
T1239v2TS110_2,TS110,2,v2,0.5487299999999999
T1239v1TS294_4,TS294,4,v1,0.5474600000000001
T1239v2TS028_5,TS028,5,v2,0.54576
T1239v2TS294_5,TS294,5,v2,0.54492
T1239v2TS314_2,TS314,2,v2,0.54364
T1239v1TS241_1,TS241,1,v1,0.54322
T1239v2TS294_3,TS294,3,v2,0.54237
T1239v2TS489_4,TS489,4,v2,0.5411
T1239v2TS286_2,TS286,2,v2,0.5411
T1239v1TS369_4,TS369,4,v1,0.5406799999999999
T1239v1TS167_5,TS167,5,v1,0.5406799999999999
T1239v1TS450_5,TS450,5,v1,0.5406799999999999
T1239v2TS231_1,TS231,1,v2,0.5406799999999999
T1239v2TS369_4,TS369,4,v2,0.5406799999999999
T1239v1TS019_5,TS019,5,v1,0.54025
T1239v1TS147_5,TS147,5,v1,0.54025
T1239v1TS481_5,TS481,5,v1,0.5394100000000001
T1239v2TS033_2,TS033,2,v2,0.5394100000000001
