Model,Group,Model Number,Model Version,AvgDockQ
T1249v2TS314_1o,TS314,1o,v2,0.516
T1249v2TS304_1o,TS304,1o,v2,0.511
T1249v2TS393_6o,TS393,6o,v2,0.498
T1249v2TS304_3o,TS304,3o,v2,0.487
T1249v1TS272_2o,TS272,2o,v1,0.46
T1249v2TS314_3o,TS314,3o,v2,0.458
T1249v1TS304_3o,TS304,3o,v1,0.414
T1249v2TS122_1o,TS122,1o,v2,0.408
T1249v2TS475_4o,TS475,4o,v2,0.408
T1249v2TS284_4o,TS284,4o,v2,0.408
T1249v2TS075_4o,TS075,4o,v2,0.408
T1249v2TS287_4o,TS287,4o,v2,0.398
T1249v2TS117_3o,TS117,3o,v2,0.39
T1249v2TS117_4o,TS117,4o,v2,0.369
T1249v1TS304_4o,TS304,4o,v1,0.365
T1249v1TS304_5o,TS304,5o,v1,0.351
T1249v2TS393_5o,TS393,5o,v2,0.325
T1249v1TS272_3o,TS272,3o,v1,0.322
T1249v2TS287_5o,TS287,5o,v2,0.316
T1249v2TS304_5o,TS304,5o,v2,0.301
T1249v1TS008_5o,TS008,5o,v1,0.298
T1249v2TS287_3o,TS287,3o,v2,0.298
T1249v2TS075_5o,TS075,5o,v2,0.284
T1249v2TS122_5o,TS122,5o,v2,0.284
T1249v2TS475_5o,TS475,5o,v2,0.284
T1249v2TS284_5o,TS284,5o,v2,0.284
T1249v2TS117_5o,TS117,5o,v2,0.278
T1249v1TS261_3o,TS261,3o,v1,0.273
T1249v2TS314_5o,TS314,5o,v2,0.272
T1249v2TS393_2o,TS393,2o,v2,0.27
T1249v2TS241_4o,TS241,4o,v2,0.268
T1249v1TS261_1o,TS261,1o,v1,0.268
T1249v2TS287_1o,TS287,1o,v2,0.264
T1249v1TS261_4o,TS261,4o,v1,0.263
T1249v2TS219_1o,TS219,1o,v2,0.263
T1249v1TS219_4o,TS219,4o,v1,0.263
T1249v2TS322_1o,TS322,1o,v2,0.263
T1249v1TS322_4o,TS322,4o,v1,0.263
T1249v2TS052_1o,TS052,1o,v2,0.259
T1249v1TS261_5o,TS261,5o,v1,0.259
T1249v1TS462_6o,TS462,6o,v1,0.257
T1249v2TS462_6o,TS462,6o,v2,0.257
T1249v2TS261_1o,TS261,1o,v2,0.257
T1249v2TS075_3o,TS075,3o,v2,0.254
T1249v2TS122_4o,TS122,4o,v2,0.254
T1249v2TS475_3o,TS475,3o,v2,0.254
T1249v2TS284_3o,TS284,3o,v2,0.254
T1249v2TS204_2o,TS204,2o,v2,0.254
T1249v1TS304_2o,TS304,2o,v1,0.253
T1249v2TS261_4o,TS261,4o,v2,0.253
T1249v2TS261_5o,TS261,5o,v2,0.253
T1249v2TS287_2o,TS287,2o,v2,0.253
T1249v2TS261_2o,TS261,2o,v2,0.25
T1249v2TS204_5o,TS204,5o,v2,0.25
T1249v1TS261_2o,TS261,2o,v1,0.25
T1249v2TS290_4o,TS290,4o,v2,0.247
T1249v2TS314_4o,TS314,4o,v2,0.246
T1249v2TS261_3o,TS261,3o,v2,0.244
T1249v2TS380_5o,TS380,5o,v2,0.242
T1249v2TS145_5o,TS145,5o,v2,0.242
T1249v1TS008_3o,TS008,3o,v1,0.239
T1249v2TS008_5o,TS008,5o,v2,0.239
T1249v1TS380_5o,TS380,5o,v1,0.236
T1249v1TS145_5o,TS145,5o,v1,0.236
T1249v2TS304_2o,TS304,2o,v2,0.234
T1249v2TS272_2o,TS272,2o,v2,0.231
T1249v2TS272_1o,TS272,1o,v2,0.231
T1249v2TS304_4o,TS304,4o,v2,0.225
T1249v2TS028_3o,TS028,3o,v2,0.225
T1249v1TS091_1o,TS091,1o,v1,0.225
T1249v2TS091_5o,TS091,5o,v2,0.225
T1249v2TS322_4o,TS322,4o,v2,0.224
T1249v2TS219_4o,TS219,4o,v2,0.224
T1249v1TS219_2o,TS219,2o,v1,0.224
T1249v1TS322_2o,TS322,2o,v1,0.224
T1249v1TS304_1o,TS304,1o,v1,0.223
T1249v2TS314_2o,TS314,2o,v2,0.222
T1249v1TS369_2o,TS369,2o,v1,0.22
T1249v2TS369_2o,TS369,2o,v2,0.22
T1249v2TS145_3o,TS145,3o,v2,0.22
T1249v2TS380_2o,TS380,2o,v2,0.22
T1249v1TS380_2o,TS380,2o,v1,0.22
T1249v1TS145_3o,TS145,3o,v1,0.22
T1249v1TS167_5o,TS167,5o,v1,0.218
T1249v1TS450_5o,TS450,5o,v1,0.218
T1249v2TS241_5o,TS241,5o,v2,0.216
T1249v1TS369_1o,TS369,1o,v1,0.214
T1249v2TS369_1o,TS369,1o,v2,0.214
T1249v2TS284_1o,TS284,1o,v2,0.214
T1249v2TS075_1o,TS075,1o,v2,0.214
T1249v2TS122_2o,TS122,2o,v2,0.214
T1249v2TS475_1o,TS475,1o,v2,0.214
T1249v2TS284_2o,TS284,2o,v2,0.213
T1249v2TS122_3o,TS122,3o,v2,0.213
T1249v2TS475_2o,TS475,2o,v2,0.213
T1249v2TS075_2o,TS075,2o,v2,0.213
T1249v1TS397_1o,TS397,1o,v1,0.213
T1249v2TS091_3o,TS091,3o,v2,0.213
T1249v1TS393_3o,TS393,3o,v1,0.213
T1249v1TS091_2o,TS091,2o,v1,0.213
T1249v2TS369_3o,TS369,3o,v2,0.211
T1249v1TS369_3o,TS369,3o,v1,0.211
T1249v2TS198_5o,TS198,5o,v2,0.21
T1249v1TS198_3o,TS198,3o,v1,0.21
T1249v2TS198_3o,TS198,3o,v2,0.21
T1249v1TS059_5o,TS059,5o,v1,0.209
T1249v2TS375_2o,TS375,2o,v2,0.206
T1249v1TS290_5o,TS290,5o,v1,0.204
T1249v2TS290_1o,TS290,1o,v2,0.204
T1249v2TS393_1o,TS393,1o,v2,0.203
T1249v1TS008_4o,TS008,4o,v1,0.203
T1249v2TS167_2o,TS167,2o,v2,0.198
T1249v2TS450_2o,TS450,2o,v2,0.198
T1249v1TS494_4o,TS494,4o,v1,0.198
T1249v2TS494_4o,TS494,4o,v2,0.198
T1249v1TS198_5o,TS198,5o,v1,0.197
T1249v2TS059_6o,TS059,6o,v2,0.197
T1249v1TS052_1o,TS052,1o,v1,0.196
T1249v2TS052_2o,TS052,2o,v2,0.196
T1249v2TS312_3o,TS312,3o,v2,0.194
T1249v2TS264_3o,TS264,3o,v2,0.194
T1249v2TS148_3o,TS148,3o,v2,0.194
T1249v2TS462_1o,TS462,1o,v2,0.194
T1249v2TS110_1o,TS110,1o,v2,0.194
T1249v2TS147_1o,TS147,1o,v2,0.194
T1249v2TS290_5o,TS290,5o,v2,0.192
T1249v1TS163_5o,TS163,5o,v1,0.192
T1249v2TS163_5o,TS163,5o,v2,0.192
T1249v2TS345_5o,TS345,5o,v2,0.188
T1249v1TS345_5o,TS345,5o,v1,0.188
T1249v2TS312_5o,TS312,5o,v2,0.188
T1249v2TS264_5o,TS264,5o,v2,0.188
T1249v2TS148_5o,TS148,5o,v2,0.188
T1249v2TS008_1o,TS008,1o,v2,0.186
T1249v2TS028_1o,TS028,1o,v2,0.186
T1249v1TS091_3o,TS091,3o,v1,0.185
T1249v1TS450_1o,TS450,1o,v1,0.184
T1249v1TS167_1o,TS167,1o,v1,0.184
T1249v2TS163_3o,TS163,3o,v2,0.184
T1249v1TS163_3o,TS163,3o,v1,0.184
T1249v1TS052_2o,TS052,2o,v1,0.183
T1249v1TS022_1o,TS022,1o,v1,0.183
T1249v2TS022_1o,TS022,1o,v2,0.183
T1249v2TS375_1o,TS375,1o,v2,0.183
T1249v2TS425_1o,TS425,1o,v2,0.182
T1249v2TS319_1o,TS319,1o,v2,0.182
T1249v2TS051_5o,TS051,5o,v2,0.182
T1249v2TS331_1o,TS331,1o,v2,0.182
T1249v1TS051_5o,TS051,5o,v1,0.182
T1249v1TS319_4o,TS319,4o,v1,0.182
T1249v1TS425_4o,TS425,4o,v1,0.182
T1249v1TS331_4o,TS331,4o,v1,0.182
T1249v1TS272_1o,TS272,1o,v1,0.182
T1249v1TS375_4o,TS375,4o,v1,0.182
T1249v2TS294_2o,TS294,2o,v2,0.182
T1249v1TS008_1o,TS008,1o,v1,0.182
T1249v1TS393_4o,TS393,4o,v1,0.18
T1249v1TS241_1o,TS241,1o,v1,0.18
T1249v2TS294_1o,TS294,1o,v2,0.179
T1249v1TS051_6o,TS051,6o,v1,0.179
T1249v2TS051_6o,TS051,6o,v2,0.179
T1249v2TS145_4o,TS145,4o,v2,0.179
T1249v2TS380_1o,TS380,1o,v2,0.179
T1249v2TS091_2o,TS091,2o,v2,0.179
T1249v2TS241_2o,TS241,2o,v2,0.177
T1249v1TS380_1o,TS380,1o,v1,0.176
T1249v1TS145_4o,TS145,4o,v1,0.176
T1249v2TS147_5o,TS147,5o,v2,0.175
T1249v2TS462_5o,TS462,5o,v2,0.175
T1249v1TS375_3o,TS375,3o,v1,0.175
T1249v2TS393_4o,TS393,4o,v2,0.175
T1249v2TS163_1o,TS163,1o,v2,0.175
T1249v1TS163_1o,TS163,1o,v1,0.175
T1249v2TS397_1o,TS397,1o,v2,0.175
T1249v1TS051_2o,TS051,2o,v1,0.174
T1249v2TS345_2o,TS345,2o,v2,0.174
T1249v1TS345_2o,TS345,2o,v1,0.174
T1249v2TS051_2o,TS051,2o,v2,0.174
T1249v1TS375_1o,TS375,1o,v1,0.172
T1249v2TS008_2o,TS008,2o,v2,0.172
T1249v2TS167_4o,TS167,4o,v2,0.172
T1249v2TS450_4o,TS450,4o,v2,0.172
T1249v1TS022_5o,TS022,5o,v1,0.169
T1249v2TS022_5o,TS022,5o,v2,0.169
T1249v2TS117_2o,TS117,2o,v2,0.169
T1249v2TS110_4o,TS110,4o,v2,0.168
T1249v2TS147_3o,TS147,3o,v2,0.168
T1249v2TS462_3o,TS462,3o,v2,0.168
T1249v1TS051_4o,TS051,4o,v1,0.167
T1249v1TS187_1o,TS187,1o,v1,0.167
T1249v2TS028_4o,TS028,4o,v2,0.166
T1249v1TS145_1o,TS145,1o,v1,0.166
T1249v1TS380_3o,TS380,3o,v1,0.166
T1249v2TS145_1o,TS145,1o,v2,0.166
T1249v2TS380_3o,TS380,3o,v2,0.166
T1249v2TS187_1o,TS187,1o,v2,0.166
T1249v1TS294_5o,TS294,5o,v1,0.165
T1249v2TS163_4o,TS163,4o,v2,0.165
T1249v1TS163_4o,TS163,4o,v1,0.165
T1249v1TS079_2o,TS079,2o,v1,0.164
T1249v1TS293_2o,TS293,2o,v1,0.164
T1249v2TS331_2o,TS331,2o,v2,0.164
T1249v1TS319_5o,TS319,5o,v1,0.164
T1249v2TS319_2o,TS319,2o,v2,0.164
T1249v1TS425_5o,TS425,5o,v1,0.164
T1249v2TS425_2o,TS425,2o,v2,0.164
T1249v1TS331_5o,TS331,5o,v1,0.164
T1249v2TS164_2o,TS164,2o,v2,0.163
T1249v2TS167_3o,TS167,3o,v2,0.163
T1249v2TS450_3o,TS450,3o,v2,0.163
T1249v1TS091_4o,TS091,4o,v1,0.161
T1249v1TS014_1o,TS014,1o,v1,0.161
T1249v1TS241_5o,TS241,5o,v1,0.16
T1249v1TS163_2o,TS163,2o,v1,0.16
T1249v2TS163_2o,TS163,2o,v2,0.16
T1249v2TS198_4o,TS198,4o,v2,0.16
T1249v2TS204_3o,TS204,3o,v2,0.159
T1249v1TS393_6o,TS393,6o,v1,0.159
T1249v1TS294_4o,TS294,4o,v1,0.158
T1249v2TS294_5o,TS294,5o,v2,0.158
T1249v1TS267_1o,TS267,1o,v1,0.158
T1249v2TS164_1o,TS164,1o,v2,0.158
T1249v2TS091_1o,TS091,1o,v2,0.157
T1249v1TS375_2o,TS375,2o,v1,0.156
T1249v1TS419_4o,TS419,4o,v1,0.156
T1249v1TS221_4o,TS221,4o,v1,0.156
T1249v2TS110_3o,TS110,3o,v2,0.156
T1249v1TS456_4o,TS456,4o,v1,0.156
T1249v1TS022_4o,TS022,4o,v1,0.156
T1249v1TS052_4o,TS052,4o,v1,0.156
T1249v2TS052_4o,TS052,4o,v2,0.156
