Model,Group,Model Version,Model Number,Composite_Score_4
T1214TS015_5,TS015,v1,5,94.43890430228191
T1214TS015_2,TS015,v1,2,94.26512191591917
T1214TS386_4,TS386,v1,4,93.01457291548198
T1214TS298_4,TS298,v1,4,93.01457291548198
T1214TS386_1,TS386,v1,1,93.01318817800934
T1214TS298_1,TS298,v1,1,93.01318817800934
T1214TS298_3,TS298,v1,3,92.76972290539584
T1214TS386_3,TS386,v1,3,92.76972290539584
T1214TS298_2,TS298,v1,2,92.63575155795077
T1214TS386_2,TS386,v1,2,92.63575155795077
T1214TS208_4,TS208,v1,4,91.670477596298
T1214TS386_5,TS386,v1,5,91.386764981535
T1214TS298_5,TS298,v1,5,91.386764981535
T1214TS462_6,TS462,v1,6,91.10881254036799
T1214TS408_1,TS408,v1,1,90.61752058290776
T1214TS055_3,TS055,v1,3,90.40315794348041
T1214TS055_4,TS055,v1,4,90.40315794348041
T1214TS055_5,TS055,v1,5,90.40315794348041
T1214TS022_4,TS022,v1,4,90.16116260822724
T1214TS465_3,TS465,v1,3,89.57289123884597
T1214TS202_5,TS202,v1,5,89.37885527550476
T1214TS110_2,TS110,v1,2,88.22879153632991
T1214TS465_2,TS465,v1,2,87.3479288615955
T1214TS022_5,TS022,v1,5,86.92562569520963
T1214TS015_3,TS015,v1,3,86.69982309490938
T1214TS388_4,TS388,v1,4,86.52393811088244
T1214TS465_4,TS465,v1,4,86.36526051080372
T1214TS147_1,TS147,v1,1,85.96610942446442
T1214TS462_1,TS462,v1,1,85.96610942446442
T1214TS423_1,TS423,v1,1,85.96261800793108
T1214TS091_2,TS091,v1,2,85.80671613641019
T1214TS465_5,TS465,v1,5,85.80483406625056
T1214TS287_1,TS287,v1,1,85.5889787957296
T1214TS102_1,TS102,v1,1,85.58759702128917
T1214TS102_4,TS102,v1,4,85.58759702128917
T1214TS102_3,TS102,v1,3,85.58759702128917
T1214TS102_2,TS102,v1,2,85.58759702128917
T1214TS102_5,TS102,v1,5,85.58759702128917
T1214TS287_2,TS287,v1,2,85.49509895167198
T1214TS110_1,TS110,v1,1,85.48506514481387
T1214TS375_3,TS375,v1,3,85.39773927957548
T1214TS314_1,TS314,v1,1,85.37555119035335
T1214TS148_5,TS148,v1,5,85.37555119035335
T1214TS264_1,TS264,v1,1,85.37555119035335
T1214TS312_1,TS312,v1,1,85.37555119035335
T1214TS393_1,TS393,v1,1,85.37555119035335
T1214TS227_3,TS227,v1,3,85.28291430913801
T1214TS227_2,TS227,v1,2,85.28250934132191
T1214TS425_2,TS425,v1,2,85.1190040325388
T1214TS319_3,TS319,v1,3,85.1190040325388
T1214TS014_5,TS014,v1,5,84.84808097449424
T1214TS311_4,TS311,v1,4,84.79433232211012
T1214TS014_4,TS014,v1,4,84.71013812594006
T1214TS207_1,TS207,v1,1,84.69041812228788
T1214TS207_3,TS207,v1,3,84.69041812228788
T1214TS207_2,TS207,v1,2,84.69041812228788
T1214TS014_1,TS014,v1,1,84.62187104249675
T1214TS164_1,TS164,v1,1,84.5805857891641
T1214TS163_1,TS163,v1,1,84.5805857891641
T1214TS225_1,TS225,v1,1,84.5805857891641
T1214TS164_2,TS164,v1,2,84.47141855078476
T1214TS163_2,TS163,v1,2,84.47141855078476
T1214TS311_1,TS311,v1,1,84.39669227274221
T1214TS227_1,TS227,v1,1,84.3612000323873
T1214TS227_5,TS227,v1,5,84.3612000323873
T1214TS227_4,TS227,v1,4,84.3612000323873
T1214TS014_6,TS014,v1,6,84.32699274226168
T1214TS294_2,TS294,v1,2,84.28482381476
T1214TS196_4,TS196,v1,4,84.2209656591314
T1214TS019_1,TS019,v1,1,84.18398441398028
