Model,Group,Model Version,Model Number,Composite_Score_2
R1203TS435_6,TS435,v2,6,64.81033910095181
R1203TS006_5,TS006,v2,5,61.783374017777504
R1203TS006_4,TS006,v2,4,61.239531827586745
R1203TS417_4,TS417,v2,4,60.841656041303494
R1203TS317_4,TS317,v2,4,58.499788279665914
R1203TS159_1,TS159,v2,1,57.795333077180004
R1203TS006_3,TS006,v2,3,57.75181055025134
R1203TS165_5,TS165,v2,5,57.5791811808668
R1203TS267_3,TS267,v2,3,57.059005982143205
R1203TS238_5,TS238,v2,5,55.67315478951608
R1203TS110_5,TS110,v2,5,54.8543905236197
R1203TS267_4,TS267,v2,4,54.723593075883706
R1203TS435_1,TS435,v2,1,54.39150932117238
R1203TS294_3,TS294,v2,3,53.19009937571716
R1203TS304_2,TS304,v2,2,53.14655215076648
R1203TS241_2,TS241,v2,2,53.14655215076648
R1203TS417_1,TS417,v2,1,52.91176456176257
R1203TS235_5,TS235,v2,5,52.79168991467643
R1203TS417_5,TS417,v2,5,52.65664400607793
R1203TS304_3,TS304,v2,3,52.00499621655682
R1203TS241_3,TS241,v2,3,52.00499621655682
R1203TS435_5,TS435,v2,5,51.84198865682445
R1203TS400_1,TS400,v2,1,51.62478433433793
R1203TS231_5,TS231,v2,5,51.29420158375966
R1203TS276_1,TS276,v2,1,51.18996621172915
R1203TS481_5,TS481,v2,5,50.72618657408274
R1203TS052_4,TS052,v2,4,50.024108664117435
R1203TS006_1,TS006,v2,1,49.99354085778233
R1203TS272_1,TS272,v2,1,49.762798859851685
R1203TS417_2,TS417,v2,2,49.68318115500547
R1203TS369_5,TS369,v2,5,49.37783825441572
R1203TS241_4,TS241,v2,4,49.37124091050557
R1203TS304_4,TS304,v2,4,49.37124091050557
R1203TS304_1,TS304,v2,1,49.219712477586725
R1203TS294_1,TS294,v2,1,49.219712477586725
R1203TS241_1,TS241,v2,1,49.219712477586725
R1203TS369_3,TS369,v2,3,49.11849747360909
R1203TS272_5,TS272,v2,5,49.020094995980976
R1203TS235_4,TS235,v2,4,48.899175011398
R1203TS272_4,TS272,v2,4,48.89760024801266
R1203TS286_3,TS286,v2,3,48.71768666237406
R1203TS159_4,TS159,v2,4,48.64130034852273
R1203TS369_2,TS369,v2,2,48.41283760410716
R1203TS167_2,TS167,v2,2,48.38788638009374
R1203TS241_5,TS241,v2,5,48.090597040887694
R1203TS304_5,TS304,v2,5,48.090597040887694
R1203TS286_1,TS286,v2,1,48.050927040977115
R1203TS462_1,TS462,v2,1,47.896576486620134
R1203TS369_4,TS369,v2,4,47.562722317802596
R1203TS235_2,TS235,v2,2,47.458178474053234
R1203TS338_3,TS338,v2,3,47.15333425321681
R1203TS286_2,TS286,v2,2,46.62360886890773
R1203TS448_1,TS448,v2,1,46.374000941781205
R1203TS159_2,TS159,v2,2,46.06446636648578
R1203TS481_3,TS481,v2,3,45.8625052334929
R1203TS338_5,TS338,v2,5,45.701338226679056
R1203TS052_3,TS052,v2,3,45.679961994251144
R1203TS063_3,TS063,v2,3,45.511408384563225
R1203TS006_2,TS006,v2,2,45.08820426802944
R1203TS063_1,TS063,v2,1,45.04607218606399
R1203TS165_1,TS165,v2,1,45.03904093569641
R1203TS028_2,TS028,v2,2,45.02405133243922
R1203TS183_2,TS183,v2,2,44.800819538858754
R1203TS317_5,TS317,v2,5,44.76238882437464
R1203TS183_5,TS183,v2,5,44.47896013234445
R1203TS294_2,TS294,v2,2,44.331493249432334
R1203TS165_2,TS165,v2,2,44.012578176018685
