Model,Group,Model Number,GDT_TS
T1214TS494_1,TS494,1,1.0
T1214TS494_5,TS494,5,1.0
T1214TS274_1,TS274,1,1.0
T1214TS274_5,TS274,5,1.0
T1214TS494_3,TS494,3,0.9996200000000001
T1214TS494_4,TS494,4,0.9996200000000001
T1214TS274_3,TS274,3,0.9996200000000001
T1214TS274_4,TS274,4,0.9996200000000001
T1214TS494_2,TS494,2,0.9992300000000001
T1214TS091_5,TS091,5,0.9992300000000001
T1214TS091_4,TS091,4,0.9992300000000001
T1214TS274_2,TS274,2,0.9992300000000001
T1214TS091_3,TS091,3,0.9992300000000001
T1214TS091_1,TS091,1,0.9992300000000001
T1214TS040_3,TS040,3,0.99847
T1214TS040_5,TS040,5,0.9980800000000001
T1214TS040_1,TS040,1,0.99693
T1214TS040_4,TS040,4,0.99655
T1214TS040_2,TS040,2,0.99617
T1214TS198_1,TS198,1,0.99041
T1214TS147_3,TS147,3,0.99003
T1214TS462_3,TS462,3,0.99003
T1214TS110_5,TS110,5,0.98965
T1214TS145_1,TS145,1,0.98926
T1214TS204_3,TS204,3,0.98926
T1214TS204_5,TS204,5,0.98926
T1214TS017_1,TS017,1,0.98926
T1214TS375_4,TS375,4,0.9888800000000001
T1214TS204_1,TS204,1,0.98773
T1214TS204_4,TS204,4,0.98735
T1214TS204_2,TS204,2,0.9862000000000001
T1214TS388_1,TS388,1,0.9858100000000001
T1214TS139_6,TS139,6,0.98505
T1214TS059_6,TS059,6,0.98505
T1214TS388_2,TS388,2,0.98505
T1214TS059_5,TS059,5,0.9839
T1214TS059_1,TS059,1,0.98351
T1214TS059_4,TS059,4,0.9831300000000001
T1214TS059_2,TS059,2,0.9831300000000001
T1214TS059_3,TS059,3,0.98275
T1214TS319_4,TS319,4,0.98236
T1214TS286_1,TS286,1,0.98198
T1214TS286_4,TS286,4,0.9812099999999999
T1214TS286_5,TS286,5,0.9812099999999999
T1214TS286_2,TS286,2,0.9812099999999999
T1214TS286_3,TS286,3,0.9812099999999999
T1214TS425_4,TS425,4,0.9812099999999999
T1214TS148_2,TS148,2,0.98044
T1214TS039_1,TS039,1,0.9789100000000001
T1214TS039_2,TS039,2,0.9789100000000001
T1214TS039_3,TS039,3,0.9789100000000001
T1214TS221_1,TS221,1,0.97508
T1214TS419_1,TS419,1,0.97508
T1214TS269_2,TS269,2,0.97431
T1214TS269_1,TS269,1,0.97393
T1214TS221_5,TS221,5,0.97354
T1214TS269_4,TS269,4,0.97354
T1214TS419_5,TS419,5,0.97354
T1214TS221_4,TS221,4,0.97316
T1214TS419_4,TS419,4,0.97316
T1214TS269_5,TS269,5,0.9727800000000001
T1214TS269_3,TS269,3,0.9727800000000001
T1214TS221_3,TS221,3,0.9720099999999999
T1214TS221_2,TS221,2,0.9720099999999999
T1214TS419_3,TS419,3,0.9720099999999999
T1214TS419_2,TS419,2,0.9720099999999999
T1214TS456_4,TS456,4,0.97163
T1214TS052_4,TS052,4,0.97163
T1214TS052_2,TS052,2,0.97163
T1214TS456_2,TS456,2,0.97124
T1214TS262_2,TS262,2,0.97086
T1214TS262_1,TS262,1,0.97086
T1214TS262_5,TS262,5,0.97048
T1214TS052_5,TS052,5,0.97048
T1214TS262_3,TS262,3,0.97009
T1214TS262_4,TS262,4,0.9697100000000001
T1214TS456_5,TS456,5,0.9697100000000001
T1214TS022_3,TS022,3,0.96933
T1214TS456_3,TS456,3,0.96894
T1214TS015_1,TS015,1,0.96856
T1214TS456_1,TS456,1,0.96702
T1214TS022_2,TS022,2,0.96702
T1214TS055_1,TS055,1,0.96702
T1214TS055_2,TS055,2,0.96702
T1214TS198_4,TS198,4,0.96587
T1214TS052_3,TS052,3,0.96587
T1214TS145_5,TS145,5,0.9651099999999999
T1214TS017_3,TS017,3,0.9651099999999999
T1214TS052_1,TS052,1,0.9651099999999999
T1214TS020_3,TS020,3,0.96396
T1214TS022_1,TS022,1,0.96319
T1214TS462_6,TS462,6,0.95514
T1214TS022_5,TS022,5,0.94824
T1214TS019_1,TS019,1,0.9459399999999999
T1214TS147_1,TS147,1,0.9444
T1214TS462_1,TS462,1,0.9444
T1214TS110_2,TS110,2,0.94363
T1214TS465_1,TS465,1,0.94363
T1214TS235_5,TS235,5,0.9424800000000001
T1214TS235_1,TS235,1,0.9424800000000001
T1214TS267_3,TS267,3,0.9420999999999999
T1214TS110_1,TS110,1,0.9420999999999999
T1214TS022_4,TS022,4,0.94133
T1214TS235_2,TS235,2,0.9375
T1214TS015_6,TS015,6,0.9375
T1214TS198_2,TS198,2,0.9371200000000001
T1214TS145_2,TS145,2,0.9371200000000001
T1214TS017_4,TS017,4,0.9371200000000001
T1214TS163_5,TS163,5,0.9367300000000001
T1214TS319_1,TS319,1,0.9367300000000001
T1214TS164_5,TS164,5,0.9367300000000001
T1214TS196_4,TS196,4,0.9367300000000001
T1214TS163_3,TS163,3,0.93635
T1214TS164_3,TS164,3,0.93635
T1214TS051_6,TS051,6,0.93597
T1214TS345_2,TS345,2,0.9355800000000001
T1214TS345_6,TS345,6,0.9355800000000001
T1214TS425_1,TS425,1,0.9355800000000001
T1214TS196_1,TS196,1,0.9355800000000001
T1214TS163_4,TS163,4,0.9351999999999999
T1214TS287_4,TS287,4,0.9351999999999999
T1214TS164_4,TS164,4,0.9351999999999999
T1214TS311_3,TS311,3,0.9351999999999999
T1214TS208_2,TS208,2,0.9351999999999999
T1214TS145_4,TS145,4,0.93482
T1214TS145_3,TS145,3,0.93482
T1214TS287_5,TS287,5,0.93482
T1214TS235_3,TS235,3,0.93482
T1214TS017_5,TS017,5,0.93482
T1214TS017_2,TS017,2,0.93482
T1214TS196_2,TS196,2,0.93482
T1214TS375_2,TS375,2,0.93482
T1214TS464_4,TS464,4,0.93443
T1214TS464_5,TS464,5,0.93443
T1214TS464_2,TS464,2,0.93443
T1214TS464_3,TS464,3,0.93443
T1214TS464_1,TS464,1,0.93443
T1214TS400_1,TS400,1,0.93443
T1214TS345_1,TS345,1,0.93405
T1214TS014_3,TS014,3,0.93405
T1214TS301_4,TS301,4,0.93367
T1214TS311_2,TS311,2,0.93367
T1214TS267_1,TS267,1,0.93328
T1214TS345_5,TS345,5,0.93328
T1214TS345_4,TS345,4,0.93328
T1214TS393_4,TS393,4,0.93328
T1214TS314_5,TS314,5,0.93328
T1214TS312_5,TS312,5,0.93328
T1214TS079_2,TS079,2,0.9329000000000001
T1214TS079_4,TS079,4,0.9329000000000001
T1214TS272_4,TS272,4,0.9329000000000001
T1214TS272_5,TS272,5,0.9329000000000001
T1214TS272_1,TS272,1,0.9329000000000001
T1214TS272_2,TS272,2,0.9329000000000001
T1214TS272_3,TS272,3,0.9329000000000001
T1214TS208_1,TS208,1,0.9329000000000001
T1214TS293_1,TS293,1,0.9329000000000001
T1214TS196_5,TS196,5,0.9329000000000001
T1214TS293_5,TS293,5,0.9329000000000001
T1214TS267_2,TS267,2,0.9325199999999999
T1214TS079_3,TS079,3,0.9325199999999999
T1214TS267_5,TS267,5,0.9325199999999999
T1214TS311_4,TS311,4,0.9325199999999999
T1214TS293_3,TS293,3,0.9325199999999999
T1214TS167_2,TS167,2,0.9321299999999999
T1214TS450_5,TS450,5,0.9321299999999999
T1214TS079_5,TS079,5,0.9321299999999999
T1214TS423_4,TS423,4,0.9321299999999999
T1214TS014_2,TS014,2,0.9321299999999999
T1214TS293_4,TS293,4,0.9321299999999999
T1214TS102_4,TS102,4,0.93175
T1214TS102_5,TS102,5,0.93175
T1214TS102_2,TS102,2,0.93175
T1214TS102_3,TS102,3,0.93175
T1214TS102_1,TS102,1,0.93175
T1214TS267_4,TS267,4,0.93175
T1214TS208_5,TS208,5,0.93175
T1214TS208_3,TS208,3,0.93175
T1214TS264_2,TS264,2,0.93137
T1214TS301_3,TS301,3,0.93098
T1214TS122_1,TS122,1,0.93098
T1214TS198_3,TS198,3,0.93098
T1214TS264_1,TS264,1,0.93098
T1214TS264_6,TS264,6,0.93098
T1214TS079_1,TS079,1,0.93098
T1214TS148_5,TS148,5,0.93098
T1214TS312_1,TS312,1,0.93098
T1214TS293_2,TS293,2,0.93098
T1214TS314_4,TS314,4,0.93098
T1214TS393_2,TS393,2,0.93098
T1214TS314_1,TS314,1,0.93098
T1214TS393_1,TS393,1,0.93098
T1214TS312_4,TS312,4,0.93098
T1214TS408_2,TS408,2,0.9306
T1214TS475_5,TS475,5,0.9306
T1214TS241_3,TS241,3,0.9306
T1214TS304_3,TS304,3,0.9306
T1214TS475_1,TS475,1,0.9306
T1214TS375_1,TS375,1,0.9306
T1214TS196_3,TS196,3,0.9306
T1214TS207_1,TS207,1,0.93021
T1214TS207_3,TS207,3,0.93021
T1214TS207_2,TS207,2,0.93021
T1214TS425_3,TS425,3,0.93021
T1214TS311_5,TS311,5,0.93021
T1214TS264_3,TS264,3,0.92983
T1214TS241_1,TS241,1,0.92983
T1214TS304_5,TS304,5,0.92983
T1214TS304_1,TS304,1,0.92983
T1214TS287_2,TS287,2,0.92983
T1214TS241_5,TS241,5,0.92983
T1214TS393_5,TS393,5,0.92983
T1214TS198_5,TS198,5,0.9294499999999999
T1214TS122_5,TS122,5,0.9294499999999999
T1214TS110_4,TS110,4,0.9294499999999999
T1214TS241_2,TS241,2,0.9290600000000001
T1214TS304_2,TS304,2,0.9290600000000001
T1214TS287_3,TS287,3,0.92868
T1214TS369_1,TS369,1,0.92868
T1214TS369_2,TS369,2,0.92868
T1214TS163_2,TS163,2,0.92791
T1214TS475_4,TS475,4,0.92791
T1214TS164_2,TS164,2,0.92791
T1214TS301_1,TS301,1,0.92753
T1214TS225_1,TS225,1,0.92753
T1214TS163_1,TS163,1,0.92753
T1214TS164_1,TS164,1,0.92753
T1214TS227_5,TS227,5,0.92715
T1214TS139_2,TS139,2,0.92715
T1214TS227_4,TS227,4,0.92715
T1214TS264_5,TS264,5,0.92715
T1214TS122_4,TS122,4,0.92715
T1214TS227_1,TS227,1,0.92715
T1214TS312_2,TS312,2,0.92715
T1214TS393_6,TS393,6,0.92715
T1214TS314_2,TS314,2,0.92715
T1214TS301_2,TS301,2,0.92676
T1214TS423_5,TS423,5,0.92676
T1214TS301_5,TS301,5,0.9263800000000001
T1214TS475_3,TS475,3,0.9263800000000001
T1214TS423_3,TS423,3,0.9263800000000001
T1214TS304_4,TS304,4,0.9259999999999999
T1214TS241_4,TS241,4,0.9259999999999999
T1214TS312_3,TS312,3,0.9259999999999999
T1214TS314_3,TS314,3,0.9259999999999999
T1214TS475_2,TS475,2,0.92523
T1214TS287_1,TS287,1,0.9237000000000001
T1214TS294_2,TS294,2,0.9237000000000001
T1214TS386_4,TS386,4,0.9233100000000001
T1214TS207_4,TS207,4,0.9233100000000001
T1214TS298_4,TS298,4,0.9233100000000001
T1214TS423_2,TS423,2,0.9233100000000001
T1214TS386_1,TS386,1,0.92293
T1214TS298_1,TS298,1,0.92293
T1214TS386_3,TS386,3,0.92255
T1214TS386_5,TS386,5,0.92255
T1214TS298_3,TS298,3,0.92255
T1214TS298_5,TS298,5,0.92255
T1214TS386_2,TS386,2,0.92216
T1214TS298_2,TS298,2,0.92216
T1214TS208_4,TS208,4,0.92216
T1214TS015_4,TS015,4,0.9214
T1214TS408_3,TS408,3,0.9206300000000001
T1214TS207_5,TS207,5,0.91986
T1214TS051_5,TS051,5,0.91986
T1214TS331_5,TS331,5,0.91986
T1214TS423_1,TS423,1,0.91986
T1214TS319_3,TS319,3,0.9190999999999999
T1214TS425_2,TS425,2,0.9190999999999999
T1214TS091_2,TS091,2,0.91794
T1214TS331_1,TS331,1,0.91756
T1214TS051_1,TS051,1,0.91756
T1214TS388_3,TS388,3,0.91756
T1214TS227_3,TS227,3,0.91718
T1214TS227_2,TS227,2,0.91718
T1214TS375_3,TS375,3,0.91679
T1214TS331_4,TS331,4,0.91488
T1214TS051_4,TS051,4,0.91488
T1214TS388_4,TS388,4,0.91488
T1214TS019_5,TS019,5,0.91449
T1214TS319_2,TS319,2,0.91449
T1214TS331_2,TS331,2,0.91449
T1214TS051_2,TS051,2,0.91449
T1214TS465_4,TS465,4,0.91449
T1214TS122_2,TS122,2,0.91411
T1214TS284_3,TS284,3,0.91411
T1214TS345_3,TS345,3,0.91411
T1214TS051_3,TS051,3,0.91411
T1214TS075_3,TS075,3,0.91411
T1214TS331_3,TS331,3,0.91411
T1214TS147_5,TS147,5,0.91373
T1214TS284_5,TS284,5,0.91373
