Model,Group,Model Number,Model Version,BestDockQ
M1228v1TS033_1,TS033,1,v1,0.5537
M1228v1TS241_3,TS241,3,v1,0.5841999999999999
M1228v1TS241_2,TS241,2,v1,0.5554
M1228v1TS033_3,TS033,3,v1,0.558
M1228v1TS033_5,TS033,5,v1,0.5894999999999999
M1228v1TS033_2,TS033,2,v1,0.5617
M1228v1TS489_2,TS489,2,v1,0.5726
M1228v1TS110_3,TS110,3,v1,0.5508
M1228v1TS028_5,TS028,5,v1,0.5495
M1228v1TS110_4,TS110,4,v1,0.5381
M1228v1TS028_4,TS028,4,v1,0.5518
M1228v1TS231_5,TS231,5,v1,0.5245
M1228v1TS286_2,TS286,2,v1,0.484
M1228v1TS110_5,TS110,5,v1,0.5439
M1228v1TS231_4,TS231,4,v1,0.5184
M1228v1TS241_1,TS241,1,v1,0.5046
M1228v1TS231_2,TS231,2,v1,0.525
M1228v1TS028_3,TS028,3,v1,0.4997
M1228v1TS231_3,TS231,3,v1,0.4995
M1228v1TS231_1,TS231,1,v1,0.5189
M1228v1TS304_1,TS304,1,v1,0.4827
M1228v1TS091_1,TS091,1,v1,0.5077
M1228v1TS241_5,TS241,5,v1,0.4827
M1228v1TS091_2,TS091,2,v1,0.5199
M1228v1TS208_1,TS208,1,v1,0.4988
M1228v1TS241_4,TS241,4,v1,0.5488000000000001
M1228v1TS450_4,TS450,4,v1,0.5113000000000001
M1228v1TS450_5,TS450,5,v1,0.5113000000000001
M1228v1TS167_4,TS167,4,v1,0.5113000000000001
M1228v1TS167_5,TS167,5,v1,0.5113000000000001
M1228v1TS110_1,TS110,1,v1,0.4992
M1228v1TS450_1,TS450,1,v1,0.5115000000000001
M1228v1TS167_1,TS167,1,v1,0.5115000000000001
M1228v1TS028_2,TS028,2,v1,0.49939999999999996
M1228v1TS028_1,TS028,1,v1,0.4967
M1228v1TS450_2,TS450,2,v1,0.5093
M1228v1TS167_3,TS167,3,v1,0.5094000000000001
M1228v1TS286_3,TS286,3,v1,0.5067999999999999
M1228v1TS450_3,TS450,3,v1,0.5094000000000001
M1228v1TS167_2,TS167,2,v1,0.5093
M1228v1TS110_2,TS110,2,v1,0.49729999999999996
M1228v1TS091_4,TS091,4,v1,0.5109
M1228v1TS091_5,TS091,5,v1,0.4934
M1228v1TS481_3,TS481,3,v1,0.4537
M1228v1TS456_2,TS456,2,v1,0.1704
M1228v1TS052_2,TS052,2,v1,0.1704
M1228v1TS323_1,TS323,1,v1,nan
M1228v1TS022_3,TS022,3,v1,0.173
M1228v1TS052_1,TS052,1,v1,0.1675
M1228v1TS494_2,TS494,2,v1,0.1661
M1228v1TS274_2,TS274,2,v1,0.1661
M1228v1TS022_1,TS022,1,v1,0.172
M1228v1TS052_4,TS052,4,v1,0.1741
M1228v1TS014_5,TS014,5,v1,0.1742
M1228v1TS052_3,TS052,3,v1,0.1758
M1228v1TS456_3,TS456,3,v1,0.1631
M1228v1TS022_2,TS022,2,v1,0.162
M1228v1TS014_2,TS014,2,v1,0.1754
M1228v1TS014_3,TS014,3,v1,0.1713
M1228v1TS022_4,TS022,4,v1,0.18109999999999998
M1228v1TS014_4,TS014,4,v1,0.176
M1228v1TS456_1,TS456,1,v1,0.15889999999999999
M1228v1TS494_3,TS494,3,v1,0.15360000000000001
M1228v1TS494_4,TS494,4,v1,0.1515
M1228v1TS274_3,TS274,3,v1,0.15360000000000001
M1228v1TS274_4,TS274,4,v1,0.1515
M1228v1TS456_4,TS456,4,v1,0.1742
M1228v1TS494_5,TS494,5,v1,0.1523
M1228v1TS274_5,TS274,5,v1,0.1523
M1228v1TS014_1,TS014,1,v1,0.1715
M1228v1TS494_1,TS494,1,v1,0.1564
M1228v1TS274_1,TS274,1,v1,0.1564
M1228v1TS456_5,TS456,5,v1,nan
M1228v1TS052_5,TS052,5,v1,nan
M1228v1TS022_5,TS022,5,v1,nan
