Model,Group,Model Number,Model Version,GDT_TS
T1239v1TS014_1,TS014,1,v1,37.014
T1239v1TS014_2,TS014,2,v1,36.929
T1239v1TS014_3,TS014,3,v1,37.352
T1239v1TS014_4,TS014,4,v1,37.098
T1239v1TS014_5,TS014,5,v1,37.352
T1239v1TS014_6,TS014,6,v1,37.14
T1239v1TS015_1,TS015,1,v1,35.618
T1239v1TS015_2,TS015,2,v1,38.283
T1239v1TS015_3,TS015,3,v1,36.717
T1239v1TS015_4,TS015,4,v1,39.382
T1239v1TS015_5,TS015,5,v1,36.675
T1239v1TS015_6,TS015,6,v1,36.844
T1239v1TS017_1,TS017,1,v1,37.648
T1239v1TS017_2,TS017,2,v1,36.633
T1239v1TS017_3,TS017,3,v1,37.014
T1239v1TS017_4,TS017,4,v1,37.606
T1239v1TS017_5,TS017,5,v1,38.283
T1239v1TS019_1,TS019,1,v1,40.651
T1239v1TS019_2,TS019,2,v1,40.948
T1239v1TS019_3,TS019,3,v1,45.051
T1239v1TS019_4,TS019,4,v1,52.2
T1239v1TS019_5,TS019,5,v1,41.455
T1239v1TS022_1,TS022,1,v1,38.748
T1239v1TS022_2,TS022,2,v1,41.836
T1239v1TS022_3,TS022,3,v1,44.289
T1239v1TS022_4,TS022,4,v1,44.416
T1239v1TS022_5,TS022,5,v1,46.024
T1239v1TS023_1,TS023,1,v1,38.24
T1239v1TS023_2,TS023,2,v1,37.648
T1239v1TS023_3,TS023,3,v1,36.633
T1239v1TS023_4,TS023,4,v1,37.648
T1239v1TS023_5,TS023,5,v1,38.283
T1239v1TS028_1,TS028,1,v1,41.117
T1239v1TS028_2,TS028,2,v1,42.132
T1239v1TS028_3,TS028,3,v1,40.651
T1239v1TS028_4,TS028,4,v1,41.667
T1239v1TS028_5,TS028,5,v1,39.805
T1239v1TS033_1,TS033,1,v1,43.993
T1239v1TS033_2,TS033,2,v1,41.455
T1239v1TS033_3,TS033,3,v1,40.863
T1239v1TS033_4,TS033,4,v1,43.147
T1239v1TS033_5,TS033,5,v1,39.636
T1239v1TS040_1,TS040,1,v1,37.733
T1239v1TS040_2,TS040,2,v1,38.156
T1239v1TS040_3,TS040,3,v1,38.409
