Model,Group,Model Number,Model Version,GlobalLDDT
T1239v2TS208_4,TS208,4,v2,0.8547
T1239v2TS208_3,TS208,3,v2,0.8546
T1239v2TS208_1,TS208,1,v2,0.8520
T1239v2TS208_5,TS208,5,v2,0.8517
T1239v2TS208_2,TS208,2,v2,0.8508
T1239v1TS019_4,TS019,4,v1,0.8505
T1239v2TS019_5,TS019,5,v2,0.8505
T1239v2TS028_1,TS028,1,v2,0.8497
T1239v2TS489_5,TS489,5,v2,0.8483
T1239v1TS028_3,TS028,3,v1,0.8482
T1239v1TS028_1,TS028,1,v1,0.8478
T1239v1TS028_2,TS028,2,v1,0.8477
T1239v1TS110_2,TS110,2,v1,0.8472
T1239v1TS241_2,TS241,2,v1,0.8468
T1239v2TS110_5,TS110,5,v2,0.8461
T1239v1TS028_5,TS028,5,v1,0.8461
T1239v1TS028_4,TS028,4,v1,0.8458
T1239v1TS019_1,TS019,1,v1,0.8457
T1239v2TS019_2,TS019,2,v2,0.8457
T1239v1TS147_1,TS147,1,v1,0.8457
T1239v1TS425_5,TS425,5,v1,0.8454
T1239v1TS331_5,TS331,5,v1,0.8454
T1239v1TS319_5,TS319,5,v1,0.8454
T1239v2TS051_2,TS051,2,v2,0.8454
T1239v2TS028_2,TS028,2,v2,0.8454
T1239v1TS051_2,TS051,2,v1,0.8454
T1239v1TS345_2,TS345,2,v1,0.8454
T1239v2TS345_2,TS345,2,v2,0.8454
T1239v2TS331_1,TS331,1,v2,0.8454
T1239v2TS319_1,TS319,1,v2,0.8454
T1239v2TS425_1,TS425,1,v2,0.8454
T1239v1TS147_3,TS147,3,v1,0.8450
T1239v2TS462_2,TS462,2,v2,0.8447
T1239v2TS028_4,TS028,4,v2,0.8444
T1239v2TS489_1,TS489,1,v2,0.8442
T1239v2TS028_3,TS028,3,v2,0.8441
T1239v2TS462_3,TS462,3,v2,0.8436
T1239v2TS489_2,TS489,2,v2,0.8431
T1239v2TS425_2,TS425,2,v2,0.8426
T1239v1TS425_2,TS425,2,v1,0.8426
T1239v1TS052_1,TS052,1,v1,0.8423
T1239v2TS052_4,TS052,4,v2,0.8423
T1239v1TS022_2,TS022,2,v1,0.8421
T1239v2TS456_4,TS456,4,v2,0.8421
T1239v1TS456_1,TS456,1,v1,0.8421
T1239v2TS022_1,TS022,1,v2,0.8421
T1239v1TS022_5,TS022,5,v1,0.8420
T1239v2TS489_3,TS489,3,v2,0.8420
T1239v2TS331_2,TS331,2,v2,0.8413
T1239v1TS051_5,TS051,5,v1,0.8413
T1239v2TS319_2,TS319,2,v2,0.8413
T1239v2TS051_5,TS051,5,v2,0.8413
T1239v1TS319_2,TS319,2,v1,0.8413
T1239v1TS331_2,TS331,2,v1,0.8413
T1239v2TS345_5,TS345,5,v2,0.8413
T1239v1TS345_5,TS345,5,v1,0.8413
T1239v2TS314_5,TS314,5,v2,0.8400
T1239v1TS456_4,TS456,4,v1,0.8397
T1239v2TS022_2,TS022,2,v2,0.8397
T1239v2TS052_1,TS052,1,v2,0.8397
T1239v1TS022_1,TS022,1,v1,0.8397
T1239v1TS052_4,TS052,4,v1,0.8397
T1239v2TS456_1,TS456,1,v2,0.8397
T1239v1TS235_2,TS235,2,v1,0.8390
T1239v2TS314_2,TS314,2,v2,0.8390
T1239v2TS314_4,TS314,4,v2,0.8388
T1239v2TS456_3,TS456,3,v2,0.8382
T1239v1TS456_3,TS456,3,v1,0.8382
T1239v1TS294_4,TS294,4,v1,0.8377
T1239v1TS294_1,TS294,1,v1,0.8374
T1239v1TS110_3,TS110,3,v1,0.8373
T1239v2TS159_1,TS159,1,v2,0.8371
T1239v1TS159_1,TS159,1,v1,0.8371
T1239v1TS325_1,TS325,1,v1,0.8371
T1239v2TS481_4,TS481,4,v2,0.8363
T1239v1TS241_4,TS241,4,v1,0.8363
T1239v1TS235_3,TS235,3,v1,0.8362
T1239v2TS221_2,TS221,2,v2,0.8360
T1239v2TS419_2,TS419,2,v2,0.8360
T1239v1TS462_4,TS462,4,v1,0.8358
T1239v1TS294_5,TS294,5,v1,0.8357
T1239v1TS235_1,TS235,1,v1,0.8356
T1239v1TS489_3,TS489,3,v1,0.8355
T1239v2TS235_1,TS235,1,v2,0.8351
T1239v1TS489_2,TS489,2,v1,0.8350
T1239v2TS314_3,TS314,3,v2,0.8350
T1239v1TS325_2,TS325,2,v1,0.8349
T1239v1TS159_2,TS159,2,v1,0.8349
T1239v2TS159_2,TS159,2,v2,0.8349
T1239v2TS325_2,TS325,2,v2,0.8349
T1239v2TS294_1,TS294,1,v2,0.8347
T1239v2TS235_2,TS235,2,v2,0.8345
T1239v2TS419_1,TS419,1,v2,0.8345
T1239v2TS221_1,TS221,1,v2,0.8345
T1239v2TS314_1,TS314,1,v2,0.8333
T1239v1TS052_5,TS052,5,v1,0.8333
T1239v1TS345_1,TS345,1,v1,0.8331
T1239v1TS051_3,TS051,3,v1,0.8331
T1239v2TS051_1,TS051,1,v2,0.8331
T1239v2TS345_3,TS345,3,v2,0.8331
T1239v2TS235_3,TS235,3,v2,0.8329
T1239v1TS298_1,TS298,1,v1,0.8328
T1239v1TS051_4,TS051,4,v1,0.8326
T1239v2TS051_4,TS051,4,v2,0.8326
T1239v2TS345_4,TS345,4,v2,0.8326
T1239v1TS345_4,TS345,4,v1,0.8326
T1239v1TS314_5,TS314,5,v1,0.8323
T1239v1TS489_1,TS489,1,v1,0.8322
T1239v1TS481_4,TS481,4,v1,0.8321
T1239v2TS294_5,TS294,5,v2,0.8321
T1239v1TS489_4,TS489,4,v1,0.8315
T1239v2TS294_3,TS294,3,v2,0.8315
T1239v1TS208_1,TS208,1,v1,0.8312
T1239v2TS294_2,TS294,2,v2,0.8311
T1239v1TS208_2,TS208,2,v1,0.8311
T1239v2TS235_4,TS235,4,v2,0.8310
T1239v1TS110_1,TS110,1,v1,0.8308
T1239v2TS272_4,TS272,4,v2,0.8302
T1239v1TS272_3,TS272,3,v1,0.8302
T1239v1TS272_2,TS272,2,v1,0.8302
T1239v2TS272_5,TS272,5,v2,0.8302
T1239v1TS272_5,TS272,5,v1,0.8302
T1239v2TS272_2,TS272,2,v2,0.8302
T1239v2TS272_3,TS272,3,v2,0.8302
T1239v1TS272_4,TS272,4,v1,0.8302
T1239v2TS272_1,TS272,1,v2,0.8302
T1239v1TS272_1,TS272,1,v1,0.8302
T1239v1TS208_4,TS208,4,v1,0.8301
T1239v1TS489_5,TS489,5,v1,0.8297
T1239v1TS481_1,TS481,1,v1,0.8295
T1239v1TS419_3,TS419,3,v1,0.8294
T1239v1TS221_3,TS221,3,v1,0.8294
T1239v2TS286_1,TS286,1,v2,0.8293
T1239v2TS294_4,TS294,4,v2,0.8288
T1239v2TS450_5,TS450,5,v2,0.8287
T1239v2TS489_4,TS489,4,v2,0.8287
T1239v2TS167_5,TS167,5,v2,0.8287
T1239v1TS204_5,TS204,5,v1,0.8283
T1239v1TS235_5,TS235,5,v1,0.8276
T1239v1TS481_3,TS481,3,v1,0.8275
T1239v2TS262_5,TS262,5,v2,0.8259
T1239v2TS262_3,TS262,3,v2,0.8259
T1239v2TS262_1,TS262,1,v2,0.8259
T1239v1TS262_3,TS262,3,v1,0.8223
T1239v1TS262_1,TS262,1,v1,0.8223
T1239v1TS262_2,TS262,2,v1,0.8219
T1239v1TS262_5,TS262,5,v1,0.8219
T1239v1TS286_4,TS286,4,v1,0.8216
T1239v1TS419_2,TS419,2,v1,0.8201
T1239v1TS221_2,TS221,2,v1,0.8201
T1239v2TS286_4,TS286,4,v2,0.8189
T1239v1TS481_2,TS481,2,v1,0.8186
T1239v2TS462_4,TS462,4,v2,0.8185
T1239v2TS241_3,TS241,3,v2,0.8175
T1239v1TS147_4,TS147,4,v1,0.8088
T1239v1TS319_4,TS319,4,v1,0.8079
T1239v1TS331_4,TS331,4,v1,0.8079
T1239v2TS331_4,TS331,4,v2,0.8079
T1239v2TS319_4,TS319,4,v2,0.8079
T1239v2TS051_3,TS051,3,v2,0.8071
T1239v2TS345_1,TS345,1,v2,0.8071
T1239v2TS331_5,TS331,5,v2,0.8071
T1239v2TS425_5,TS425,5,v2,0.8071
T1239v1TS425_1,TS425,1,v1,0.8071
T1239v1TS345_3,TS345,3,v1,0.8071
T1239v1TS051_1,TS051,1,v1,0.8071
T1239v1TS331_1,TS331,1,v1,0.8071
T1239v2TS033_4,TS033,4,v2,0.8062
T1239v2TS319_5,TS319,5,v2,0.8057
T1239v1TS319_1,TS319,1,v1,0.8057
T1239v2TS304_2,TS304,2,v2,0.8053
T1239v2TS304_3,TS304,3,v2,0.8047
T1239v2TS481_5,TS481,5,v2,0.8038
T1239v1TS462_1,TS462,1,v1,0.8025
T1239v1TS147_2,TS147,2,v1,0.8013
T1239v2TS019_1,TS019,1,v2,0.8013
T1239v1TS019_2,TS019,2,v1,0.8013
T1239v1TS019_3,TS019,3,v1,0.8012
T1239v2TS019_4,TS019,4,v2,0.8012
T1239v1TS110_4,TS110,4,v1,0.8011
T1239v2TS110_1,TS110,1,v2,0.8011
T1239v2TS450_4,TS450,4,v2,0.7994
T1239v2TS167_4,TS167,4,v2,0.7994
T1239v2TS235_5,TS235,5,v2,0.7990
T1239v1TS033_1,TS033,1,v1,0.7990
T1239v2TS450_1,TS450,1,v2,0.7990
T1239v2TS167_1,TS167,1,v2,0.7990
T1239v2TS147_4,TS147,4,v2,0.7984
T1239v2TS019_3,TS019,3,v2,0.7984
T1239v1TS204_4,TS204,4,v1,0.7978
T1239v2TS304_1,TS304,1,v2,0.7976
T1239v2TS167_3,TS167,3,v2,0.7975
T1239v2TS450_3,TS450,3,v2,0.7975
