Model,Group,Model_Number,Composite_Score_4
R1203TS238_5 v1,TS238,5,33.26669565240743
R1203TS369_5 v1,TS369,5,32.054752408073725
R1203TS167_2 v1,TS167,2,31.98571667976949
R1203TS272_4 v1,TS272,4,31.848079358409343
R1203TS369_3 v1,TS369,3,31.803694837592523
R1203TS272_5 v1,TS272,5,31.786300194177482
R1203TS294_1 v1,TS294,1,31.630454174103527
R1203TS241_1 v1,TS241,1,31.630454174103527
R1203TS304_1 v1,TS304,1,31.630454174103527
R1203TS241_2 v1,TS241,2,31.55734395310011
R1203TS304_2 v1,TS304,2,31.55734395310011
R1203TS369_2 v1,TS369,2,31.53466497854646
R1203TS435_5 v1,TS435,5,31.513121925399094
R1203TS006_3 v1,TS006,3,31.404113037516414
R1203TS276_1 v1,TS276,1,31.385720336253762
R1203TS235_5 v1,TS235,5,31.315884346334503
R1203TS400_1 v1,TS400,1,31.27232763808132
R1203TS159_2 v1,TS159,2,31.26665134831641
R1203TS304_3 v1,TS304,3,31.179899516338605
R1203TS241_3 v1,TS241,3,31.179899516338605
R1203TS241_4 v1,TS241,4,31.092937003213212
R1203TS304_4 v1,TS304,4,31.092937003213212
R1203TS272_1 v1,TS272,1,31.07374722141558
R1203TS006_1 v1,TS006,1,31.07099348101686
R1203TS235_2 v1,TS235,2,30.774371855504473
R1203TS231_5 v1,TS231,5,29.922757289127055
R1203TS304_5 v1,TS304,5,11.792222938926887
R1203TS241_5 v1,TS241,5,11.792222938926887
R1203TS338_5 v1,TS338,5,11.53020714790458
R1203TS369_4 v1,TS369,4,11.328178214856013
R1203TS286_3 v1,TS286,3,11.1113724456302
R1203TS165_3 v1,TS165,3,11.072776003255912
R1203TS063_3 v1,TS063,3,10.998751074791134
R1203TS063_1 v1,TS063,1,10.868142288583856
R1203TS063_4 v1,TS063,4,10.80289226444513
R1203TS286_2 v1,TS286,2,10.743317221647226
R1203TS159_1 v1,TS159,1,10.726135955
R1203TS286_1 v1,TS286,1,10.690455222419665
R1203TS165_1 v1,TS165,1,10.600902053579713
R1203TS238_2 v1,TS238,2,10.60067480088726
R1203TS294_2 v1,TS294,2,10.55057238712299
R1203TS238_3 v1,TS238,3,10.53961044069342
R1203TS006_4 v1,TS006,4,10.523196448052731
R1203TS338_4 v1,TS338,4,10.438751137549092
R1203TS481_5 v1,TS481,5,10.397012917522991
R1203TS481_4 v1,TS481,4,10.374847306531152
R1203TS481_3 v1,TS481,3,10.36088756433215
R1203TS238_4 v1,TS238,4,10.325119111342424
R1203TS294_4 v1,TS294,4,10.32072842560572
R1203TS006_2 v1,TS006,2,10.298753068869152
R1203TS294_3 v1,TS294,3,10.246892266872495
R1203TS317_4 v1,TS317,4,10.226530201511206
R1203TS338_1 v1,TS338,1,10.209999342750645
R1203TS165_2 v1,TS165,2,10.207637919542424
R1203TS183_5 v1,TS183,5,10.1868795727458
R1203TS417_5 v1,TS417,5,10.165274220558214
R1203TS052_1 v1,TS052,1,10.163752531416314
R1203TS063_5 v1,TS063,5,10.110001465567047
R1203TS435_1 v1,TS435,1,10.070188752265926
R1203TS456_1 v1,TS456,1,10.04375326368365
R1203TS006_5 v1,TS006,5,10.0233943966678
R1203TS481_1 v1,TS481,1,10.017513987219768
R1203TS183_2 v1,TS183,2,9.992684506176225
R1203TS435_6 v1,TS435,6,9.990290601982007
R1203TS417_2 v1,TS417,2,9.980147578239315
R1203TS189_3 v1,TS189,3,9.953820116197615
R1203TS063_2 v1,TS063,2,9.946293381472998
R1203TS231_2 v1,TS231,2,9.84488238187088
R1203TS435_2 v1,TS435,2,9.750749404582516
