Model,Group,Model Number,Model Version,BestDockQ
M1228v2TS294_3,TS294,3,v2,0.7685
M1228v2TS241_1,TS241,1,v2,0.7815000000000001
M1228v2TS294_1,TS294,1,v2,0.8178000000000001
M1228v2TS294_5,TS294,5,v2,0.7844
M1228v2TS294_2,TS294,2,v2,0.7952
M1228v2TS294_4,TS294,4,v2,0.8026
M1228v2TS159_1,TS159,1,v2,0.8134
M1228v2TS304_3,TS304,3,v2,0.8067
M1228v2TS325_1,TS325,1,v2,0.8134
M1228v2TS204_2,TS204,2,v2,0.8301999999999999
M1228v2TS204_5,TS204,5,v2,0.7618
M1228v2TS033_4,TS033,4,v2,0.7788
M1228v2TS304_4,TS304,4,v2,0.7574
M1228v2TS304_1,TS304,1,v2,0.7491
M1228v2TS033_3,TS033,3,v2,0.762
M1228v2TS231_5,TS231,5,v2,0.6272
M1228v2TS033_5,TS033,5,v2,0.7903
M1228v2TS304_2,TS304,2,v2,0.7331000000000001
M1228v2TS208_5,TS208,5,v2,0.7376
M1228v2TS231_1,TS231,1,v2,0.7676999999999999
M1228v2TS231_4,TS231,4,v2,0.7659
M1228v2TS231_2,TS231,2,v2,0.7477
M1228v2TS231_3,TS231,3,v2,0.7549
M1228v2TS028_4,TS028,4,v2,0.6078
M1228v2TS241_3,TS241,3,v2,0.6115999999999999
M1228v2TS110_3,TS110,3,v2,0.6229
M1228v2TS304_5,TS304,5,v2,0.6168
M1228v2TS091_2,TS091,2,v2,0.6141
M1228v2TS033_2,TS033,2,v2,0.6191
M1228v2TS481_1,TS481,1,v2,0.6227
M1228v2TS489_3,TS489,3,v2,0.6171
M1228v2TS489_4,TS489,4,v2,0.625
M1228v2TS489_1,TS489,1,v2,0.6393
M1228v2TS462_2,TS462,2,v2,0.5059
M1228v2TS204_1,TS204,1,v2,0.7304
M1228v2TS204_4,TS204,4,v2,0.6256999999999999
M1228v2TS110_5,TS110,5,v2,0.6345
M1228v2TS286_1,TS286,1,v2,0.5992
M1228v2TS462_5,TS462,5,v2,0.6517999999999999
M1228v2TS462_3,TS462,3,v2,0.6797
M1228v2TS241_4,TS241,4,v2,0.6798
M1228v2TS481_2,TS481,2,v2,0.6538
M1228v2TS033_1,TS033,1,v2,0.6698000000000001
M1228v2TS241_5,TS241,5,v2,0.6907
M1228v2TS286_4,TS286,4,v2,0.5679000000000001
M1228v2TS204_3,TS204,3,v2,0.6872
M1228v2TS462_4,TS462,4,v2,0.6054
M1228v2TS262_3,TS262,3,v2,0.6231
M1228v2TS241_2,TS241,2,v2,0.6648
M1228v2TS450_2,TS450,2,v2,0.5591999999999999
M1228v2TS167_2,TS167,2,v2,0.5591999999999999
M1228v2TS091_1,TS091,1,v2,0.549
M1228v2TS286_5,TS286,5,v2,0.5394
M1228v2TS262_1,TS262,1,v2,0.5961000000000001
M1228v2TS286_3,TS286,3,v2,0.5063
M1228v2TS262_4,TS262,4,v2,0.5873999999999999
M1228v2TS262_5,TS262,5,v2,0.5248999999999999
M1228v2TS262_2,TS262,2,v2,0.525
M1228v2TS450_1,TS450,1,v2,0.509
M1228v2TS167_1,TS167,1,v2,0.509
M1228v2TS028_1,TS028,1,v2,0.5206999999999999
M1228v2TS481_5,TS481,5,v2,0.5429999999999999
M1228v2TS110_1,TS110,1,v2,0.5332
M1228v2TS028_2,TS028,2,v2,0.5257
M1228v2TS028_3,TS028,3,v2,0.5263
M1228v2TS091_3,TS091,3,v2,0.544
M1228v2TS110_2,TS110,2,v2,0.5264
M1228v2TS489_5,TS489,5,v2,0.5194
M1228v2TS028_5,TS028,5,v2,0.5267999999999999
M1228v2TS167_4,TS167,4,v2,0.5216000000000001
M1228v2TS450_4,TS450,4,v2,0.5216000000000001
M1228v2TS167_3,TS167,3,v2,0.5232
M1228v2TS450_3,TS450,3,v2,0.5232
M1228v2TS167_5,TS167,5,v2,0.512
M1228v2TS450_5,TS450,5,v2,0.512
M1228v2TS110_4,TS110,4,v2,0.5102
M1228v2TS091_4,TS091,4,v2,0.5083
M1228v2TS286_2,TS286,2,v2,0.4486
M1228v2TS091_5,TS091,5,v2,0.44939999999999997
M1228v2TS481_3,TS481,3,v2,0.40800000000000003
M1228v2TS481_4,TS481,4,v2,0.3725
M1228v2TS462_1,TS462,1,v2,0.49749999999999994
M1228v2TS456_3,TS456,3,v2,0.1444
M1228v2TS274_4,TS274,4,v2,0.1426
M1228v2TS494_4,TS494,4,v2,0.1426
M1228v2TS494_5,TS494,5,v2,0.1424
M1228v2TS456_2,TS456,2,v2,0.1645
M1228v2TS052_2,TS052,2,v2,0.1645
M1228v2TS052_3,TS052,3,v2,0.15460000000000002
M1228v2TS052_4,TS052,4,v2,0.1447
M1228v2TS274_5,TS274,5,v2,0.1424
M1228v2TS052_5,TS052,5,v2,0.2028
M1228v2TS456_5,TS456,5,v2,0.1823
M1228v2TS494_3,TS494,3,v2,0.1718
M1228v2TS022_3,TS022,3,v2,0.14730000000000001
M1228v2TS022_2,TS022,2,v2,0.1864
M1228v2TS489_2,TS489,2,v2,0.14950000000000002
M1228v2TS274_3,TS274,3,v2,0.1718
M1228v2TS022_4,TS022,4,v2,0.141
M1228v2TS022_5,TS022,5,v2,0.2031
M1228v2TS456_4,TS456,4,v2,0.1548
M1228v2TS274_2,TS274,2,v2,0.1633
M1228v2TS494_2,TS494,2,v2,0.1633
